Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
22:57:20:708413,0.374037,0,-0.082,0.068,-0.035,-0.004,0,-0.002,513,-5.8651e-05
22:57:20:713515,0.374037,0,-0.043,0.069,-0.049,-0.003,0,-0.001,513,-5.8651e-05
22:57:20:718529,0.374037,0,0.03,0.067,-0.14,-0.002,0,0,513,-5.8651e-05
22:57:20:723654,0.374034,0.000238972,0.078,0.072,-0.259,-0.002,0.001,0,513,-5.8651e-05
22:57:20:728637,0.374034,0.000509755,0.088,0.077,-0.256,-0.003,0.002,0,513,-5.8651e-05
22:57:20:733758,0.374034,0.000876084,0.083,0.069,-0.096,-0.003,0.001,0,513,-5.8651e-05
22:57:20:738767,0.374031,0.00134584,0.075,0.048,0.013,-0.002,0.001,-0.001,513,-5.8651e-05
22:57:20:743773,0.374074,0.00191134,0.062,0.016,0.024,-0.003,0,0,513,-5.8651e-05
22:57:20:748890,0.374066,0.00258009,0.05,0.016,-0.039,-0.004,0.001,0,513,-5.8651e-05
22:57:20:754032,0.374055,0.00334425,0.023,0.041,-0.097,-0.005,0,-0.001,513,-5.8651e-05
22:57:20:759029,0.374042,0.00421183,0.007,0.052,-0.108,-0.006,0,-0.003,513,-5.8651e-05
22:57:20:764052,0.374067,0.00517471,0.01,0.047,-0.184,-0.005,0,-0.001,513,-5.8651e-05
22:57:20:769174,0.374038,0.00624056,0.034,0.052,-0.272,-0.003,0,0.003,514,0
22:57:20:774278,0.374047,0.00740167,0.079,0.082,-0.312,0.001,0.002,0.008,514,0
22:57:20:779268,0.374048,0.00866574,0.089,0.075,-0.234,0.002,0.003,-0.001,514,0
22:57:20:784274,0.374034,0.0100242,0.06,-0.037,-0.044,-0.002,0,-0.033,514,0
22:57:20:789408,0.374054,0.0114862,0.039,-0.117,0.063,-0.012,-0.002,-0.045,514,0
22:57:20:794520,0.374058,0.0130432,0.096,0.017,0.153,-0.02,-0.002,-0.024,514,0
22:57:20:799523,0.374046,0.014702,0.308,0.664,0.129,-0.001,0.007,0.019,514,0
22:57:20:804661,0.374059,0.0164568,0.489,1.326,0.046,0.027,0.018,0.033,515,5.8651e-05
22:57:20:809646,0.37405,0.0183134,0.657,2.428,-0.068,0.076,0.03,0.033,516,0.000117302
22:57:20:814664,0.374059,0.020266,0.616,3.123,-0.059,0.102,0.03,0.041,516,0.000117302
22:57:20:819757,0.374044,0.0223195,0.288,3.987,0.066,0.133,0.015,0.082,516,0.000117302
22:57:20:824773,0.374044,0.024468,-0.052,4.375,0.132,0.151,-0.005,0.11,516,0.000117302
22:57:20:829878,0.374054,0.0267191,-0.536,4.585,0.118,0.163,-0.043,0.115,516,0.000117302
22:57:20:834888,0.374033,0.0290592,-0.697,4.501,0.073,0.154,-0.061,0.098,517,0.000175953
22:57:20:840023,0.374062,0.0314925,-0.574,4.212,0.03,0.125,-0.061,0.075,517,0.000175953
22:57:20:845012,0.374057,0.0339787,-0.315,3.996,0.008,0.108,-0.044,0.073,518,0.000234604
22:57:20:850134,0.37407,0.0364767,0.069,3.644,-0.064,0.101,-0.012,0.078,519,0.000293255
22:57:20:855164,0.374053,0.0389681,0.208,3.349,-0.132,0.1,0.004,0.074,519,0.000293255
22:57:20:860270,0.374055,0.0414635,0.25,2.823,-0.173,0.092,0.018,0.056,520,0.000351906
22:57:20:865275,0.374072,0.0439611,0.255,2.493,-0.106,0.081,0.021,0.045,520,0.000351906
22:57:20:870399,0.374065,0.0464598,0.329,2.186,0.142,0.066,0.02,0.037,520,0.000351906
22:57:20:875391,0.374071,0.0489535,0.407,2.137,0.33,0.062,0.016,0.034,523,0.000527859
22:57:20:880525,0.374052,0.0514483,0.436,2.162,0.445,0.065,0.009,0.028,526,0.000703812
22:57:20:885522,0.37405,0.0539426,0.331,2.109,0.343,0.067,0.004,0.025,526,0.000703812
22:57:20:890663,0.374069,0.0564302,0.077,1.851,0.041,0.062,-0.001,0.025,527,0.000762463
22:57:20:895671,0.374067,0.0588936,0.109,1.668,-0.092,0.052,-0.005,0.029,527,0.000762463
22:57:20:900660,0.374048,0.0613147,0.457,1.779,0.033,0.051,0,0.028,528,0.000821114
22:57:20:905788,0.37406,0.0636862,1.24,2.218,0.368,0.059,0.029,0.024,528,0.000821114
22:57:20:910923,0.374071,0.0659954,1.586,2.471,0.448,0.062,0.055,0.028,528,0.000821114
22:57:20:915935,0.374072,0.0682442,1.356,2.539,0.088,0.057,0.078,0.049,527,0.000762463
22:57:20:921028,0.374075,0.0704303,0.678,2.424,-0.379,0.052,0.067,0.063,524,0.00058651
22:57:20:926015,0.37407,0.072567,-0.737,2.191,-0.958,0.053,0.008,0.068,524,0.00058651
22:57:20:931032,0.374061,0.0746545,-1.565,2.016,-1.037,0.056,-0.05,0.059,520,0.000351906
22:57:20:936147,0.374042,0.0767139,-1.997,1.669,-0.707,0.057,-0.134,0.032,520,0.000351906
22:57:20:941352,0.374055,0.0787625,-1.575,1.379,-0.39,0.055,-0.156,0.013,515,5.8651e-05
22:57:20:946277,0.374055,0.0808011,-0.163,0.911,-0.126,0.052,-0.103,-0.006,509,-0.000293255
22:57:20:951267,0.374074,0.0828606,0.864,0.617,-0.145,0.043,-0.015,-0.007,509,-0.000293255
22:57:20:956390,0.374062,0.0849489,1.719,0.269,-0.291,0.017,0.117,0.008,504,-0.00058651
22:57:20:961524,0.374054,0.0870932,1.566,0.085,-0.327,-0.001,0.153,0.017,502,-0.000703812
22:57:20:966531,0.374047,0.0892973,0.522,-0.298,-0.208,-0.022,0.099,0.003,502,-0.000703812
22:57:20:971506,0.374038,0.0915692,-0.193,-0.715,-0.07,-0.033,0.021,-0.02,501,-0.000762463
22:57:20:976643,0.374069,0.0939123,-0.555,-1.417,0.101,-0.051,-0.07,-0.05,501,-0.000762463
22:57:20:981628,0.374056,0.0962977,-0.255,-1.725,0.214,-0.062,-0.074,-0.052,501,-0.000762463
22:57:20:986778,0.374044,0.0987267,-0.134,-1.591,0.277,-0.062,-0.039,-0.043,501,-0.000762463
22:57:20:991901,0.374039,0.101185,-0.319,-1.179,0.279,-0.055,0.02,-0.031,501,-0.000762463
22:57:20:996902,0.374043,0.103666,-0.453,-1.015,0.146,-0.052,0.041,-0.028,503,-0.000645161
22:57:21:1930,0.374066,0.106158,-0.267,-1.085,-0.181,-0.054,0.036,-0.03,510,-0.000234604
22:57:21:7068,0.374056,0.108646,0.027,-1.25,-0.297,-0.058,0.02,-0.034,510,-0.000234604
22:57:21:12035,0.374069,0.111138,0.22,-1.444,-0.101,-0.064,-0.001,-0.042,522,0.000469208
22:57:21:17154,0.374053,0.113626,0.083,-1.427,0.143,-0.065,-0.008,-0.047,537,0.00134897
22:57:21:22149,0.374058,0.116119,-0.081,-0.984,0.22,-0.055,-0.011,-0.042,537,0.00134897
22:57:21:27285,0.374034,0.118604,0.086,-0.347,0.008,-0.037,-0.01,-0.027,552,0.00222874
22:57:21:32283,0.374072,0.121108,0.483,0.928,-0.271,0.002,0.001,0.012,552,0.00222874
22:57:21:37407,0.374043,0.123592,0.497,1.745,-0.162,0.027,0.013,0.042,564,0.00293255
22:57:21:42388,0.374074,0.126098,0.173,2.613,0.322,0.049,0.026,0.072,573,0.00346041
22:57:21:47515,0.374036,0.128579,0.089,2.907,0.531,0.057,0.026,0.077,573,0.00346041
22:57:21:52528,0.374059,0.131083,0.345,2.893,0.348,0.067,0.013,0.064,579,0.00381232
