Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
01:49:56:108223,0.374037,0,-0.021,-0.088,0.056,-0.003,0,-0.004,514,0
01:49:56:113228,0.374037,0,-0.065,-0.093,0.034,-0.003,0.001,-0.004,514,0
01:49:56:118347,0.374037,0,-0.098,-0.091,-0.025,-0.001,0.002,-0.003,514,0
01:49:56:123323,0.374034,-0.000219965,-0.068,-0.063,-0.097,0,0.001,-0.002,514,0
01:49:56:128451,0.374034,-0.000479906,-0.032,-0.032,-0.129,0,0,-0.002,514,0
01:49:56:133465,0.374034,-0.000839835,0.009,0.015,-0.103,0,-0.001,-0.001,514,0
01:49:56:138559,0.374031,-0.00129978,0.03,0.043,-0.024,0,-0.002,-0.001,514,0
01:49:56:143570,0.374074,-0.00185986,0.062,0.081,0.137,0.001,-0.001,-0.001,514,0
01:49:56:148579,0.374066,-0.00251977,0.078,0.101,0.217,0.001,0,-0.001,514,0
01:49:56:153720,0.374057,-0.00327962,0.077,0.113,0.216,0.002,0.001,-0.001,514,0
01:49:56:158833,0.374043,-0.00413948,0.065,0.101,0.137,0.002,0.001,-0.001,514,0
01:49:56:163836,0.374068,-0.00509945,0.042,0.06,-0.015,0.001,0,0,514,0
01:49:56:168850,0.374041,-0.00615876,0.026,0.03,-0.073,0,0,-0.001,514,0
01:49:56:173982,0.374053,-0.0072461,0.01,0.009,-0.064,0,-0.001,-0.003,513,-5.8651e-05
01:49:56:179098,0.374059,-0.00831751,0.013,0.021,-0.034,-0.001,-0.001,0,512,-0.000117302
01:49:56:184078,0.374059,-0.00948822,0.036,0.063,-0.034,0,0,0.011,512,-0.000117302
01:49:56:189103,0.374046,-0.0107589,0.047,0.083,-0.069,0.001,0.003,0.017,511,-0.000175953
01:49:56:194229,0.374065,-0.0121304,0.027,0.054,-0.136,0.006,0.005,0.019,511,-0.000175953
01:49:56:199211,0.374071,-0.0136015,-0.028,-0.037,-0.184,0.006,0.005,0.018,511,-0.000175953
01:49:56:204335,0.37406,-0.015172,-0.213,-0.417,-0.255,-0.002,0,0.017,511,-0.000175953
01:49:56:209334,0.374075,-0.0168434,-0.484,-1.314,-0.252,-0.031,-0.011,-0.003,511,-0.000175953
01:49:56:214448,0.374068,-0.018614,-0.614,-2.225,-0.153,-0.065,-0.019,-0.036,512,-0.000117302
01:49:56:219351,0.37404,-0.020483,-0.549,-3.747,0.114,-0.128,-0.022,-0.094,512,-0.000117302
01:49:56:224582,0.374031,-0.0224534,-0.299,-4.582,0.268,-0.166,-0.012,-0.115,512,-0.000117302
01:49:56:229587,0.374036,-0.0245241,0.257,-5.26,0.25,-0.196,0.021,-0.122,512,-0.000117302
01:49:56:234707,0.374058,-0.0266964,0.607,-5.327,0.048,-0.195,0.046,-0.122,512,-0.000117302
01:49:56:239708,0.374047,-0.0289421,0.838,-4.948,-0.304,-0.17,0.06,-0.124,512,-0.000117302
01:49:56:244586,0.374072,-0.031115,0.696,-4.403,-0.388,-0.144,0.048,-0.113,512,-0.000117302
01:49:56:249853,0.374043,-0.0331831,0.094,-3.259,-0.262,-0.098,0.012,-0.069,512,-0.000117302
01:49:56:254963,0.374057,-0.0351553,-0.389,-2.48,-0.187,-0.068,-0.009,-0.036,512,-0.000117302
01:49:56:259967,0.374069,-0.0370291,-0.884,-1.74,-0.322,-0.043,-0.028,-0.015,512,-0.000117302
01:49:56:264940,0.374038,-0.0387936,-0.959,-1.649,-0.476,-0.048,-0.033,-0.02,512,-0.000117302
01:49:56:270078,0.374058,-0.040466,-0.768,-1.812,-0.401,-0.068,-0.035,-0.029,511,-0.000175953
01:49:56:275111,0.374039,-0.0420364,-0.546,-1.804,-0.09,-0.072,-0.031,-0.028,510,-0.000234604
01:49:56:280093,0.374072,-0.0435111,-0.198,-1.415,0.338,-0.05,-0.013,-0.019,510,-0.000234604
01:49:56:285211,0.374069,-0.0448834,0.022,-1.097,0.282,-0.029,0.006,-0.013,509,-0.000293255
01:49:56:290095,0.374037,-0.0461496,0.307,-0.939,-0.309,-0.018,0.037,-0.004,509,-0.000293255
01:49:56:295354,0.374063,-0.0473208,0.453,-1.118,-0.694,-0.032,0.044,-0.001,509,-0.000293255
01:49:56:300327,0.374058,-0.0483929,0.447,-1.265,-0.434,-0.043,0.033,-0.013,510,-0.000234604
01:49:56:305469,0.37407,-0.0493644,0.367,-1.595,0.458,-0.053,0.011,-0.053,510,-0.000234604
01:49:56:310448,0.374058,-0.0502331,0.355,-2.001,0.868,-0.059,0.009,-0.082,514,0
01:49:56:315585,0.374063,-0.0510048,0.48,-2.624,0.647,-0.075,0.033,-0.097,527,0.000762463
01:49:56:320590,0.374045,-0.0516735,0.591,-2.655,0.122,-0.082,0.053,-0.081,527,0.000762463
01:49:56:325726,0.374048,-0.0522453,0.531,-1.834,-0.553,-0.073,0.055,-0.035,545,0.00181818
01:49:56:330601,0.374072,-0.0527201,0.23,-0.976,-0.763,-0.057,0.03,-0.009,545,0.00181818
01:49:56:335726,0.374076,-0.0530921,-0.46,0.182,-0.899,-0.027,-0.026,0.01,565,0.0029912
01:49:56:340840,0.374055,-0.05336,-0.805,0.848,-0.943,-0.001,-0.06,0.018,591,0.00451613
01:49:56:345957,0.374059,-0.0535316,-0.796,2.028,-0.787,0.054,-0.081,0.039,591,0.00451613
01:49:56:351016,0.374045,-0.0536,-0.524,2.94,-0.495,0.091,-0.076,0.06,616,0.0059824
01:49:56:356083,0.37405,-0.053571,-0.185,4.044,-0.05,0.114,-0.052,0.088,639,0.00733138
01:49:56:361069,0.374036,-0.0534389,-0.149,4.404,0.069,0.103,-0.03,0.099,639,0.00733138
01:49:56:366086,0.374047,-0.0532103,-0.143,4.512,0.005,0.086,0.005,0.108,659,0.0085044
01:49:56:371137,0.374033,-0.0528815,0.022,4.453,-0.049,0.092,0.024,0.111,674,0.00938416
01:49:56:376211,0.374043,-0.0524524,0.464,4.179,-0.018,0.107,0.035,0.107,674,0.00938416
