Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
01:14:48:1096,0.374037,0,0.008,-0.124,0.003,-0.002,0,-0.001,513,-5.8651e-05
01:14:48:6103,0.374037,0,-0.001,-0.116,-0.029,-0.002,0,-0.001,513,-5.8651e-05
01:14:48:11197,0.374037,0,0,-0.081,-0.096,-0.001,0,-0.001,513,-5.8651e-05
01:14:48:16242,0.374034,-0.000197154,0.009,-0.053,-0.104,-0.001,0,-0.002,513,-5.8651e-05
01:14:48:21351,0.374034,-0.000429262,0.013,-0.012,0.012,-0.001,0,-0.003,513,-5.8651e-05
01:14:48:26359,0.374034,-0.000749853,0.003,0.012,0.147,-0.001,-0.001,-0.003,513,-5.8651e-05
01:14:48:31468,0.374031,-0.00115846,-0.016,0.038,0.311,-0.001,0,-0.003,513,-5.8651e-05
01:14:48:36484,0.374075,-0.00165471,-0.019,0.043,0.351,0,0,-0.003,513,-5.8651e-05
01:14:48:41600,0.374068,-0.00223777,-0.01,0.034,0.307,0,0.001,-0.003,513,-5.8651e-05
01:14:48:46593,0.374062,-0.00290714,0.007,0.008,0.153,0,0,-0.002,513,-5.8651e-05
01:14:48:51717,0.374052,-0.00366213,0.012,-0.003,0.029,0,0,0,513,-5.8651e-05
01:14:48:56704,0.374035,-0.00450191,0.011,-0,-0.082,0,0,0,513,-5.8651e-05
01:14:48:61850,0.374059,-0.00542663,0.009,0.007,-0.081,0,0,0,513,-5.8651e-05
01:14:48:66845,0.374032,-0.00643355,0.001,0.003,-0.023,-0.001,0,-0.003,513,-5.8651e-05
01:14:48:71964,0.374043,-0.0075238,-0.011,0.001,0.025,-0.001,0,-0.001,512,-0.000117302
01:14:48:76985,0.374046,-0.00869514,-0.027,0.031,0.116,-0.001,0,0.009,512,-0.000117302
01:14:48:81988,0.37404,-0.00994615,-0.019,0.067,0.166,0,0.001,0.014,511,-0.000175953
01:14:48:87103,0.374066,-0.011277,0.004,0.087,0.136,0.004,0.002,0.015,512,-0.000117302
01:14:48:92226,0.374034,-0.012683,-0.018,0.036,0.049,0.007,0.002,0.014,512,-0.000117302
01:14:48:97194,0.374034,-0.0141655,-0.174,-0.249,-0.024,0.003,0,0.017,512,-0.000117302
01:14:48:102329,0.374067,-0.015723,-0.336,-0.686,0.025,-0.01,-0.005,0.013,512,-0.000117302
01:14:48:107333,0.374035,-0.0173487,-0.529,-1.824,0.147,-0.055,-0.017,-0.023,512,-0.000117302
01:14:48:112331,0.374033,-0.0190442,-0.538,-2.795,0.163,-0.096,-0.022,-0.062,512,-0.000117302
01:14:48:117475,0.374055,-0.0208067,-0.298,-4.097,0.117,-0.151,-0.015,-0.108,512,-0.000117302
01:14:48:122456,0.374057,-0.0226302,0.006,-4.614,0.124,-0.172,0.004,-0.115,512,-0.000117302
01:14:48:127582,0.374037,-0.0245096,0.509,-4.773,0.176,-0.173,0.042,-0.103,513,-5.8651e-05
01:14:48:132605,0.374043,-0.0264442,0.717,-4.43,0.062,-0.146,0.058,-0.094,513,-5.8651e-05
01:14:48:137720,0.37407,-0.0284277,0.542,-4.074,-0.115,-0.123,0.046,-0.091,513,-5.8651e-05
01:14:48:142730,0.374074,-0.0304508,-0.11,-3.528,-0.282,-0.097,0.006,-0.079,513,-5.8651e-05
01:14:48:147870,0.374053,-0.0325059,-0.579,-3.253,-0.225,-0.091,-0.016,-0.067,513,-5.8651e-05
01:14:48:152876,0.374055,-0.0345895,-0.928,-3.037,-0.033,-0.096,-0.034,-0.057,513,-5.8651e-05
01:14:48:157998,0.374034,-0.0366912,-0.847,-2.935,0.035,-0.102,-0.036,-0.056,513,-5.8651e-05
01:14:48:163001,0.374038,-0.0388009,-0.436,-2.569,0.068,-0.096,-0.032,-0.054,513,-5.8651e-05
01:14:48:167855,0.374065,-0.0409198,-0.109,-2.102,0.132,-0.08,-0.022,-0.043,513,-5.8651e-05
01:14:48:173131,0.37403,-0.0430193,0.338,-1.23,0.235,-0.04,0.009,-0.019,513,-5.8651e-05
