Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
02:00:57:680257,0.374037,0,-0.019,-0.025,0.048,-0.002,-0.001,-0.001,505,-0.000527859
02:00:57:685260,0.374037,0,-0.027,-0.024,-0.02,-0.003,-0.001,-0.001,505,-0.000527859
02:00:57:690237,0.374037,0,-0.022,-0.005,-0.05,-0.003,-0.001,-0.001,505,-0.000527859
02:00:57:695391,0.374034,-0.000237325,0.008,0.003,-0.048,-0.001,-0.001,-0.001,505,-0.000527859
02:00:57:700516,0.374034,-0.000506011,0.04,-0,-0.082,0,0,-0.001,505,-0.000527859
02:00:57:705517,0.374034,-0.000874702,0.072,0.003,-0.133,0,0.001,0,505,-0.000527859
02:00:57:710617,0.374031,-0.0013434,0.066,0.021,-0.108,0,0.001,0,505,-0.000527859
02:00:57:715655,0.374074,-0.00191236,0.02,0.067,0.026,0,0.001,-0.001,505,-0.000527859
02:00:57:720783,0.374066,-0.00258257,-0.016,0.091,0.126,0,0,-0.002,505,-0.000527859
02:00:57:725743,0.374055,-0.00335327,-0.045,0.08,0.18,-0.001,-0.001,-0.002,505,-0.000527859
02:00:57:730892,0.374041,-0.0042238,-0.031,0.039,0.122,0,-0.001,-0.001,505,-0.000527859
02:00:57:735853,0.374067,-0.00519508,0.022,-0.033,-0.03,0,0,0,505,-0.000527859
02:00:57:740982,0.374037,-0.00626527,0.052,-0.054,-0.083,0,0,-0.002,505,-0.000527859
02:00:57:745986,0.374045,-0.00743655,0.059,-0.019,-0.013,0,0,-0.003,505,-0.000527859
02:00:57:751119,0.374045,-0.00870824,0.05,0.03,0.067,0,0,0,502,-0.000703812
02:00:57:756159,0.374033,-0.0100806,0.063,0.099,0.058,0,0.001,0.012,502,-0.000703812
02:00:57:761278,0.374051,-0.0115542,0.086,0.123,-0.048,0.002,0.002,0.018,493,-0.00123167
02:00:57:766269,0.374055,-0.0131272,0.071,0.108,-0.205,0.007,0.002,0.018,493,-0.00123167
02:00:57:771260,0.374038,-0.0147993,-0.017,0.024,-0.223,0.008,0.001,0.018,482,-0.00187683
02:00:57:776384,0.37405,-0.016573,-0.269,-0.396,-0.142,0,-0.004,0.019,468,-0.00269795
02:00:57:781491,0.374038,-0.0184455,-0.524,-1.388,-0.1,-0.034,-0.011,-0.002,468,-0.00269795
02:00:57:786495,0.374056,-0.0203275,-0.59,-2.309,-0.137,-0.066,-0.015,-0.037,454,-0.00351906
02:00:57:791737,0.374064,-0.0221095,-0.433,-3.628,-0.181,-0.108,-0.016,-0.092,439,-0.00439883
02:00:57:796730,0.374073,-0.0237914,-0.168,-4.186,-0.109,-0.119,-0.009,-0.109,439,-0.00439883
02:00:57:801884,0.374033,-0.0253702,0.344,-4.412,0.146,-0.114,0.014,-0.103,423,-0.00533724
02:00:57:806898,0.37404,-0.0268519,0.64,-4.271,0.289,-0.109,0.036,-0.094,410,-0.00609971
02:00:57:811984,0.374048,-0.0282339,0.755,-3.891,0.229,-0.102,0.059,-0.088,410,-0.00609971
02:00:57:817006,0.374064,-0.0295147,0.519,-3.646,0.016,-0.095,0.055,-0.084,399,-0.00674487
02:00:57:822133,0.374039,-0.0306921,-0.172,-3.457,-0.274,-0.088,0.018,-0.074,399,-0.00674487
02:00:57:827106,0.374068,-0.0317736,-0.64,-3.474,-0.274,-0.095,-0.014,-0.07,393,-0.00709677
02:00:57:832131,0.37406,-0.0327525,-1.03,-3.527,0.03,-0.116,-0.054,-0.072,393,-0.00709677
02:00:57:837265,0.374067,-0.0336323,-1.023,-3.42,0.26,-0.122,-0.064,-0.072,393,-0.00709677
02:00:57:842355,0.374037,-0.0344088,-0.626,-2.956,0.32,-0.111,-0.045,-0.063,399,-0.00674487
02:00:57:847381,0.374069,-0.0350899,0.124,-2.331,0.029,-0.093,0.014,-0.058,416,-0.0057478
02:00:57:852499,0.374067,-0.0356668,0.61,-1.987,-0.173,-0.087,0.058,-0.064,416,-0.0057478
02:00:57:857510,0.374033,-0.0361407,0.843,-1.678,-0.261,-0.087,0.082,-0.072,440,-0.00434018
02:00:57:862616,0.374062,-0.0365214,0.585,-1.495,-0.197,-0.09,0.058,-0.061,440,-0.00434018
02:00:57:867615,0.374063,-0.0367969,0.026,-0.815,-0.045,-0.078,-0.006,-0.02,469,-0.0026393
