time,bd,bv,hd,hv,ha,md1,md2
0.0,9.739894919457716e-14,3.225749808582517e-14,7.004932784916585e-15,5.687902387885e-16,-9.095159412661155e-18,-0.06,0.06
0.0006,-1.4399733908913582e-06,-0.0023999558138334113,1.4313236641384855e-06,0.0023855394285545724,3.9758990475900053,-0.06,0.06
0.0012,-4.319919409407539e-06,-0.004799910030876534,4.285310636376979e-06,0.004756644953729463,3.9518425419581513,-0.06,0.06
0.0018,-8.63983692874333e-06,-0.007199862532242551,8.553291387539161e-06,0.007113301251935601,3.9277604970102296,-0.06,0.06
0.0024,-1.4399724839948875e-05,-0.009599813185358809,1.4226587606572248e-05,0.009455493698387102,3.9036540774191715,-0.06,0.06
0.003,-2.1599581944982872e-05,-0.011999761841739554,2.129651262290053e-05,0.011783208360545734,3.8795244369310535,-0.06,0.06
0.0036,-3.0239406945573298e-05,-0.014399708334333612,2.9754371817275882e-05,0.01409643199062419,3.855372716797427,-0.06,0.06
0.0042,-4.031919843014084e-05,-0.016799652474295466,3.9591463027432125e-05,0.016395152016925655,3.831200043835778,-0.06,0.06
0.0048,-5.18389548583446e-05,-0.019199594047022515,5.079907694769224e-05,0.018679356533765453,3.8070075280663316,-0.06,0.06
0.0054,-6.479867454268415e-05,-0.021599532807248776,6.33684975214983e-05,0.020949034289675286,3.7827962598497185,-0.06,0.06
0.006,-7.919835562642162e-05,-0.02399946847291203,7.729100232561393e-05,0.023204174673524605,3.7585673064155243,-0.06,0.06
0.0066,-9.503799605685614e-05,-0.026399400717407102,9.255786294447318e-05,0.025444767698097285,3.7343217076211412,-0.06,0.06
0.0072,-0.00011231759355265874,-0.028799329159687248,0.000109160345332786,0.02767080398051989,3.7100604707043408,-0.06,0.06
0.0078,-0.00013103714556352155,-0.03119925335145421,0.0001270897101640225,0.02988227471872601,3.6857845636768687,-0.06,0.06
0.0084,-0.00015119664921971895,-0.03359917276034527,0.00014633721316171597,0.032079171662820934,3.6614949068248777,-0.06,0.06
0.009,-0.00017279610126821884,-0.035999086747516056,0.00016689410540954639,0.03426148707971585,3.6371923614915276,-0.06,0.06
0.0096,-0.00019583549799053948,-0.03839899453721731,0.00018875163363471913,0.03642921370861968,3.612877714839709,-0.06,0.06
0.0102,-0.0002203148350953323,-0.04079889517467079,0.00021190104045694635,0.038582344703710365,3.5885516584844637,-0.06,0.06
0.0108,-0.0002462341075751588,-0.043198787466393745,0.00023633356459186239,0.040720873558191865,3.5642147574691667,-0.06,0.06
0.0114,-0.00027359330951118847,-0.045598669893399016,0.00026204044099203277,0.042844794000282356,3.539867403484152,-0.06,0.06
0.012,-0.0003023924337997766,-0.04799854048099649,0.00028901290089908185,0.044954099845080205,3.5155097413297587,-0.06,0.06
0.0126,-0.0003326314717575256,-0.05039839659626449,0.0003172421717633481,0.04704878477377543,3.4911415478253724,-0.06,0.06
0.0132,-0.00036431041252888325,-0.052798234618945804,0.0003467194769553633,0.04912884198669041,3.4667620215249757,-0.06,0.06
0.0138,-0.0003974292421552416,-0.05519804937728006,0.0003774360351291927,0.05119426362304736,3.442369393928243,-0.06,0.06
0.0144,-0.0004319879420234645,-0.05759783311372112,0.0004093830589583221,0.05324503971521394,3.4179601536109634,-0.06,0.06
0.015,-0.0004679864860733174,-0.059997573416437674,0.00044255175263003714,0.05528115611952336,3.3935273405157074,-0.06,0.06
