time,bd,bv,hd,hv,ha,md1,md2
0.0,0.0,0.0,0,0,0,-0.03,0.03
0.002,-1.1909496492609638e-05,-0.00595474824630482,0,0,0,-0.03,0.03
0.004,-3.565471212536072e-05,-0.011872607816375544,0,0,0,-0.03,0.03
0.006,-7.116015864245357e-05,-0.017752723258546425,0,0,0,-0.03,0.03
0.008,-0.00011834859590332237,-0.023594218630434396,0,0,0,-0.03,0.03
0.01,-0.00017714099059084408,-0.029396197343760855,0,0,0,-0.03,0.03
0.012,-0.0002474564746890748,-0.03515774204911535,0,0,0,-0.03,0.03
0.014,-0.00032921230382094605,-0.04087791456593564,0,0,0,-0.03,0.03
0.016,-0.00042232381554774463,-0.0465557558633993,0,0,0,-0.03,0.03
0.018,-0.0005267043877444588,-0.0521902860983571,0,0,0,-0.03,0.03
0.02,-0.0006422653971782275,-0.05778050471688437,0,0,0,-0.03,0.03
0.022,-0.000768916178431187,-0.06332539062647977,0,0,0,-0.03,0.03
0.024,-0.0009065639833239803,-0.06882390244639655,0,0,0,-0.03,0.03
0.026,-0.001055113941012064,-0.07427497884404191,0,0,0,-0.03,0.03
0.028,-0.0012144690189437044,-0.07967753896582011,0,0,0,-0.03,0.03
0.03,-0.0013845299848861314,-0.08503048297121363,0,0,0,-0.03,0.03
0.032,-0.0015651953702447016,-0.09033269267928497,0,0,0,-0.03,0.03
0.034,-0.0017563614349189525,-0.0955830323371254,0,0,0,-0.03,0.03
0.036,-0.001957922133959083,-0.10078034952006543,0,0,0,-0.03,0.03
0.038,-0.0021697690863064323,-0.10592347617367467,0,0,0,-0.03,0.03
0.04,-0.002391791545921837,-0.1110112298077022,0,0,0,-0.03,0.03
0.042,-0.0026238763756260774,-0.11604241485211986,0,0,0,-0.03,0.03
0.044,-0.0028659080239966973,-0.1210158241853105,0,0,0,-0.03,0.03
0.046,-0.0031177685056850268,-0.12593024084416474,0,0,0,-0.03,0.03
0.048,-0.003379337385535811,-0.1307844399253919,0,0,0,-0.03,0.03
0.05,-0.0036504917669091816,-0.1355771906866851,0,0,0,-0.03,0.03
0.052,-0.003931106284620139,-0.14030725885547946,0,0,0,-0.03,0.03
0.054,-0.004221053102923907,-0.14497340915188378,0,0,0,-0.03,0.03
0.056,-0.004520201918985747,-0.14957440803091973,0,0,0,-0.03,0.03
0.058,-0.004828419972280645,-0.154109026647449,0,0,0,-0.03,0.03
0.06,-0.005145572060370817,-0.15857604404508605,0,0,0,-0.03,0.03
0.062,-0.005471520561506757,-0.16297425056796971,0,0,0,-0.03,0.03
0.064,-0.005806125464489738,-0.16730245149149073,0,0,0,-0.03,0.03
0.066,-0.006149244406219631,-0.171559470864946,0,0,0,-0.03,0.03
0.068,-0.006500732717330882,-0.17574415555562586,0,0,0,-0.03,0.03
0.07,-0.006860443476291,-0.17985537948005853,0,0,0,-0.03,0.03
0.072,-0.007228227572299151,-0.1838920480040767,0,0,0,-0.03,0.03
0.074,-0.0076039337772773235,-0.18785310248908638,0,0,0,-0.03,0.03
0.076,-0.007987408827192276,-0.19173752495747565,0,0,0,-0.03,0.03
0.078,-0.008378497512883467,-0.19554434284559497,0,0,0,-0.03,0.03
0.08,-0.008777042780499998,-0.19927263380826593,0,0,0,-0.03,0.03
0.082,-0.009182885841568924,-0.20292153053446205,0,0,0,-0.03,0.03
