Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
22:18:16:139609,-2,-3,-1,-2,-1,-1,-2,-1
22:18:16:147371,-2,-3,-1,-2,-1,-1,-2,-1
22:18:16:148187,-2,-2,-2,0,-2,-1,-1,2
22:18:16:154169,-2,-1,-1,-1,1,0,1,-1
22:18:16:169868,-2,-1,-1,-1,1,0,1,-1
22:18:16:170692,1,-1,-1,-1,-3,-1,2,-1
22:18:16:176649,-2,-2,0,-2,0,1,0,-3
22:18:16:184924,-2,-2,0,-2,0,1,0,-3
22:18:16:185717,0,1,-6,-1,-1,0,-2,-2
22:18:16:199200,-1,-1,0,-2,0,0,-1,-1
22:18:16:207388,-1,-1,0,-2,0,0,-1,-1
22:18:16:208203,-2,-1,0,3,0,0,0,-2
22:18:16:214141,0,-3,-2,-4,-3,-3,-1,0
22:18:16:229888,0,-3,-2,-4,-3,-3,-1,0
22:18:16:230665,1,5,-5,-5,-2,-1,0,1
22:18:16:236675,-3,-2,0,0,0,-3,-2,-1
22:18:16:252397,-3,-2,0,0,0,-3,-2,-1
22:18:16:253164,-1,0,2,0,-2,-2,-3,-1
22:18:16:259182,0,0,-1,-2,-3,0,-2,-1
22:18:16:267386,0,0,-1,-2,-3,0,-2,-1
22:18:16:268208,-1,-3,0,-2,-1,1,-1,-1
22:18:16:281694,-1,-3,-2,-1,0,-1,-1,-1
22:18:16:289873,-1,-3,-2,-1,0,-1,-1,-1
22:18:16:290684,-1,-2,0,-2,-1,1,-1,-1
22:18:16:296704,-2,-4,-7,-1,-1,0,0,-1
22:18:16:304881,-2,-4,-7,-1,-1,0,0,-1
22:18:16:305683,-3,-3,-2,-2,1,-1,-2,-2
22:18:16:319198,1,0,2,0,-1,-2,-2,-1
22:18:16:327375,1,0,2,0,-1,-2,-2,-1
22:18:16:328173,1,-1,0,-2,-1,0,-2,0
22:18:16:334205,-1,-3,0,0,0,1,1,-1
