Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
22:18:16:139609,3530,-240,-6537,14600,303,-1513,1438,7,6,7
22:18:16:147371,3530,-240,-6537,14601,297,-1503,1435,2,8,5
22:18:16:148187,3530,-240,-6537,14601,297,-1503,1435,2,8,5
22:18:16:154169,3530,-240,-6537,14601,297,-1503,1435,2,8,5
22:18:16:169868,3530,-240,-6537,14601,300,-1514,1441,-1,5,7
22:18:16:170692,3530,-240,-6537,14601,300,-1514,1441,-1,5,7
22:18:16:176649,3530,-240,-6537,14601,300,-1514,1441,-1,5,7
22:18:16:184924,3530,-240,-6537,14601,301,-1527,1439,4,6,8
22:18:16:185717,3530,-240,-6537,14601,301,-1527,1439,4,6,8
22:18:16:199200,3530,-240,-6537,14601,301,-1527,1439,4,6,8
22:18:16:207388,3530,-241,-6537,14601,292,-1525,1444,14,2,7
22:18:16:208203,3530,-241,-6537,14601,292,-1525,1444,14,2,7
22:18:16:214141,3530,-241,-6537,14601,292,-1525,1444,14,2,7
22:18:16:229888,3530,-241,-6536,14601,279,-1523,1447,10,-5,0
22:18:16:230665,3530,-241,-6536,14601,279,-1523,1447,10,-5,0
22:18:16:236675,3530,-241,-6536,14601,279,-1523,1447,10,-5,0
22:18:16:252397,3529,-242,-6537,14601,285,-1529,1442,11,-7,-10
22:18:16:253164,3529,-242,-6537,14601,285,-1529,1442,11,-7,-10
22:18:16:259182,3529,-242,-6537,14601,285,-1529,1442,11,-7,-10
22:18:16:267386,3530,-241,-6534,14602,288,-1512,1433,16,-8,-9
22:18:16:268208,3530,-241,-6534,14602,288,-1512,1433,16,-8,-9
22:18:16:281694,3530,-241,-6534,14602,288,-1512,1433,16,-8,-9
22:18:16:289873,3530,-240,-6531,14603,288,-1504,1436,19,-7,-8
22:18:16:290684,3530,-240,-6531,14603,288,-1504,1436,19,-7,-8
22:18:16:296704,3530,-240,-6531,14603,288,-1504,1436,19,-7,-8
22:18:16:304881,3530,-240,-6530,14603,290,-1496,1442,8,-5,-9
22:18:16:305683,3530,-240,-6530,14603,290,-1496,1442,8,-5,-9
22:18:16:319198,3530,-240,-6530,14603,290,-1496,1442,8,-5,-9
22:18:16:327375,3532,-242,-6533,14602,289,-1504,1440,-24,1,-16
22:18:16:328173,3532,-242,-6533,14602,289,-1504,1440,-24,1,-16
22:18:16:334205,3532,-242,-6533,14602,289,-1504,1440,-24,1,-16
22:18:16:349934,3536,-244,-6537,14599,282,-1511,1437,-31,3,-31
22:18:16:350727,3536,-244,-6537,14599,282,-1511,1437,-31,3,-31
22:18:16:356716,3536,-244,-6537,14599,282,-1511,1437,-31,3,-31
22:18:16:364193,3539,-244,-6541,14596,289,-1518,1443,-27,-2,-27
22:18:16:371725,3539,-244,-6541,14596,289,-1518,1443,-27,-2,-27
22:18:16:379190,3539,-244,-6541,14596,289,-1518,1443,-27,-2,-27
22:18:16:387389,3542,-244,-6543,14595,284,-1517,1447,-15,-7,-25
22:18:16:388229,3542,-244,-6543,14595,284,-1517,1447,-15,-7,-25
22:18:16:401684,3542,-244,-6543,14595,284,-1517,1447,-15,-7,-25
22:18:16:418144,3545,-243,-6543,14594,302,-1504,1443,-10,-2,-22
22:18:16:418864,3545,-243,-6543,14594,302,-1504,1443,-10,-2,-22
22:18:16:419684,3545,-243,-6543,14594,302,-1504,1443,-10,-2,-22
22:18:16:424214,3545,-243,-6542,14594,321,-1490,1448,-16,-2,-3
22:18:16:431714,3545,-243,-6542,14594,321,-1490,1448,-16,-2,-3
22:18:16:448053,3545,-243,-6542,14594,321,-1490,1448,-16,-2,-3
22:18:16:448899,3544,-245,-6543,14594,308,-1485,1433,-18,4,14
22:18:16:449682,3544,-245,-6543,14594,308,-1485,1433,-18,4,14
22:18:16:461685,3544,-245,-6543,14594,308,-1485,1433,-18,4,14
22:18:16:469907,3541,-247,-6545,14594,317,-1487,1428,-24,7,26
22:18:16:470690,3541,-247,-6545,14594,317,-1487,1428,-24,7,26
22:18:16:476680,3541,-247,-6545,14594,317,-1487,1428,-24,7,26
22:18:16:484259,3536,-252,-6548,14594,316,-1497,1434,-28,12,36
