Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
22:30:59:636341,-8,4,-22,-22,-8,-4,-5,-6
22:30:59:637108,-14,6,39,21,4,0,-3,0
22:30:59:637924,2,-2,-22,-11,-5,-4,-11,-7
22:30:59:638775,2,-2,-22,-11,-5,-4,-11,-7
22:30:59:641809,8,-20,-27,7,2,-4,-7,-1
22:30:59:642621,0,26,62,21,0,-5,-22,-15
22:30:59:648717,0,26,62,21,0,-5,-22,-15
22:30:59:656161,-5,4,3,-15,-1,4,7,4
22:30:59:663647,3,5,46,13,7,6,13,4
22:30:59:679379,3,5,46,13,7,6,13,4
22:30:59:680187,-2,17,43,33,-3,-5,-10,-3
22:30:59:686855,-20,-18,-26,-15,-2,-6,-13,-7
22:30:59:687699,-20,-18,-26,-15,-2,-6,-13,-7
22:30:59:693658,-1,0,13,6,1,5,40,9
22:30:59:701135,-9,2,27,31,7,4,-11,-6
22:30:59:717926,-9,2,27,31,7,4,-11,-6
22:30:59:724287,8,2,-39,-16,-5,-3,-8,1
22:30:59:725091,31,-10,-24,-13,-3,0,10,14
22:30:59:731827,31,-10,-24,-13,-3,0,10,14
22:30:59:732628,2,3,-2,7,2,-3,-29,-10
22:30:59:746892,4,8,6,0,-4,0,6,6
22:30:59:747695,4,8,6,0,-4,0,6,6
22:30:59:762218,-8,-4,-1,-3,1,2,12,-1
22:30:59:769338,4,-16,2,-1,-10,-8,-3,-3
22:30:59:770169,4,-16,2,-1,-10,-8,-3,-3
22:30:59:776167,-5,-3,6,12,0,-6,-14,-9
22:30:59:783661,-5,7,-16,-14,1,7,15,1
22:30:59:791827,-5,7,-16,-14,1,7,15,1
22:30:59:792606,-10,-31,-50,-24,-8,-3,-7,3
22:30:59:823109,-32,5,16,10,0,-6,-13,-8
22:30:59:823944,-32,5,16,10,0,-6,-13,-8
22:30:59:824740,5,9,5,-9,-12,-10,-13,-4
22:30:59:825539,8,-1,-32,-32,-8,-2,-9,6
22:30:59:828660,8,-1,-32,-32,-8,-2,-9,6
22:30:59:836127,-8,-12,-16,5,1,2,19,10
22:30:59:868135,5,8,-3,13,4,1,-5,-5
22:30:59:868964,5,8,-3,13,4,1,-5,-5
22:30:59:869768,0,-12,20,9,-2,-1,-1,-8
22:30:59:870573,-21,-16,-9,-3,-5,-2,-3,-5
22:30:59:874349,-21,-16,-9,-3,-5,-2,-3,-5
22:30:59:875141,1,0,2,18,1,-2,-7,-5
22:30:59:881106,0,0,5,17,1,-2,0,2
22:30:59:905080,0,0,5,17,1,-2,0,2
22:30:59:905844,-2,11,-31,-6,3,4,16,-4
22:30:59:906636,3,-14,-34,-3,2,6,8,-2
22:30:59:911819,3,-14,-34,-3,2,6,8,-2
22:30:59:912635,4,4,24,5,-8,-7,-12,0
22:30:59:926807,3,-5,-18,-16,2,1,1,3
22:30:59:927641,3,-5,-18,-16,2,1,1,3
22:30:59:933648,0,6,30,22,8,-1,-9,-2
22:30:59:941178,5,-3,-6,10,-2,2,21,7
22:30:59:948684,5,-3,-6,10,-2,2,21,7
22:30:59:956163,-4,-14,-6,-14,-1,4,23,1
22:30:59:963676,5,12,49,11,0,-3,-7,-2
22:30:59:971846,5,12,49,11,0,-3,-7,-2
22:30:59:972650,-17,-3,-22,-19,-5,-7,-15,0
22:30:59:986847,-1,4,-4,-14,-1,2,17,1
22:30:59:987655,-1,4,-4,-14,-1,2,17,1
22:31:00:1809,25,-2,33,11,8,10,14,8
22:31:00:2601,1,-17,-55,-33,-5,-9,-21,-9
22:31:00:8634,1,-17,-55,-33,-5,-9,-21,-9
22:31:00:16138,1,18,34,1,1,2,0,-1
22:31:00:23647,2,14,39,25,6,-1,-21,2
22:31:00:31806,2,14,39,25,6,-1,-21,2
22:31:00:32630,2,5,2,28,0,-2,-15,-3
22:31:00:47289,15,-3,3,-5,0,1,-4,5
22:31:00:48103,15,-3,3,-5,0,1,-4,5
22:31:00:53663,2,-32,-45,-47,-25,-12,-5,-4
22:31:00:61146,-13,4,4,13,-5,-6,-11,-9
22:31:00:68676,-13,4,4,13,-5,-6,-11,-9
22:31:00:84702,-8,3,-4,7,11,3,5,-7
22:31:00:92937,11,14,43,2,-7,-5,-2,4
22:31:00:93751,11,14,43,2,-7,-5,-2,4
22:31:00:98645,-6,5,0,15,7,2,-3,-3
22:31:00:106805,-6,-2,6,3,-5,-10,-37,-14
22:31:00:107648,-6,-2,6,3,-5,-10,-37,-14
22:31:00:113608,-6,1,-14,-7,-4,-1,-8,-6
22:31:00:145664,15,16,14,34,6,4,14,7
22:31:00:146472,15,16,14,34,6,4,14,7
22:31:00:147247,9,-5,-18,-15,-2,-4,-4,5
22:31:00:148118,1,-8,-41,-62,-5,3,-2,-3
22:31:00:151837,1,-8,-41,-62,-5,3,-2,-3
22:31:00:152662,-10,1,3,8,3,0,-3,-5
22:31:00:174959,-7,-6,-4,-7,-1,1,13,-3
22:31:00:175790,-7,-6,-4,-7,-1,1,13,-3
22:31:00:176587,0,4,3,-11,-3,-1,0,-3
22:31:00:189366,-18,-11,-32,-9,-3,1,23,-4
22:31:00:190200,-18,-11,-32,-9,-3,1,23,-4
22:31:00:196155,18,11,18,21,2,1,24,19
22:31:00:203673,-31,-38,-17,-26,-5,-5,-5,-12
