Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
21:51:06:911458,15864,-2312,2999,-1559,-808,-650,1681,86,-853,-2227
21:51:06:912294,15864,-2312,2999,-1559,-808,-650,1681,86,-853,-2227
21:51:06:918744,15864,-2312,2999,-1559,-808,-650,1681,86,-853,-2227
21:51:06:933930,15840,-2448,2789,-1939,-852,-833,1583,-228,-929,-2381
21:51:06:934774,15840,-2448,2789,-1939,-852,-833,1583,-228,-929,-2381
21:51:06:940791,15840,-2448,2789,-1939,-852,-833,1583,-228,-929,-2381
21:51:06:948941,15806,-2554,2569,-2339,-863,-1076,1707,-23,-940,-2474
21:51:06:949732,15806,-2554,2569,-2339,-863,-1076,1707,-23,-940,-2474
21:51:06:963270,15806,-2554,2569,-2339,-863,-1076,1707,-23,-940,-2474
21:51:06:971468,15767,-2686,2296,-2709,-753,-900,1748,-182,-1267,-2395
21:51:06:972273,15767,-2686,2296,-2709,-753,-900,1748,-182,-1267,-2395
21:51:06:978241,15767,-2686,2296,-2709,-753,-900,1748,-182,-1267,-2395
21:51:06:993921,15726,-2773,1983,-3083,-557,-1027,1695,114,-1422,-2415
21:51:06:994724,15726,-2773,1983,-3083,-557,-1027,1695,114,-1422,-2415
21:51:07:792,15726,-2773,1983,-3083,-557,-1027,1695,114,-1422,-2415
21:51:07:8952,15681,-2853,1627,-3425,-349,-753,1888,132,-1654,-2279
21:51:07:9748,15681,-2853,1627,-3425,-349,-753,1888,132,-1654,-2279
21:51:07:23297,15681,-2853,1627,-3425,-349,-753,1888,132,-1654,-2279
21:51:07:31465,15621,-3005,1253,-3714,-179,-815,1995,-278,-1874,-2072
21:51:07:32244,15621,-3005,1253,-3714,-179,-815,1995,-278,-1874,-2072
21:51:07:38311,15621,-3005,1253,-3714,-179,-815,1995,-278,-1874,-2072
21:51:07:53992,15562,-3142,905,-3942,-46,-1157,2135,-222,-1773,-1708
21:51:07:54779,15562,-3142,905,-3942,-46,-1157,2135,-222,-1773,-1708
21:51:07:60771,15562,-3142,905,-3942,-46,-1157,2135,-222,-1773,-1708
21:51:07:68946,15498,-3283,651,-4127,-268,-1265,2187,-260,-1491,-1457
21:51:07:69727,15498,-3283,651,-4127,-268,-1265,2187,-260,-1491,-1457
21:51:07:83290,15498,-3283,651,-4127,-268,-1265,2187,-260,-1491,-1457
21:51:07:91416,15448,-3390,441,-4256,-245,-1178,2233,-207,-1306,-1107
21:51:07:92214,15448,-3390,441,-4256,-245,-1178,2233,-207,-1306,-1107
21:51:07:98236,15448,-3390,441,-4256,-245,-1178,2233,-207,-1306,-1107
21:51:07:113979,15399,-3502,254,-4356,-290,-809,1944,-397,-1261,-933
21:51:07:114763,15399,-3502,254,-4356,-290,-809,1944,-397,-1261,-933
21:51:07:120768,15399,-3502,254,-4356,-290,-809,1944,-397,-1261,-933
21:51:07:128946,15347,-3605,-19,-4461,144,-540,2098,-397,-1527,-975
21:51:07:129737,15347,-3605,-19,-4461,144,-540,2098,-397,-1527,-975
21:51:07:143275,15347,-3605,-19,-4461,144,-540,2098,-397,-1527,-975
21:51:07:151483,15238,-3924,-262,-4555,742,-1524,1868,-1140,-1452,-913
21:51:07:152254,15238,-3924,-262,-4555,742,-1524,1868,-1140,-1452,-913
21:51:07:158259,15238,-3924,-262,-4555,742,-1524,1868,-1140,-1452,-913
21:51:07:165804,15172,-4108,-435,-4602,714,-1959,2141,-364,-1012,-583
21:51:07:173260,15172,-4108,-435,-4602,714,-1959,2141,-364,-1012,-583
21:51:07:180794,15172,-4108,-435,-4602,714,-1959,2141,-364,-1012,-583
21:51:07:188795,15201,-4044,-491,-4556,117,-1594,2330,671,-443,52
21:51:07:195733,15201,-4044,-491,-4556,117,-1594,2330,671,-443,52
21:51:07:203270,15201,-4044,-491,-4556,117,-1594,2330,671,-443,52
21:51:07:211445,15251,-3884,-505,-4528,-297,-733,2225,762,-230,24
21:51:07:212251,15251,-3884,-505,-4528,-297,-733,2225,762,-230,24
21:51:07:218235,15251,-3884,-505,-4528,-297,-733,2225,762,-230,24
21:51:07:225798,15265,-3782,-515,-4566,-310,-407,1983,305,-192,-316
21:51:07:233221,15265,-3782,-515,-4566,-310,-407,1983,305,-192,-316
21:51:07:240744,15265,-3782,-515,-4566,-310,-407,1983,305,-192,-316
21:51:07:248984,15245,-3781,-525,-4632,-96,-627,1958,-154,-224,-478
21:51:07:249779,15245,-3781,-525,-4632,-96,-627,1958,-154,-224,-478
21:51:07:263236,15245,-3781,-525,-4632,-96,-627,1958,-154,-224,-478
21:51:07:271455,15216,-3842,-527,-4677,80,-869,2042,-406,-229,-347
21:51:07:272255,15216,-3842,-527,-4677,80,-869,2042,-406,-229,-347
21:51:07:278224,15216,-3842,-527,-4677,80,-869,2042,-406,-229,-347
21:51:07:285804,15184,-3904,-534,-4728,179,-1021,2024,-335,-211,-382
21:51:07:293269,15184,-3904,-534,-4728,179,-1021,2024,-335,-211,-382
