Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:28:10:765191,0,-2,0,-5,-1,-1,0,1
15:28:10:765994,0,-2,0,-5,-1,-1,0,1
15:28:10:771981,-3,3,-1,2,-1,0,-1,-1
15:28:10:780150,1,4,2,0,-1,-1,0,-3
15:28:10:780959,1,4,2,0,-1,-1,0,-3
15:28:10:787004,-2,-4,3,2,3,1,-2,0
15:28:10:802642,-1,-6,-4,-6,-1,-2,-1,-1
15:28:10:803446,-1,-6,-4,-6,-1,-2,-1,-1
15:28:10:825845,-2,-6,-14,-2,-1,-1,-3,-1
15:28:10:826641,-1,-4,1,0,-1,2,0,1
15:28:10:827448,-1,-4,1,0,-1,2,0,1
15:28:10:831976,1,-3,-4,-8,-3,-2,1,-4
15:28:10:840201,-1,-1,-5,2,-1,-3,-2,0
15:28:10:841014,-1,-1,-5,2,-1,-3,-2,0
15:28:10:847011,-3,2,7,3,-1,-1,1,0
15:28:10:862677,-1,-2,-3,-1,0,0,-1,-3
15:28:10:863474,-1,-2,-3,-1,0,0,-1,-3
15:28:10:869488,1,0,-3,-3,2,-2,-2,-2
15:28:10:877645,0,3,6,2,2,5,1,0
15:28:10:878476,0,3,6,2,2,5,1,0
15:28:10:891926,-3,-5,-8,-6,-3,-1,-1,0
15:28:10:900153,1,-2,1,1,-4,-2,-1,-1
15:28:10:901010,1,-2,1,1,-4,-2,-1,-1
15:28:10:906970,0,3,5,3,-4,0,-1,-4
15:28:10:922663,1,-1,0,-2,-1,-1,1,-5
15:28:10:923466,1,-1,0,-2,-1,-1,1,-5
15:28:10:929438,-2,-1,3,3,-1,-3,-2,0
15:28:10:937667,-1,-4,-1,0,0,-1,-1,-2
15:28:10:938495,-1,-4,-1,0,0,-1,-1,-2
15:28:10:952024,-3,2,-5,-1,0,-2,-1,-1
15:28:10:960156,-2,-3,-3,-2,1,0,-2,-2
15:28:10:960971,-2,-3,-3,-2,1,0,-2,-2
15:28:10:966931,1,-1,1,-1,0,2,-1,-3
15:28:10:982683,-1,1,-4,-1,-3,-2,-1,-1
15:28:10:983466,-1,1,-4,-1,-3,-2,-1,-1
15:28:10:989497,1,-1,1,-5,-2,1,-3,-1
15:28:11:5174,1,-1,1,-5,-2,1,-3,-1
15:28:11:5966,1,3,0,-1,-1,-3,0,0
15:28:11:11993,-1,-4,-3,0,-1,-3,-5,1
15:28:11:20189,-1,-4,-3,0,-1,-3,-5,1
15:28:11:20969,-2,0,3,-4,0,-2,-1,1
15:28:11:26950,-2,-1,-5,-2,-4,1,-1,-2
15:28:11:42676,-2,-1,-5,-2,-4,1,-1,-2
15:28:11:43451,-2,1,-1,-1,-3,-2,-3,1
15:28:11:49502,-1,-4,0,0,2,-1,-1,-1
15:28:11:73364,-1,-4,0,0,2,-1,-1,-1
15:28:11:74189,-1,-3,-2,-1,2,0,-3,1
15:28:11:74957,-3,-5,2,-1,-6,-4,-1,-2
15:28:11:80229,-3,-5,2,-1,-6,-4,-1,-2
15:28:11:81002,0,-2,-6,-6,-4,-2,-1,-2
15:28:11:86981,0,-1,-3,-3,0,0,1,3
15:28:11:102713,0,-1,-3,-3,0,0,1,3
15:28:11:103468,1,-1,1,3,1,-1,-2,0
15:28:11:109474,-2,3,-9,0,-4,-1,0,-1
15:28:11:125185,-2,3,-9,0,-4,-1,0,-1
15:28:11:125961,-1,-2,0,-3,-1,-2,1,1
15:28:11:131947,0,1,6,3,2,0,-1,-1
15:28:11:140200,0,1,6,3,2,0,-1,-1
15:28:11:141003,-1,-3,-3,-1,0,-3,-2,-3
15:28:11:146994,1,1,-1,-2,-1,-2,-3,-3
15:28:11:162678,1,1,-1,-2,-1,-2,-3,-3
15:28:11:163490,2,2,4,0,1,0,-4,-3
15:28:11:169490,1,2,3,4,1,0,-2,-2
15:28:11:185161,1,2,3,4,1,0,-2,-2
15:28:11:186006,-4,-5,-5,-3,-1,-1,0,-4
15:28:11:191950,-2,3,2,-2,1,1,-2,1
15:28:11:200169,-2,3,2,-2,1,1,-2,1
15:28:11:200978,-1,-2,-3,-4,-2,-1,0,1
15:28:11:206975,-1,-4,-3,-5,-1,0,1,-2
15:28:11:222700,-1,-4,-3,-5,-1,0,1,-2
15:28:11:223481,-3,1,-2,2,0,-1,-2,2
15:28:11:229438,3,-2,3,0,-1,-2,0,1
15:28:11:245182,3,-2,3,0,-1,-2,0,1
15:28:11:245985,-2,1,-3,-3,-2,1,0,-1
15:28:11:251996,-1,-2,0,2,0,-3,-1,2
15:28:11:260172,-1,-2,0,2,0,-3,-1,2
15:28:11:260969,-2,-3,-2,1,0,2,0,0
15:28:11:266945,0,0,0,-2,-2,-1,0,-1
15:28:11:282678,0,0,0,-2,-2,-1,0,-1
15:28:11:283461,3,-1,-5,-4,-1,-3,0,0
15:28:11:289432,-4,-4,-4,-1,1,1,0,-2
15:28:11:305173,-4,-4,-4,-1,1,1,0,-2
15:28:11:305971,1,3,7,2,1,0,-2,-1
15:28:11:312004,-5,-8,-16,-13,-5,-1,-3,-2
15:28:11:320176,-5,-8,-16,-13,-5,-1,-3,-2
15:28:11:320974,-3,-5,-4,0,-4,-2,-1,-5
15:28:11:326954,1,2,2,0,-1,0,1,0
15:28:11:342700,1,2,2,0,-1,0,1,0
15:28:11:343446,0,-1,-3,-3,-2,-1,-2,0
15:28:11:349530,-1,-1,2,-1,-1,-3,-3,-2
15:28:11:365246,-1,-1,2,-1,-1,-3,-3,-2
15:28:11:366058,-2,-2,2,1,-3,-12,-1,-1
15:28:11:372033,3,-3,0,1,-1,-12,1,-1
15:28:11:380189,3,-3,0,1,-1,-12,1,-1
15:28:11:380978,-1,4,0,-3,1,13,-3,-2
15:28:11:386993,-2,-1,2,1,-2,9,0,-2
15:28:11:402744,-2,-1,2,1,-2,9,0,-2
15:28:11:403499,1,1,2,2,0,4,4,0
15:28:11:409515,0,1,-2,-6,-1,-1,2,0
15:28:11:425191,0,1,-2,-6,-1,-1,2,0
15:28:11:426000,-3,0,3,-1,1,-6,-4,-3
15:28:11:432003,-1,-5,-4,-4,-4,-3,-4,-4
15:28:11:440141,-1,-5,-4,-4,-4,-3,-4,-4
15:28:11:440958,1,-2,1,0,-2,-2,1,-2
15:28:11:447010,-1,1,1,3,0,-1,-3,0
15:28:11:462725,-1,1,1,3,0,-1,-3,0
15:28:11:463511,-2,0,5,-2,0,0,-2,0
15:28:11:469484,1,0,-2,0,-1,1,-1,0
15:28:11:476991,1,0,-2,0,-1,1,-1,0
15:28:11:484519,-2,2,-4,-1,-3,1,-1,-1
15:28:11:492002,-3,2,0,3,2,1,-3,-1
15:28:11:500178,-3,2,0,3,2,1,-3,-1
15:28:11:500996,0,-4,-3,-1,-1,-2,0,-2
15:28:11:506992,2,1,3,0,2,-1,-2,-4
15:28:11:522669,2,1,3,0,2,-1,-2,-4
15:28:11:523492,1,-2,-1,-4,-1,-1,-2,-1
15:28:11:529508,-4,-3,-3,0,0,-1,0,2
15:28:11:545186,-4,-3,-3,0,0,-1,0,2
15:28:11:546017,-2,-2,-2,-1,-5,-4,0,-1
15:28:11:551974,-1,-2,-1,-2,-2,-1,-1,0
15:28:11:560192,-1,-2,-1,-2,-2,-1,-1,0
15:28:11:560988,2,-3,2,1,1,-4,-2,-2
15:28:11:574507,-2,-8,-11,-10,-3,0,0,-1
15:28:11:582718,-2,-8,-11,-10,-3,0,0,-1
15:28:11:583490,0,3,-5,4,-1,-1,1,1
15:28:11:589471,-1,-2,4,2,1,0,0,-1
15:28:11:596998,-1,-2,4,2,1,0,0,-1
15:28:11:604502,-2,2,0,-2,-4,0,-2,0
15:28:11:612008,0,0,0,3,1,-1,2,-1
15:28:11:620197,0,0,0,3,1,-1,2,-1
15:28:11:620975,0,-1,-1,-1,-3,0,-2,-2
15:28:11:634494,-1,-2,-3,-2,0,-1,-3,-1
15:28:11:642683,-1,-2,-3,-2,0,-1,-3,-1
15:28:11:643459,1,-2,0,0,-1,-1,-3,0
15:28:11:649496,1,4,6,4,0,-1,-1,-2
15:28:11:657038,1,4,6,4,0,-1,-1,-2
15:28:11:664493,-1,0,-4,-3,-1,1,0,-1
15:28:11:671985,-1,1,2,2,0,0,-3,-2
15:28:11:680198,-1,1,2,2,0,0,-3,-2
15:28:11:681008,-1,-3,0,-3,1,0,-1,-1
