Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:51:59:630212,0,-5,-1,-1,-2,-1,-1,-1
14:51:59:631031,0,-2,0,-3,1,-2,1,-1
14:51:59:637748,0,-2,0,-3,1,-2,1,-1
14:51:59:638597,0,-4,-1,0,-2,0,-1,-1
14:51:59:652019,-1,-1,0,0,0,-1,-1,-1
14:51:59:660269,-1,-1,0,0,0,-1,-1,-1
14:51:59:661060,-1,3,-2,-1,0,-1,-1,-1
14:51:59:667035,-1,-1,-2,0,-3,0,1,1
14:51:59:674651,-1,-1,-2,0,-3,0,1,1
14:51:59:682058,0,-2,-1,0,-2,-1,-1,-2
14:51:59:689551,-1,-1,-2,0,0,-1,-1,-1
14:51:59:697739,-1,-1,-2,0,0,-1,-1,-1
14:51:59:698550,-3,-1,-1,-2,0,-1,-2,-1
14:51:59:712078,-1,-1,-2,-1,1,-1,-1,-1
14:51:59:728416,-1,-1,-2,-1,1,-1,-1,-1
14:51:59:729222,0,-1,1,-2,-1,-1,-2,0
14:51:59:730053,-1,-2,-3,-4,-2,-1,0,0
14:51:59:734627,-1,-2,-3,-4,-2,-1,0,0
14:51:59:742041,-1,-3,-1,-3,-2,0,-1,-2
14:51:59:749548,-2,10,-4,-3,1,-2,-1,-3
14:51:59:757792,-2,10,-4,-3,1,-2,-1,-3
14:51:59:758595,-2,1,-1,0,-1,-1,-2,0
14:51:59:772071,0,-2,0,-1,-2,-1,-1,-1
14:51:59:780274,0,-2,0,-1,-2,-1,-1,-1
14:51:59:781066,-4,-5,1,0,1,0,0,-1
14:51:59:787035,1,-1,0,-2,-2,0,-1,-2
14:51:59:794635,1,-1,0,-2,-2,0,-1,-2
14:51:59:802069,-1,0,-2,-1,0,1,0,-1
14:51:59:809552,-1,-3,0,0,-1,0,-2,-1
14:51:59:817742,-1,-3,0,0,-1,0,-2,-1
14:51:59:818529,1,0,-3,-1,-1,-1,-1,-1
14:51:59:832044,-1,-1,0,0,-3,-2,0,0
14:51:59:840218,-1,-1,0,0,-3,-2,0,0
14:51:59:841011,-1,-1,-1,-1,0,-2,-2,-1
14:51:59:847057,-2,-2,1,-1,-2,-1,-1,0
14:51:59:854588,-2,-2,1,-1,-2,-1,-1,0
14:51:59:862100,-2,-2,-2,-1,0,0,-1,-2
14:51:59:869570,0,-3,-1,-1,-1,0,-1,-2
14:51:59:877763,0,-3,-1,-1,-1,0,-1,-2
14:51:59:878539,0,0,-1,1,-1,-3,0,-1
14:51:59:892067,-1,-3,1,1,-1,0,-1,-2
14:51:59:900243,-1,-3,1,1,-1,0,-1,-2
14:51:59:901042,-1,-2,-1,0,-1,-1,-1,-3
14:51:59:907078,-1,-2,-1,-2,0,-1,-2,1
14:51:59:914591,-1,-2,-1,-2,0,-1,-2,1
14:51:59:922062,-3,2,-1,-1,-1,-3,-1,-2
14:51:59:929516,-1,-1,0,-1,-1,0,0,-1
14:51:59:937771,-1,-1,0,-1,-1,0,0,-1
14:51:59:938577,1,-1,1,-3,-1,-2,-1,0
14:51:59:952099,-1,-2,-2,0,1,-2,-2,-1
14:51:59:960247,-1,-2,-2,0,1,-2,-2,-1
14:51:59:961039,-1,-2,-2,1,-1,1,-1,-1
14:51:59:967032,-2,0,0,-1,-2,-2,0,-2
14:51:59:974594,-2,0,0,-1,-2,-2,0,-2
14:51:59:982028,-2,0,-2,-2,-1,-1,-1,-1
14:51:59:989508,-1,0,-1,-2,-2,-1,0,0
14:51:59:997760,-1,0,-1,-2,-2,-1,0,0
14:51:59:998559,-1,-3,1,1,-2,-1,0,-1
14:52:00:12066,-2,0,-1,0,0,0,-2,-2
14:52:00:20263,-2,0,-1,0,0,0,-2,-2
14:52:00:21082,1,0,-2,-2,-1,0,-2,-1
14:52:00:27022,0,-1,-1,-4,-1,-2,-2,-1
14:52:00:34642,0,-1,-1,-4,-1,-2,-2,-1
14:52:00:42049,-1,1,-3,-2,0,-2,-1,-2
14:52:00:49571,0,-1,-1,-1,-2,-2,-1,0
14:52:00:57783,0,-1,-1,-1,-2,-2,-1,0
14:52:00:58571,-1,-2,-2,-2,0,-2,-1,0
14:52:00:72033,-1,-2,-1,0,0,-1,-1,-1
14:52:00:80285,-1,-2,-1,0,0,-1,-1,-1
14:52:00:81064,-2,-2,-1,-1,-2,0,-1,0
14:52:00:95295,-1,-2,-2,0,0,-1,-1,0
14:52:00:96071,-1,-2,-2,0,0,-1,-1,0
14:52:00:102059,-2,-1,-3,0,0,-1,-2,-1
14:52:00:109541,-2,1,0,1,-4,-2,-2,-1
14:52:00:117087,-2,1,0,1,-4,-2,-2,-1
14:52:00:124598,-1,0,-1,-1,-1,-2,0,-2
14:52:00:132039,-2,0,0,-1,-2,-2,0,0
14:52:00:140215,-2,0,0,-1,-2,-2,0,0
14:52:00:141015,-1,-5,2,1,0,0,-1,-1
14:52:00:155252,-2,-1,-1,-1,-1,-1,-1,-2
14:52:00:156074,-2,-1,-1,-1,-1,-1,-1,-2
14:52:00:162064,-1,-1,-1,-2,-1,-1,-2,-1
14:52:00:169570,0,0,0,-2,-1,-2,-3,-1
14:52:00:177048,0,0,0,-2,-1,-2,-3,-1
14:52:00:184568,-1,0,-1,-1,-1,-1,-1,0
14:52:00:192078,-2,-1,-1,0,1,0,-1,1
14:52:00:200243,-2,-1,-1,0,1,0,-1,1
14:52:00:201058,-1,-1,-2,-4,-1,-1,-3,-2
14:52:00:215200,-1,-2,-3,0,-1,1,-2,-3
14:52:00:216016,-1,-2,-3,0,-1,1,-2,-3
14:52:00:222072,0,-3,1,-1,-2,-2,-2,-1
14:52:00:229550,0,0,0,1,0,0,-1,1
14:52:00:237082,0,0,0,1,0,0,-1,1
14:52:00:244528,0,0,-1,-1,-2,-2,-1,-1
14:52:00:252082,0,-4,0,0,-2,-2,1,-2
14:52:00:260290,0,-4,0,0,-2,-2,1,-2
14:52:00:261071,0,1,-1,-1,-1,1,0,-1
14:52:00:275234,-1,-1,-2,-1,0,1,0,0
14:52:00:276048,-1,-1,-2,-1,0,1,0,0
14:52:00:282028,0,-1,-1,0,-2,-1,1,0
14:52:00:289502,-2,0,-1,-2,0,-1,-1,0
14:52:00:297086,-2,0,-1,-2,0,-1,-1,0
14:52:00:304550,0,-1,-1,-1,0,0,-2,1
14:52:00:312008,-1,-2,0,-1,1,-1,-1,-1
14:52:00:320238,-1,-2,0,-1,1,-1,-1,-1
14:52:00:321078,-1,0,0,-2,-2,-2,-1,-2
14:52:00:335225,0,-2,-3,-1,-3,-1,-2,-2
14:52:00:336027,0,-2,-3,-1,-3,-1,-2,-2
14:52:00:342050,-1,-2,-3,-2,-2,-2,-2,-1
14:52:00:349513,-2,-2,-1,-3,0,0,-2,-3
14:52:00:357088,-2,-2,-1,-3,0,0,-2,-3
14:52:00:364524,-2,-1,-1,-1,0,-2,1,-1
14:52:00:372044,0,0,0,-2,-1,0,-1,-1
14:52:00:380276,0,0,0,-2,-1,0,-1,-1
14:52:00:381129,2,0,-1,1,-1,-1,1,-1
14:52:00:395254,-2,-1,0,-1,0,-1,0,-1
14:52:00:396062,-2,-1,0,-1,0,-1,0,-1
14:52:00:402066,-9,-2,-1,-1,-1,0,-3,-11
14:52:00:409527,-1,1,-1,-1,-1,0,1,-1
14:52:00:417109,-1,1,-1,-1,-1,0,1,-1
14:52:00:424574,2,-1,-2,-1,-2,-2,-2,6
14:52:00:432082,0,-1,-3,-1,-1,-2,-2,-2
14:52:00:440230,0,-1,-3,-1,-1,-2,-2,-2
14:52:00:441036,-1,-1,-1,1,0,-1,-1,-2
14:52:00:455246,2,-1,-1,0,-1,-2,-2,0
14:52:00:456067,2,-1,-1,0,-1,-2,-2,0
14:52:00:462062,-1,0,-1,-1,-1,-1,-1,-1
14:52:00:469549,-2,-5,0,-1,1,-2,-1,-2
14:52:00:477062,-2,-5,0,-1,1,-2,-1,-2
14:52:00:484548,0,-2,-2,-1,0,-1,0,1
14:52:00:492045,-1,2,-1,-3,0,-1,-1,0
14:52:00:500252,-1,2,-1,-3,0,-1,-1,0
14:52:00:501056,0,-1,-1,-2,-1,-1,-1,1
14:52:00:515233,-2,-1,-2,-2,-2,-1,-1,-1
14:52:00:516021,-2,-1,-2,-2,-2,-1,-1,-1
14:52:00:522074,-1,0,-1,0,-1,1,-1,0
14:52:00:529563,-2,-1,-2,1,-1,0,-1,0
14:52:00:537085,-2,-1,-2,1,-1,0,-1,0
