Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:39:40:293333,-1,-1,-1,0,-1,-1,-1,2
14:39:40:294050,-3,-2,-1,-2,-2,-1,-1,0
14:39:40:294873,-1,-2,-2,-1,0,1,0,-1
14:39:40:307595,-1,-2,-2,-1,0,1,0,-1
14:39:40:308380,0,-2,0,1,-1,-1,-2,-3
14:39:40:314402,-1,-1,-1,-2,-1,-3,-2,0
14:39:40:322598,-1,-1,-1,-2,-1,-3,-2,0
14:39:40:323361,-2,0,-1,-2,-2,-1,-1,1
14:39:40:336937,1,-2,-2,-1,-1,-1,-2,-1
14:39:40:345101,1,-2,-2,-1,-1,-1,-2,-1
14:39:40:345905,-2,0,-1,-2,0,-2,0,0
14:39:40:351949,-2,-1,-1,-1,-3,0,1,-4
14:39:40:367594,-2,-1,-1,-1,-3,0,1,-4
14:39:40:368377,-2,-1,0,-1,-1,-1,-3,-1
14:39:40:374441,-2,1,-1,0,-1,-1,0,0
14:39:40:381931,-2,1,-1,0,-1,-1,0,0
14:39:40:389351,0,-1,-2,-1,-2,-1,-1,-2
14:39:40:396938,0,-1,0,1,-2,-2,-2,0
14:39:40:405101,0,-1,0,1,-2,-2,-2,0
14:39:40:405853,-1,0,-1,0,0,-2,0,-1
14:39:40:419399,0,-2,-1,-2,-1,0,0,-1
14:39:40:427597,0,-2,-1,-2,-1,0,0,-1
14:39:40:428374,0,-2,-2,-1,-3,1,-2,-1
14:39:40:434415,-3,-1,-1,-1,-3,-2,-2,0
14:39:40:450141,-3,-1,-1,-1,-3,-2,-2,0
14:39:40:450978,-1,-1,-1,-1,-3,-1,0,1
14:39:40:456905,1,-3,-2,-1,1,-2,-2,0
14:39:40:465104,1,-3,-2,-1,1,-2,-2,0
14:39:40:465880,-1,-1,-1,-2,2,-1,-1,0
14:39:40:479401,-1,0,0,-1,-1,-1,-1,-1
14:39:40:487566,-1,0,0,-1,-1,-1,-1,-1
14:39:40:488384,0,-1,-2,0,0,0,-2,2
14:39:40:494420,-3,0,-1,-1,1,0,-3,1
14:39:40:501926,-3,0,-1,-1,1,0,-3,1
14:39:40:509391,-1,1,-1,-2,-1,-1,0,1
14:39:40:516921,-1,1,-3,-1,-2,1,0,0
14:39:40:525097,-1,1,-3,-1,-2,1,0,0
14:39:40:525910,-1,-1,-1,-1,-1,-1,-1,-1
14:39:40:548319,-2,-3,-1,-1,0,0,-1,1
14:39:40:549087,-2,-3,-1,-1,0,0,-1,1
14:39:40:549892,-1,-2,-1,1,0,0,-2,0
14:39:40:554386,0,-1,-1,-2,-1,-1,-1,-4
14:39:40:561943,0,-1,-1,-2,-1,-1,-1,-4
