Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:08:06:743273,-1,-1,-1,1,-3,0,-1,1
13:08:06:750803,-1,-1,-1,1,-3,0,-1,1
13:08:06:758249,-2,0,2,0,1,-2,0,-2
13:08:06:766412,0,-2,-2,0,-2,-2,-1,-2
13:08:06:767241,0,-2,-2,0,-2,-2,-1,-2
13:08:06:773258,-3,-2,1,0,-1,-1,-2,1
13:08:06:788938,-1,0,-1,0,0,-2,-2,-1
13:08:06:789781,-1,0,-1,0,0,-2,-2,-1
13:08:06:795755,-2,-2,-2,-2,1,-2,1,0
13:08:06:803248,0,-2,-1,-1,1,-2,-3,-2
13:08:06:810887,0,-2,-1,-1,1,-2,-3,-2
13:08:06:818244,-2,-2,-1,-1,-2,0,-1,-3
13:08:06:826481,0,-1,-1,0,0,-1,1,0
13:08:06:827268,0,-1,-1,0,0,-1,1,0
13:08:06:833305,1,-1,-2,0,-1,-2,0,-1
13:08:06:848914,-1,-2,1,0,-2,0,-1,0
13:08:06:849762,-1,-2,1,0,-2,0,-1,0
13:08:06:855751,0,-3,-2,-1,-2,0,-1,0
13:08:06:863239,-1,-1,-2,-4,-1,0,0,-1
13:08:06:870890,-1,-1,-2,-4,-1,0,0,-1
13:08:06:878898,-2,-1,1,0,-1,-1,-2,0
13:08:06:886405,-1,-3,0,-2,-2,0,-1,-1
13:08:06:887242,-1,-3,0,-2,-2,0,-1,-1
13:08:06:893255,-2,-1,-3,-1,-1,0,-1,-3
13:08:06:908986,-2,-1,0,-3,-2,-3,-1,-1
13:08:06:909852,-2,-1,0,-3,-2,-3,-1,-1
13:08:06:915762,0,-1,-2,-1,1,-2,-3,-1
13:08:06:923244,0,-3,-1,-1,0,1,-3,-1
13:08:06:930758,0,-3,-1,-1,0,1,-3,-1
13:08:06:938262,-1,-3,0,-3,1,0,1,1
13:08:06:946398,0,0,-1,0,0,0,-1,0
13:08:06:947244,0,0,-1,0,0,0,-1,0
13:08:06:953226,0,0,0,1,-2,-1,-2,-1
13:08:06:968934,-3,-2,1,0,-1,1,1,-1
13:08:06:969744,-3,-2,1,0,-1,1,1,-1
13:08:06:975762,0,-2,-3,-1,-3,-2,0,-2
13:08:06:983265,-1,3,-1,2,-2,-2,-1,0
13:08:06:990791,-1,3,-1,2,-2,-2,-1,0
13:08:06:998245,-1,-1,0,-2,-2,-2,-1,1
13:08:07:6432,0,-1,-2,0,-2,-1,0,1
13:08:07:7243,0,-1,-2,0,-2,-1,0,1
13:08:07:13228,-1,0,1,-1,1,0,0,1
13:08:07:28903,0,-1,1,0,3,-1,-2,-1
13:08:07:29733,0,-1,1,0,3,-1,-2,-1
13:08:07:35748,1,-2,0,-1,-1,-1,1,-2
13:08:07:43272,-1,-1,-1,-5,0,-2,-3,-2
13:08:07:50772,-1,-1,-1,-5,0,-2,-3,-2
13:08:07:58221,-1,-1,-1,-1,-4,0,-2,1
13:08:07:66448,-1,-1,-2,-2,1,-1,0,-2
13:08:07:67259,-1,-1,-2,-2,1,-1,0,-2
13:08:07:73221,-2,-1,-1,-3,-2,-3,-2,-2
13:08:07:88922,-2,-1,-1,-2,1,0,-3,-2
13:08:07:89752,-2,-1,-1,-2,1,0,-3,-2
13:08:07:95737,-2,0,-1,-1,0,-1,-2,0
13:08:07:103255,-1,-2,-1,1,-3,-1,-1,-3
13:08:07:118945,-1,-2,-1,1,-3,-1,-1,-3
13:08:07:119758,0,-2,0,0,0,1,-1,-2
13:08:07:126426,-1,0,-1,0,-2,-1,0,-1
13:08:07:127263,-1,0,-1,0,-2,-1,0,-1
13:08:07:133234,-1,-1,-3,-1,-2,0,-2,-2
13:08:07:148944,-1,-1,-3,-1,-2,0,-2,-2
13:08:07:149729,-2,-1,0,0,-1,-2,0,-3
13:08:07:163264,0,0,1,-1,3,-1,-1,0
13:08:07:171425,0,0,1,-1,3,-1,-1,0
13:08:07:172227,-1,-1,-1,-2,-3,0,-3,1
13:08:07:178214,-1,-2,-2,-1,-3,0,-1,0
13:08:07:186476,-1,-2,-2,-1,-3,0,-1,0
13:08:07:187250,1,-1,0,-1,0,0,0,1
13:08:07:193231,1,-1,-2,2,-2,-2,0,1
13:08:07:208943,1,-1,-2,2,-2,-2,0,1
13:08:07:209737,-1,0,-2,0,1,-1,-3,-1
13:08:07:215718,-1,2,-1,0,-1,-2,1,-1
13:08:07:231461,-1,2,-1,0,-1,-2,1,-1
13:08:07:232242,-1,0,-2,0,-1,0,-1,-1
13:08:07:238289,-1,-1,1,-3,1,-1,0,-2
13:08:07:254664,-1,-1,1,-3,1,-1,0,-2
13:08:07:255411,-2,-4,-1,-1,-1,0,0,-2
13:08:07:256236,-1,1,-1,-1,-2,1,0,-1
13:08:07:268988,-1,1,-1,-1,-2,1,0,-1
13:08:07:269798,0,0,1,-2,-2,-2,-1,1
13:08:07:275794,-2,-1,-1,-2,1,-2,-2,0
13:08:07:291495,-2,-1,-1,-2,1,-2,-2,0
13:08:07:292276,-2,-3,-2,-1,0,-1,0,-1
13:08:07:307099,0,-1,2,-1,-2,-2,-1,0
13:08:07:307911,0,-1,2,-1,-2,-2,-1,0
13:08:07:308772,-2,-1,-1,-1,-3,0,-1,1
13:08:07:320797,-2,-1,-3,1,-3,-1,-1,0
13:08:07:328955,-2,-1,-3,1,-3,-1,-1,0
13:08:07:329750,3,0,0,-1,1,0,0,-2
13:08:07:335714,-2,0,0,-2,-1,0,0,-1
13:08:07:352143,-2,0,0,-2,-1,0,0,-1
13:08:07:353000,-2,0,0,-3,0,-2,-1,1
13:08:07:358206,-2,0,0,0,0,0,-1,-2
13:08:07:366887,-2,0,0,0,0,0,-1,-2
13:08:07:373221,0,-2,-1,-2,-1,-1,-1,-2
13:08:07:380726,-1,-1,0,0,-3,-1,-2,1
13:08:07:388944,-1,-1,0,0,-3,-1,-2,1
13:08:07:389741,-1,0,-3,1,0,0,-1,-3
13:08:07:395753,0,-1,0,-1,0,-2,-1,-2
13:08:07:411443,0,-1,0,-1,0,-2,-1,-2
13:08:07:412272,0,-1,-2,-3,-1,-2,-1,0
13:08:07:418245,-2,-3,1,-1,0,0,-2,0
13:08:07:426501,-2,-3,1,-1,0,0,-2,0
13:08:07:427261,-2,-2,0,0,-3,-3,-3,-2
13:08:07:440755,-1,-2,0,-2,2,-3,-1,-2
13:08:07:457767,-1,-2,0,-2,2,-3,-1,-2
13:08:07:458550,-2,1,1,-2,-2,-1,-1,-1
13:08:07:459356,1,-2,-2,-1,-1,-2,0,-2
13:08:07:471518,1,-2,-2,-1,-1,-2,0,-2
13:08:07:472286,-1,-1,-1,2,0,-1,-1,-1
13:08:07:478263,-2,-1,-1,-1,-1,-1,-1,-3
13:08:07:486436,-2,-1,-1,-1,-1,-1,-1,-3
13:08:07:487241,-2,-2,-2,-1,0,-2,-1,0
13:08:07:500766,-1,-2,-1,1,-3,0,-1,-1
13:08:07:508920,-1,-2,-1,1,-3,0,-1,-1
13:08:07:509745,-4,-1,-1,0,2,-1,-1,0
13:08:07:515773,-1,-1,-1,-1,0,0,0,-2
13:08:07:531490,-1,-1,-1,-1,0,0,0,-2
13:08:07:532289,-1,-2,-1,0,-2,-1,-1,-2
13:08:07:538272,-1,0,-2,0,-1,-2,-1,1
13:08:07:546420,-1,0,-2,0,-1,-2,-1,1
13:08:07:547234,-1,0,0,1,-2,0,0,0
13:08:07:560769,-2,-1,-1,-3,-1,-1,2,1
13:08:07:568980,-2,-1,-1,-3,-1,-1,2,1
13:08:07:569859,0,-2,-2,-1,0,-1,-1,-3
