Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:08:06:743273,-6039,388,7149,-13443,616,-1567,1254,10,-88,95
13:08:06:750803,-6020,381,7149,-13452,608,-1563,1269,48,-74,91
13:08:06:758249,-6020,381,7149,-13452,608,-1563,1269,48,-74,91
13:08:06:766412,-6020,381,7149,-13452,608,-1563,1269,48,-74,91
13:08:06:767241,-6002,374,7148,-13461,602,-1540,1290,41,-65,88
13:08:06:773258,-6002,374,7148,-13461,602,-1540,1290,41,-65,88
13:08:06:788938,-6002,374,7148,-13461,602,-1540,1290,41,-65,88
13:08:06:789781,-5986,370,7150,-13466,595,-1527,1290,6,-63,77
13:08:06:795755,-5986,370,7150,-13466,595,-1527,1290,6,-63,77
13:08:06:803248,-5986,370,7150,-13466,595,-1527,1290,6,-63,77
13:08:06:810887,-5972,364,7157,-13470,616,-1545,1319,-19,-72,67
13:08:06:818244,-5972,364,7157,-13470,616,-1545,1319,-19,-72,67
13:08:06:826481,-5972,364,7157,-13470,616,-1545,1319,-19,-72,67
13:08:06:827268,-5957,355,7160,-13475,617,-1565,1320,11,-83,63
13:08:06:833305,-5957,355,7160,-13475,617,-1565,1320,11,-83,63
13:08:06:848914,-5957,355,7160,-13475,617,-1565,1320,11,-83,63
13:08:06:849762,-5941,342,7158,-13484,613,-1563,1312,54,-89,67
13:08:06:855751,-5941,342,7158,-13484,613,-1563,1312,54,-89,67
13:08:06:863239,-5941,342,7158,-13484,613,-1563,1312,54,-89,67
13:08:06:870890,-5923,328,7151,-13496,594,-1524,1270,92,-91,76
13:08:06:878898,-5923,328,7151,-13496,594,-1524,1270,92,-91,76
13:08:06:886405,-5923,328,7151,-13496,594,-1524,1270,92,-91,76
13:08:06:887242,-5903,315,7144,-13508,586,-1515,1253,94,-95,81
13:08:06:893255,-5903,315,7144,-13508,586,-1515,1253,94,-95,81
13:08:06:908986,-5903,315,7144,-13508,586,-1515,1253,94,-95,81
13:08:06:909852,-5886,302,7142,-13517,605,-1510,1260,61,-89,75
13:08:06:915762,-5886,302,7142,-13517,605,-1510,1260,61,-89,75
13:08:06:923244,-5886,302,7142,-13517,605,-1510,1260,61,-89,75
13:08:06:930758,-5870,292,7140,-13525,604,-1497,1281,40,-73,75
13:08:06:938262,-5870,292,7140,-13525,604,-1497,1281,40,-73,75
13:08:06:946398,-5870,292,7140,-13525,604,-1497,1281,40,-73,75
13:08:06:947244,-5855,287,7143,-13530,601,-1493,1288,0,-61,82
13:08:06:953226,-5855,287,7143,-13530,601,-1493,1288,0,-61,82
13:08:06:968934,-5855,287,7143,-13530,601,-1493,1288,0,-61,82
13:08:06:969744,-5838,286,7148,-13535,591,-1531,1289,-13,-58,81
13:08:06:975762,-5838,286,7148,-13535,591,-1531,1289,-13,-58,81
13:08:06:983265,-5838,286,7148,-13535,591,-1531,1289,-13,-58,81
13:08:06:990791,-5822,284,7152,-13540,581,-1542,1299,-2,-61,73
13:08:06:998245,-5822,284,7152,-13540,581,-1542,1299,-2,-61,73
13:08:07:6432,-5822,284,7152,-13540,581,-1542,1299,-2,-61,73
13:08:07:7243,-5806,280,7154,-13545,570,-1556,1303,8,-69,69
13:08:07:13228,-5806,280,7154,-13545,570,-1556,1303,8,-69,69
13:08:07:28903,-5806,280,7154,-13545,570,-1556,1303,8,-69,69
13:08:07:29733,-5790,275,7156,-13551,577,-1582,1309,22,-77,62
13:08:07:35748,-5790,275,7156,-13551,577,-1582,1309,22,-77,62
13:08:07:43272,-5790,275,7156,-13551,577,-1582,1309,22,-77,62
13:08:07:50772,-5772,268,7158,-13558,572,-1602,1288,41,-83,61
13:08:07:58221,-5772,268,7158,-13558,572,-1602,1288,41,-83,61
13:08:07:66448,-5772,268,7158,-13558,572,-1602,1288,41,-83,61
13:08:07:67259,-5752,257,7153,-13569,573,-1580,1283,89,-95,75
13:08:07:73221,-5752,257,7153,-13569,573,-1580,1283,89,-95,75
13:08:07:88922,-5752,257,7153,-13569,573,-1580,1283,89,-95,75
13:08:07:89752,-5732,242,7143,-13583,588,-1539,1301,108,-101,83
13:08:07:95737,-5732,242,7143,-13583,588,-1539,1301,108,-101,83
13:08:07:103255,-5732,242,7143,-13583,588,-1539,1301,108,-101,83
13:08:07:118945,-5715,227,7134,-13596,601,-1502,1288,94,-90,77
13:08:07:119758,-5715,227,7134,-13596,601,-1502,1288,94,-90,77
13:08:07:126426,-5715,227,7134,-13596,601,-1502,1288,94,-90,77
13:08:07:127263,-5700,216,7129,-13605,592,-1494,1293,55,-76,71
13:08:07:133234,-5700,216,7129,-13605,592,-1494,1293,55,-76,71
13:08:07:148944,-5687,207,7132,-13609,593,-1489,1287,2,-72,52
13:08:07:149729,-5687,207,7132,-13609,593,-1489,1287,2,-72,52
13:08:07:163264,-5687,207,7132,-13609,593,-1489,1287,2,-72,52
13:08:07:171425,-5677,201,7140,-13609,599,-1507,1265,-24,-63,38
13:08:07:172227,-5677,201,7140,-13609,599,-1507,1265,-24,-63,38
13:08:07:178214,-5677,201,7140,-13609,599,-1507,1265,-24,-63,38
13:08:07:186476,-5668,196,7150,-13607,593,-1545,1274,-33,-64,29
13:08:07:187250,-5668,196,7150,-13607,593,-1545,1274,-33,-64,29
13:08:07:193231,-5668,196,7150,-13607,593,-1545,1274,-33,-64,29
13:08:07:208943,-5658,190,7158,-13608,593,-1561,1296,-14,-68,29
13:08:07:209737,-5658,190,7158,-13608,593,-1561,1296,-14,-68,29
13:08:07:215718,-5658,190,7158,-13608,593,-1561,1296,-14,-68,29
13:08:07:231461,-5648,181,7158,-13612,593,-1556,1300,29,-65,30
13:08:07:232242,-5648,181,7158,-13612,593,-1556,1300,29,-65,30
13:08:07:238289,-5648,181,7158,-13612,593,-1556,1300,29,-65,30
13:08:07:254664,-5639,172,7155,-13617,586,-1532,1293,43,-62,28
13:08:07:255411,-5639,172,7155,-13617,586,-1532,1293,43,-62,28
13:08:07:256236,-5639,172,7155,-13617,586,-1532,1293,43,-62,28
13:08:07:268988,-5631,163,7152,-13622,587,-1528,1299,33,-60,23
13:08:07:269798,-5631,163,7152,-13622,587,-1528,1299,33,-60,23
13:08:07:275794,-5631,163,7152,-13622,587,-1528,1299,33,-60,23
13:08:07:291495,-5624,153,7152,-13625,607,-1536,1296,28,-57,16
13:08:07:292276,-5624,153,7152,-13625,607,-1536,1296,28,-57,16
13:08:07:307099,-5624,153,7152,-13625,607,-1536,1296,28,-57,16
13:08:07:307911,-5619,144,7151,-13628,609,-1547,1298,30,-55,10
13:08:07:308772,-5619,144,7151,-13628,609,-1547,1298,30,-55,10
13:08:07:320797,-5619,144,7151,-13628,609,-1547,1298,30,-55,10
13:08:07:328955,-5613,134,7153,-13630,615,-1556,1271,33,-51,12
13:08:07:329750,-5613,134,7153,-13630,615,-1556,1271,33,-51,12
13:08:07:335714,-5613,134,7153,-13630,615,-1556,1271,33,-51,12
13:08:07:352143,-5606,125,7152,-13633,615,-1556,1271,45,-52,16
13:08:07:353000,-5606,125,7152,-13633,615,-1556,1271,45,-52,16
13:08:07:358206,-5606,125,7152,-13633,615,-1556,1271,45,-52,16
13:08:07:366887,-5600,114,7151,-13636,614,-1543,1277,48,-54,14
13:08:07:373221,-5600,114,7151,-13636,614,-1543,1277,48,-54,14
13:08:07:380726,-5600,114,7151,-13636,614,-1543,1277,48,-54,14
13:08:07:388944,-5595,104,7146,-13641,597,-1518,1282,54,-48,10
13:08:07:389741,-5595,104,7146,-13641,597,-1518,1282,54,-48,10
13:08:07:395753,-5595,104,7146,-13641,597,-1518,1282,54,-48,10
13:08:07:411443,-5592,94,7141,-13645,615,-1511,1287,48,-42,5
13:08:07:412272,-5592,94,7141,-13645,615,-1511,1287,48,-42,5
