Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:25:50:25336,-11047,4435,-4818,10174,-176,-1540,1424,46,11,25
18:25:50:33565,-11046,4436,-4819,10175,-122,-1514,1450,-25,5,-5
18:25:50:34364,-11046,4436,-4819,10175,-122,-1514,1450,-25,5,-5
18:25:50:40347,-11046,4436,-4819,10175,-122,-1514,1450,-25,5,-5
18:25:50:56085,-11044,4441,-4824,10172,-126,-1556,1403,-24,-1,7
18:25:50:56841,-11044,4441,-4824,10172,-126,-1556,1403,-24,-1,7
18:25:50:62855,-11044,4441,-4824,10172,-126,-1556,1403,-24,-1,7
18:25:50:71079,-11044,4441,-4823,10172,-88,-1527,1444,10,-4,-6
18:25:50:71876,-11044,4441,-4823,10172,-88,-1527,1444,10,-4,-6
18:25:50:85346,-11044,4441,-4823,10172,-88,-1527,1444,10,-4,-6
18:25:50:93585,-11044,4441,-4823,10172,-122,-1533,1431,14,-2,-4
18:25:50:94347,-11044,4441,-4823,10172,-122,-1533,1431,14,-2,-4
18:25:50:100328,-11044,4441,-4823,10172,-122,-1533,1431,14,-2,-4
18:25:50:116058,-11044,4441,-4823,10172,-133,-1535,1430,-1,-6,3
18:25:50:116852,-11044,4441,-4823,10172,-133,-1535,1430,-1,-6,3
18:25:50:122862,-11044,4441,-4823,10172,-133,-1535,1430,-1,-6,3
18:25:50:131099,-11044,4441,-4823,10172,-143,-1561,1448,1,4,2
18:25:50:131863,-11044,4441,-4823,10172,-143,-1561,1448,1,4,2
18:25:50:145337,-11044,4441,-4823,10172,-143,-1561,1448,1,4,2
18:25:50:153544,-11044,4441,-4823,10172,-143,-1542,1429,-8,12,6
18:25:50:154354,-11044,4441,-4823,10172,-143,-1542,1429,-8,12,6
18:25:50:160333,-11044,4441,-4823,10172,-143,-1542,1429,-8,12,6
18:25:50:176042,-11044,4441,-4823,10172,-110,-1524,1418,2,3,0
18:25:50:176834,-11044,4441,-4823,10172,-110,-1524,1418,2,3,0
18:25:50:182845,-11044,4441,-4823,10172,-110,-1524,1418,2,3,0
18:25:50:191073,-11044,4441,-4823,10172,-104,-1547,1413,1,3,6
18:25:50:191821,-11044,4441,-4823,10172,-104,-1547,1413,1,3,6
18:25:50:205311,-11044,4441,-4823,10172,-104,-1547,1413,1,3,6
18:25:50:213519,-11044,4441,-4820,10174,-116,-1555,1434,19,-4,-4
18:25:50:214334,-11044,4441,-4820,10174,-116,-1555,1434,19,-4,-4
18:25:50:220320,-11044,4441,-4820,10174,-116,-1555,1434,19,-4,-4
18:25:50:236059,-11045,4440,-4820,10174,-157,-1543,1459,-1,15,4
18:25:50:236833,-11045,4440,-4820,10174,-157,-1543,1459,-1,15,4
18:25:50:242900,-11045,4440,-4820,10174,-157,-1543,1459,-1,15,4
18:25:50:251030,-11043,4441,-4824,10173,-139,-1531,1457,-32,7,-4
18:25:50:251834,-11043,4441,-4824,10173,-139,-1531,1457,-32,7,-4
18:25:50:265373,-11043,4441,-4824,10173,-139,-1531,1457,-32,7,-4
18:25:50:273289,-11043,4441,-4823,10173,-111,-1553,1441,-7,5,-1
18:25:50:281007,-11043,4441,-4823,10173,-111,-1553,1441,-7,5,-1
18:25:50:281831,-11043,4441,-4823,10173,-111,-1553,1441,-7,5,-1
