Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
19:08:19:842044,0,0,-1,1,-1,-2,0,-1
19:08:19:842816,-2,-1,-1,-1,-2,-2,-1,-1
19:08:19:849552,-2,-1,-1,-1,-2,-2,-1,-1
19:08:19:850345,-1,-2,-2,0,1,1,0,1
19:08:19:856313,-1,-1,-3,-1,-1,-1,-1,0
19:08:19:872026,-1,-1,-3,-1,-1,-1,-1,0
19:08:19:872799,-2,0,0,-1,-1,-1,-1,-3
19:08:19:878873,0,0,-2,0,-1,0,-1,0
19:08:19:886384,0,0,-2,0,-1,0,-1,0
19:08:19:893819,-3,-1,0,0,-1,-2,-2,0
19:08:19:901339,-1,0,1,-1,-1,0,0,0
19:08:19:909563,-1,0,1,-1,-1,0,0,0
19:08:19:910337,-1,-2,-2,-3,-2,-2,-2,-4
19:08:19:923915,-1,0,0,0,1,0,-2,0
19:08:19:932064,-1,0,0,0,1,0,-2,0
19:08:19:932849,-1,-2,-2,-1,-2,0,-2,-2
19:08:19:938842,-1,-1,-1,-1,-1,-2,-3,-3
19:08:19:946407,-1,-1,-1,-1,-1,-2,-3,-3
19:08:19:953821,-1,0,1,1,-2,0,0,1
19:08:19:961325,-1,0,-2,-3,0,-2,-1,-2
19:08:19:969553,-1,0,-2,-3,0,-2,-1,-2
19:08:19:970377,-1,1,0,-2,0,-3,-1,-1
19:08:19:976339,0,-1,0,-1,-1,-2,-1,-3
19:08:19:992126,0,-1,0,-1,-1,-2,-1,-3
19:08:19:992864,-1,0,0,0,0,-2,-2,-1
19:08:19:998831,-1,-2,0,0,-2,-1,1,-2
19:08:20:6389,-1,-2,0,0,-2,-1,1,-2
19:08:20:13836,-2,-1,-2,-2,-2,0,-2,0
19:08:20:21327,-1,0,-1,-2,-1,-1,-1,-2
19:08:20:29606,-1,0,-1,-2,-1,-1,-1,-2
19:08:20:30357,-2,-1,0,-2,-1,-1,0,-2
19:08:20:36358,-1,-2,0,-2,-1,0,-2,0
19:08:20:52102,-1,-2,0,-2,-1,0,-2,0
19:08:20:52847,-1,-1,-1,-1,-1,-2,-1,0
19:08:20:58867,0,-3,0,-1,0,-2,0,-1
19:08:20:66424,0,-3,0,-1,0,-2,0,-1
19:08:20:73856,-1,-1,-2,-1,-1,0,0,-2
19:08:20:81345,-1,0,-2,-2,-2,-2,-1,0
19:08:20:89508,-1,0,-2,-2,-2,-2,-1,0
19:08:20:90311,0,-1,-1,-1,-1,-1,-1,0
19:08:20:96384,-2,-2,-2,1,0,-1,-1,-2
19:08:20:112083,-2,-2,-2,1,0,-1,-1,-2
19:08:20:112878,0,-2,-1,-2,-2,-1,-2,-1
19:08:20:118847,0,-1,-3,-1,-1,-1,0,0
19:08:20:126379,0,-1,-3,-1,-1,-1,0,0
19:08:20:133854,-1,1,0,-2,-2,-1,-1,0
19:08:20:141341,1,-1,1,-2,-1,-2,-2,0
19:08:20:149532,1,-1,1,-2,-1,-2,-2,0
19:08:20:150328,0,-1,-1,1,-1,1,-1,-1
19:08:20:163856,-2,-1,-1,0,0,-1,-3,1
19:08:20:172070,-2,-1,-1,0,0,-1,-3,1
19:08:20:172819,-1,-3,0,-1,0,2,-1,0
19:08:20:178847,0,-1,-1,-2,-1,1,1,-2
19:08:20:186361,0,-1,-1,-2,-1,1,1,-2
19:08:20:202060,-1,-1,-2,-1,-2,-2,1,0
19:08:20:202818,0,-2,-2,-1,-2,0,0,-1
19:08:20:209508,0,-2,-2,-1,-2,0,0,-1
19:08:20:210357,0,-3,0,0,-1,0,-1,-3
19:08:20:223851,-3,1,1,0,-1,-1,-2,-2
19:08:20:232044,-3,1,1,0,-1,-1,-2,-2
19:08:20:232806,-2,-1,-2,-2,0,0,-2,-1
19:08:20:238850,-1,-2,-2,1,1,-1,-1,-1
19:08:20:246397,-1,-2,-2,1,1,-1,-1,-1
19:08:20:253791,-1,-1,-2,-2,-1,-1,-1,-1
19:08:20:261361,-2,-1,-1,-1,-3,-1,-1,0
19:08:20:269541,-2,-1,-1,-1,-3,-1,-1,0
19:08:20:270317,-1,0,-1,0,-2,-2,-1,-2
19:08:20:283836,-1,0,1,-2,-1,-1,0,0
19:08:20:292047,-1,0,1,-2,-1,-1,0,0
19:08:20:292803,-3,0,-1,0,-1,-1,-2,-2
19:08:20:298826,0,-3,-1,1,-1,1,-1,-1
19:08:20:306359,0,-3,-1,1,-1,1,-1,-1
19:08:20:313803,0,-3,-2,-1,0,-1,-1,1
19:08:20:321342,-1,-2,-3,-3,-1,-2,-1,-2
19:08:20:329544,-1,-2,-3,-3,-1,-2,-1,-2
19:08:20:330333,-1,1,-1,-2,-1,0,-2,-2
19:08:20:343804,-1,-3,0,-1,0,-1,-1,-1
19:08:20:352047,-1,-3,0,-1,0,-1,-1,-1
19:08:20:352848,-2,-1,0,-2,-1,-3,-1,1
19:08:20:358838,-2,0,0,-1,-1,0,0,-1
19:08:20:366403,-2,0,0,-1,-1,0,0,-1
19:08:20:373818,-1,-1,-1,0,-1,-2,0,-1
19:08:20:381314,1,1,0,-1,-1,-3,-1,-1
19:08:20:389562,1,1,0,-1,-1,-3,-1,-1
19:08:20:390370,-1,2,-1,-1,0,-1,0,0
19:08:20:403832,-1,-2,-2,-2,-2,0,-1,-1
19:08:20:412048,-1,-2,-2,-2,-2,0,-1,-1
19:08:20:412840,0,-2,-1,0,-2,0,-1,0
19:08:20:418814,-1,-1,0,-2,0,1,0,-1
19:08:20:426399,-1,-1,0,-2,0,1,0,-1
19:08:20:433840,-1,-1,-1,1,-4,-1,-1,-1
19:08:20:441359,1,0,-2,-1,-1,0,-1,0
19:08:20:449521,1,0,-2,-1,-1,0,-1,0
19:08:20:450310,1,-1,2,0,-1,-1,-1,-1
19:08:20:463813,-1,-1,0,-1,-2,-1,0,-2
19:08:20:480220,-1,-1,0,-1,-2,-1,0,-2
19:08:20:481027,-2,-2,-3,-1,0,0,-1,-3
19:08:20:481788,-1,-1,-1,0,0,-2,-3,-2
19:08:20:486409,-1,-1,-1,0,0,-2,-3,-2
19:08:20:493832,-1,0,-2,-3,1,-1,-1,0
19:08:20:501319,-3,0,-1,-2,-1,-3,0,2
19:08:20:509593,-3,0,-1,-2,-1,-3,0,2
19:08:20:510357,0,1,-1,-1,-1,-2,-1,0
19:08:20:523868,-1,-1,-1,-2,-1,-2,-1,-2
19:08:20:532059,-1,-1,-1,-2,-1,-2,-1,-2
19:08:20:532861,-2,-1,0,0,0,1,-1,-1
19:08:20:538830,-2,-2,-1,-1,0,0,-1,-1
19:08:20:546400,-2,-2,-1,-1,0,0,-1,-1
19:08:20:561979,-2,-1,-1,0,-1,0,-1,-2
19:08:20:562764,-2,0,-1,0,-2,-1,-3,-1
19:08:20:569563,-2,0,-1,0,-2,-1,-3,-1
19:08:20:570336,-2,-2,-2,-1,-2,-1,0,-1
19:08:20:583803,1,-1,0,1,-2,-1,-1,-2
19:08:20:600175,1,-1,0,1,-2,-1,-1,-2
19:08:20:601039,-1,-2,-1,0,0,-1,0,-1
19:08:20:601782,-1,0,-2,-1,-1,-2,-2,-2
19:08:20:606366,-1,0,-2,-1,-1,-2,-2,-2
19:08:20:613791,-1,-1,0,-2,-1,-2,0,0
19:08:20:621291,-2,0,-1,-1,0,0,-1,0
19:08:20:629580,-2,0,-1,-1,0,0,-1,0
19:08:20:630337,-1,-2,-2,-1,-2,0,-1,-1
19:08:20:643865,0,-1,-2,1,-1,-1,-2,-2
19:08:20:652068,0,-1,-2,1,-1,-1,-2,-2
19:08:20:652883,0,1,-2,-1,0,-1,-1,0
19:08:20:658811,-1,1,-1,-1,0,-1,-1,0
19:08:20:666363,-1,1,-1,-1,0,-1,-1,0
19:08:20:673834,-1,1,-1,-2,1,0,-1,-3
19:08:20:681332,-1,-1,0,-1,0,0,-2,-3
19:08:20:689563,-1,-1,0,-1,0,0,-2,-3
19:08:20:690359,0,0,0,-1,-3,-2,0,0
19:08:20:703796,-3,-2,-1,-1,-1,-1,-1,-1
19:08:20:712035,-3,-2,-1,-1,-1,-1,-1,-1
19:08:20:712844,-3,-3,-3,-3,-1,-2,-2,-3
19:08:20:718819,0,-1,-1,0,-1,0,-1,2
19:08:20:726411,0,-1,-1,0,-1,0,-1,2
19:08:20:733826,-1,-2,-2,1,-2,0,-2,-1
19:08:20:741320,-2,0,-1,-1,-3,-2,-1,0
19:08:20:757064,-2,0,-1,-1,-3,-2,-1,0
19:08:20:757859,-1,-1,-1,-1,-1,0,-2,-2
19:08:20:763841,0,-1,-1,-1,-1,0,-1,-1
19:08:20:772066,0,-1,-1,-1,-1,0,-1,-1
19:08:20:772862,-1,0,-1,-1,0,-2,0,-1
19:08:20:778809,0,0,-1,-1,-1,-2,1,-1
19:08:20:786390,0,0,-1,-1,-1,-2,1,-1
19:08:20:793867,0,0,1,1,-1,-1,-2,0
19:08:20:801356,-1,-1,-2,-1,-2,-1,-4,-1
19:08:20:809530,-1,-1,-2,-1,-2,-1,-4,-1
19:08:20:810307,0,-1,0,0,-1,0,-2,-1
19:08:20:823816,0,-1,-1,0,-1,-2,0,-1
19:08:20:832097,0,-1,-1,0,-1,-2,0,-1
19:08:20:832881,-1,0,-1,-2,-2,-1,0,-1
19:08:20:838848,-1,-2,-1,-1,-1,0,-1,-1
19:08:20:846346,-1,-2,-1,-1,-1,0,-1,-1
19:08:20:853874,-1,0,-1,-1,-1,-2,1,1
19:08:20:861357,0,-2,0,-1,-1,0,-2,0
19:08:20:869526,0,-2,0,-1,-1,0,-2,0
19:08:20:870344,0,-2,1,-1,0,-1,-1,-1
19:08:20:883844,-2,-1,-1,-2,0,-1,1,-1
19:08:20:892071,-2,-1,-1,-2,0,-1,1,-1
19:08:20:892818,0,-3,-3,0,-1,-1,-1,-4
19:08:20:898871,1,0,-3,-1,0,-1,1,0
19:08:20:906356,1,0,-3,-1,0,-1,1,0
19:08:20:913812,-1,0,-1,-2,-2,-1,-1,-2
19:08:20:921338,-2,0,-1,-1,-1,-1,-1,-1
19:08:20:929585,-2,0,-1,-1,-1,-1,-1,-1
19:08:20:930332,-2,-2,-1,0,-1,-2,-1,0
19:08:20:943850,-1,0,0,-1,-2,-1,-1,-1
19:08:20:952059,-1,0,0,-1,-2,-1,-1,-1
19:08:20:952814,-2,-1,-1,-2,0,1,0,-1
19:08:20:958840,0,0,1,0,0,-2,1,-1
19:08:20:966420,0,0,1,0,0,-2,1,-1
19:08:20:973835,0,-3,-2,0,-3,-2,-2,-1
19:08:20:981384,-1,-3,-2,-3,0,-1,-2,-1
19:08:20:989574,-1,-3,-2,-3,0,-1,-2,-1
19:08:20:990389,0,-1,2,-1,-1,0,1,-1
19:08:21:3859,-1,-1,0,-1,-1,0,-1,-2
19:08:21:12072,-1,-1,0,-1,-1,0,-1,-2
19:08:21:12868,-2,1,-2,-1,0,0,-3,-1
19:08:21:18858,-2,-2,-1,0,0,0,-1,-2
19:08:21:34539,-2,-2,-1,0,0,0,-1,-2
19:08:21:35345,-2,0,0,-1,1,-1,0,0
19:08:21:41309,-1,0,-2,-1,-2,-1,-2,-1
19:08:21:49552,-1,0,-2,-1,-2,-1,-2,-1
19:08:21:50352,0,-2,-3,0,0,-3,-3,-1
