Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
19:13:40:429316,6195,-997,-6905,13467,457,-1548,1330,3,-13,-4
19:13:40:443496,6195,-997,-6905,13467,457,-1548,1330,3,-13,-4
19:13:40:444337,6196,-997,-6905,13467,469,-1539,1329,11,-9,-3
19:13:40:450306,6196,-997,-6905,13467,469,-1539,1329,11,-9,-3
19:13:40:457815,6196,-997,-6905,13467,469,-1539,1329,11,-9,-3
19:13:40:465445,6196,-996,-6906,13467,476,-1545,1318,8,-2,-5
19:13:40:472795,6196,-996,-6906,13467,476,-1545,1318,8,-2,-5
19:13:40:480337,6196,-996,-6906,13467,476,-1545,1318,8,-2,-5
19:13:40:488483,6196,-996,-6906,13467,471,-1542,1326,5,1,-5
19:13:40:489263,6196,-996,-6906,13467,471,-1542,1326,5,1,-5
19:13:40:503481,6196,-996,-6906,13467,471,-1542,1326,5,1,-5
19:13:40:504264,6196,-996,-6906,13467,460,-1535,1348,0,-1,-4
19:13:40:510267,6196,-996,-6906,13467,460,-1535,1348,0,-1,-4
19:13:40:517805,6196,-996,-6906,13467,460,-1535,1348,0,-1,-4
19:13:40:533534,6196,-996,-6906,13467,467,-1549,1338,-1,-1,-4
19:13:40:534294,6196,-996,-6906,13467,467,-1549,1338,-1,-1,-4
19:13:40:540315,6196,-996,-6906,13467,467,-1549,1338,-1,-1,-4
19:13:40:548459,6196,-995,-6905,13467,465,-1550,1341,5,-2,-6
19:13:40:549270,6196,-995,-6905,13467,465,-1550,1341,5,-2,-6
19:13:40:563535,6196,-995,-6905,13467,465,-1550,1341,5,-2,-6
19:13:40:564308,6197,-993,-6903,13468,457,-1539,1337,16,-2,-8
19:13:40:578477,6197,-993,-6903,13468,457,-1539,1337,16,-2,-8
19:13:40:579264,6197,-993,-6903,13468,457,-1539,1337,16,-2,-8
19:13:40:585321,6198,-993,-6902,13468,460,-1537,1345,-1,-4,-5
19:13:40:592804,6198,-993,-6902,13468,460,-1537,1345,-1,-4,-5
19:13:40:600310,6198,-993,-6902,13468,460,-1537,1345,-1,-4,-5
19:13:40:608491,6197,-993,-6903,13468,462,-1556,1335,-9,-3,-7
19:13:40:609288,6197,-993,-6903,13468,462,-1556,1335,-9,-3,-7
19:13:40:623496,6197,-993,-6903,13468,462,-1556,1335,-9,-3,-7
19:13:40:624314,6198,-993,-6902,13468,466,-1546,1341,12,-1,-4
19:13:40:630285,6198,-993,-6902,13468,466,-1546,1341,12,-1,-4
19:13:40:637823,6198,-993,-6902,13468,466,-1546,1341,12,-1,-4
19:13:40:645392,6198,-993,-6902,13468,466,-1542,1346,4,-1,-3
19:13:40:652803,6198,-993,-6902,13468,466,-1542,1346,4,-1,-3
19:13:40:660300,6198,-993,-6902,13468,466,-1542,1346,4,-1,-3
19:13:40:668473,6198,-993,-6902,13468,465,-1545,1334,-1,0,-5
19:13:40:669255,6198,-993,-6902,13468,465,-1545,1334,-1,0,-5
19:13:40:684163,6198,-993,-6902,13468,465,-1545,1334,-1,0,-5
19:13:40:684968,6198,-992,-6902,13468,467,-1542,1335,-5,-5,-4
19:13:40:690294,6198,-992,-6902,13468,467,-1542,1335,-5,-5,-4
19:13:40:697791,6198,-992,-6902,13468,467,-1542,1335,-5,-5,-4
19:13:40:705341,6198,-992,-6902,13468,466,-1550,1335,-1,-4,-2
19:13:40:712804,6198,-992,-6902,13468,466,-1550,1335,-1,-4,-2
19:13:40:720307,6198,-992,-6902,13468,466,-1550,1335,-1,-4,-2
19:13:40:728458,6198,-992,-6902,13468,463,-1536,1337,2,-4,-3
19:13:40:729309,6198,-992,-6902,13468,463,-1536,1337,2,-4,-3
19:13:40:743470,6198,-992,-6902,13468,463,-1536,1337,2,-4,-3
19:13:40:744316,6198,-992,-6902,13468,470,-1542,1341,0,-3,-2
19:13:40:750328,6198,-992,-6902,13468,470,-1542,1341,0,-3,-2
19:13:40:765992,6198,-992,-6902,13468,470,-1542,1341,0,-3,-2
19:13:40:766834,6198,-992,-6902,13468,467,-1538,1338,0,-1,-3
19:13:40:772807,6198,-992,-6902,13468,467,-1538,1338,0,-1,-3
19:13:40:780317,6198,-992,-6902,13468,467,-1538,1338,0,-1,-3
19:13:40:787818,6198,-992,-6902,13468,460,-1541,1324,-1,-2,-1
19:13:40:795328,6198,-992,-6902,13468,460,-1541,1324,-1,-2,-1
19:13:40:811606,6198,-992,-6902,13468,460,-1541,1324,-1,-2,-1
19:13:40:812439,6198,-992,-6902,13468,462,-1550,1331,0,-2,-2
19:13:40:813243,6198,-992,-6902,13468,462,-1550,1331,0,-2,-2
19:13:40:825985,6198,-992,-6902,13468,462,-1550,1331,0,-2,-2
19:13:40:826827,6198,-991,-6902,13468,461,-1545,1329,1,-3,-3
19:13:40:832815,6198,-991,-6902,13468,461,-1545,1329,1,-3,-3
19:13:40:840292,6198,-991,-6902,13468,461,-1545,1329,1,-3,-3
19:13:40:856041,6198,-991,-6902,13468,461,-1543,1348,4,-3,-2
19:13:40:856854,6198,-991,-6902,13468,461,-1543,1348,4,-3,-2
19:13:40:863508,6198,-991,-6902,13468,461,-1543,1348,4,-3,-2
19:13:40:864342,6198,-991,-6902,13468,461,-1537,1337,3,-3,-3
19:13:40:870318,6198,-991,-6902,13468,461,-1537,1337,3,-3,-3
19:13:40:885994,6198,-991,-6902,13468,461,-1537,1337,3,-3,-3
19:13:40:886829,6198,-991,-6902,13468,457,-1543,1345,2,-4,-3
19:13:40:892761,6198,-991,-6902,13468,457,-1543,1345,2,-4,-3
19:13:40:900268,6198,-991,-6902,13468,457,-1543,1345,2,-4,-3
19:13:40:907857,6199,-991,-6902,13468,461,-1546,1344,1,-4,-4
19:13:40:915295,6199,-991,-6902,13468,461,-1546,1344,1,-4,-4
19:13:40:923471,6199,-991,-6902,13468,461,-1546,1344,1,-4,-4
19:13:40:924287,6199,-991,-6902,13468,460,-1548,1328,5,-5,-5
19:13:40:930310,6199,-991,-6902,13468,460,-1548,1328,5,-5,-5
19:13:40:946004,6199,-991,-6902,13468,460,-1548,1328,5,-5,-5
19:13:40:946825,6199,-991,-6902,13468,460,-1546,1338,5,-3,-5
19:13:40:952834,6199,-991,-6902,13468,460,-1546,1338,5,-3,-5
19:13:40:960297,6199,-991,-6902,13468,460,-1546,1338,5,-3,-5
19:13:40:967888,6199,-991,-6902,13468,466,-1551,1338,5,-1,-5
19:13:40:975290,6199,-991,-6902,13468,466,-1551,1338,5,-1,-5
19:13:40:983494,6199,-991,-6902,13468,466,-1551,1338,5,-1,-5
19:13:40:984252,6199,-991,-6902,13468,461,-1541,1339,5,-3,-6
19:13:40:990327,6199,-991,-6902,13468,461,-1541,1339,5,-3,-6
19:13:41:5960,6199,-991,-6902,13468,461,-1541,1339,5,-3,-6
19:13:41:6783,6199,-991,-6902,13468,469,-1549,1337,6,-2,-6
19:13:41:12814,6199,-991,-6902,13468,469,-1549,1337,6,-2,-6
19:13:41:20334,6199,-991,-6902,13468,469,-1549,1337,6,-2,-6
19:13:41:27826,6199,-991,-6902,13468,459,-1545,1331,5,-1,-6
19:13:41:35259,6199,-991,-6902,13468,459,-1545,1331,5,-1,-6
19:13:41:43454,6199,-991,-6902,13468,459,-1545,1331,5,-1,-6
19:13:41:44276,6199,-991,-6902,13468,458,-1542,1338,4,1,-4
19:13:41:50277,6199,-991,-6902,13468,458,-1542,1338,4,1,-4
19:13:41:65956,6199,-991,-6902,13468,458,-1542,1338,4,1,-4
