Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
16:35:42:694631,9827,2678,679,12814,463,583,1997,159,93,301
16:35:42:702768,9780,2687,698,12847,466,578,1986,137,85,295
16:35:42:703538,9780,2687,698,12847,466,578,1986,137,85,295
16:35:42:709623,9780,2687,698,12847,466,578,1986,137,85,295
16:35:42:725383,9733,2699,716,12879,492,571,1976,144,76,294
16:35:42:726122,9733,2699,716,12879,492,571,1976,144,76,294
16:35:42:732165,9733,2699,716,12879,492,571,1976,144,76,294
16:35:42:740248,9686,2707,735,12912,471,592,2001,134,85,300
16:35:42:741047,9686,2707,735,12912,471,592,2001,134,85,300
16:35:42:763395,9686,2707,735,12912,471,592,2001,134,85,300
16:35:42:764298,9639,2714,752,12945,459,610,1973,102,79,301
16:35:42:765023,9639,2714,752,12945,459,610,1973,102,79,301
16:35:42:769535,9639,2714,752,12945,459,610,1973,102,79,301
16:35:42:785256,9600,2715,756,12973,435,589,1964,36,43,265
16:35:42:786130,9600,2715,756,12973,435,589,1964,36,43,265
16:35:42:792060,9600,2715,756,12973,435,589,1964,36,43,265
16:35:42:800388,9556,2717,748,13006,449,616,1970,-27,10,316
16:35:42:801013,9556,2717,748,13006,449,616,1970,-27,10,316
16:35:42:814537,9556,2717,748,13006,449,616,1970,-27,10,316
16:35:42:822743,9508,2742,750,13035,469,584,1869,97,-40,313
16:35:42:823644,9508,2742,750,13035,469,584,1869,97,-40,313
16:35:42:829502,9508,2742,750,13035,469,584,1869,97,-40,313
16:35:42:845270,9459,2774,763,13064,470,592,2026,195,-62,310
16:35:42:846141,9459,2774,763,13064,470,592,2026,195,-62,310
16:35:42:852017,9459,2774,763,13064,470,592,2026,195,-62,310
16:35:42:860272,9413,2783,741,13096,551,548,2071,-11,-35,313
16:35:42:861117,9413,2783,741,13096,551,548,2071,-11,-35,313
16:35:42:874649,9413,2783,741,13096,551,548,2071,-11,-35,313
16:35:42:882743,9364,2793,737,13129,455,532,1995,70,-21,329
16:35:42:883625,9364,2793,737,13129,455,532,1995,70,-21,329
16:35:42:889493,9364,2793,737,13129,455,532,1995,70,-21,329
16:35:42:905294,9314,2797,736,13165,476,549,2067,65,20,341
16:35:42:906223,9314,2797,736,13165,476,549,2067,65,20,341
16:35:42:912126,9314,2797,736,13165,476,549,2067,65,20,341
16:35:42:920250,9264,2785,739,13201,484,556,2059,25,103,329
