Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
16:59:46:239539,13442,363,-5627,7478,1103,-482,1497,-405,-218,31
16:59:46:247762,13436,295,-5716,7426,1194,-584,1439,-623,-220,-84
16:59:46:248646,13436,295,-5716,7426,1194,-584,1439,-623,-220,-84
16:59:46:254657,13436,295,-5716,7426,1194,-584,1439,-623,-220,-84
16:59:46:270268,13437,226,-5816,7348,1306,-717,1375,-653,-202,-238
16:59:46:271132,13437,226,-5816,7348,1306,-717,1375,-653,-202,-238
16:59:46:277003,13437,226,-5816,7348,1306,-717,1375,-653,-202,-238
16:59:46:292757,13443,181,-5905,7266,1409,-871,1321,-461,-158,-348
16:59:46:293623,13443,181,-5905,7266,1409,-871,1321,-461,-158,-348
16:59:46:299624,13443,181,-5905,7266,1409,-871,1321,-461,-158,-348
16:59:46:307765,13453,184,-5948,7212,1450,-838,1351,-89,-51,-316
16:59:46:308643,13453,184,-5948,7212,1450,-838,1351,-89,-51,-316
16:59:46:314506,13453,184,-5948,7212,1450,-838,1351,-89,-51,-316
16:59:46:330258,13471,203,-5937,7189,1312,-639,1481,87,75,-191
16:59:46:331177,13471,203,-5937,7189,1312,-639,1481,87,75,-191
16:59:46:337127,13471,203,-5937,7189,1312,-639,1481,87,75,-191
16:59:46:345259,13488,204,-5917,7172,1186,-561,1543,-7,92,-114
16:59:46:346150,13488,204,-5917,7172,1186,-561,1543,-7,92,-114
16:59:46:368540,13488,204,-5917,7172,1186,-561,1543,-7,92,-114
16:59:46:369281,13503,187,-5900,7159,1180,-639,1655,-76,76,-84
16:59:46:370167,13503,187,-5900,7159,1180,-639,1655,-76,76,-84
16:59:46:374663,13503,187,-5900,7159,1180,-639,1655,-76,76,-84
16:59:46:390275,13515,197,-5878,7154,1258,-725,1782,95,27,-114
16:59:46:391159,13515,197,-5878,7154,1258,-725,1782,95,27,-114
16:59:46:413395,13515,197,-5878,7154,1258,-725,1782,95,27,-114
16:59:46:414295,13523,261,-5832,7174,1255,-727,1851,454,-23,-104
16:59:46:415015,13523,261,-5832,7174,1255,-727,1851,454,-23,-104
16:59:46:419667,13523,261,-5832,7174,1255,-727,1851,454,-23,-104
16:59:46:427773,13524,366,-5758,7227,1127,-566,1858,726,-58,7
16:59:46:428641,13524,366,-5758,7227,1127,-566,1858,726,-58,7
16:59:46:434645,13524,366,-5758,7227,1127,-566,1858,726,-58,7
16:59:46:450280,13513,491,-5699,7287,1167,-346,1741,737,-137,105
16:59:46:451141,13513,491,-5699,7287,1167,-346,1741,737,-137,105
16:59:46:457033,13513,491,-5699,7287,1167,-346,1741,737,-137,105
16:59:46:465271,13494,604,-5679,7329,1349,-226,1624,529,-201,128
16:59:46:466141,13494,604,-5679,7329,1349,-226,1624,529,-201,128
16:59:46:479635,13494,604,-5679,7329,1349,-226,1624,529,-201,128
16:59:46:487770,13468,708,-5671,7374,1446,-165,1491,460,-166,207
16:59:46:488630,13468,708,-5671,7374,1446,-165,1491,460,-166,207
16:59:46:494520,13468,708,-5671,7374,1446,-165,1491,460,-166,207
16:59:46:510269,13437,802,-5663,7427,1527,-150,1403,445,-80,281
16:59:46:511137,13437,802,-5663,7427,1527,-150,1403,445,-80,281
16:59:46:517136,13437,802,-5663,7427,1527,-150,1403,445,-80,281
16:59:46:532909,13411,872,-5652,7473,1599,-142,1399,328,23,291
16:59:46:533651,13411,872,-5652,7473,1599,-142,1399,328,23,291
16:59:46:539636,13411,872,-5652,7473,1599,-142,1399,328,23,291
16:59:46:547755,13386,905,-5632,7530,1566,-217,1452,226,141,382
16:59:46:548637,13386,905,-5632,7530,1566,-217,1452,226,141,382
16:59:46:562132,13386,905,-5632,7530,1566,-217,1452,226,141,382
16:59:46:570417,13360,889,-5604,7599,1484,-288,1518,67,250,494
16:59:46:571139,13360,889,-5604,7599,1484,-288,1518,67,250,494
16:59:46:577140,13360,889,-5604,7599,1484,-288,1518,67,250,494
16:59:46:585288,13333,817,-5586,7666,1471,-421,1556,-170,345,559
16:59:46:586137,13333,817,-5586,7666,1471,-421,1556,-170,345,559
16:59:46:599651,13333,817,-5586,7666,1471,-421,1556,-170,345,559
16:59:46:607888,13315,685,-5568,7724,1460,-460,1621,-470,489,613
16:59:46:608640,13315,685,-5568,7724,1460,-460,1621,-470,489,613
16:59:46:614634,13315,685,-5568,7724,1460,-460,1621,-470,489,613
16:59:46:630283,13302,504,-5546,7776,1388,-475,1662,-711,625,665
16:59:46:631136,13302,504,-5546,7776,1388,-475,1662,-711,625,665
16:59:46:646030,13302,504,-5546,7776,1388,-475,1662,-711,625,665
16:59:46:646769,13288,268,-5531,7822,1312,-559,1675,-981,714,729
16:59:46:647654,13288,268,-5531,7822,1312,-559,1675,-981,714,729
16:59:46:659530,13288,268,-5531,7822,1312,-559,1675,-981,714,729
16:59:46:667777,13272,9,-5531,7853,1341,-641,1660,-1141,734,714
16:59:46:668634,13272,9,-5531,7853,1341,-641,1660,-1141,734,714
16:59:46:682143,13272,9,-5531,7853,1341,-641,1660,-1141,734,714
16:59:46:690266,13255,-269,-5530,7879,1308,-866,1724,-1171,772,692
16:59:46:691137,13255,-269,-5530,7879,1308,-866,1724,-1171,772,692
16:59:46:697011,13255,-269,-5530,7879,1308,-866,1724,-1171,772,692
16:59:46:705294,13237,-553,-5541,7886,1288,-1150,1666,-1171,752,556
16:59:46:706138,13237,-553,-5541,7886,1288,-1150,1666,-1171,752,556
16:59:46:719653,13237,-553,-5541,7886,1288,-1150,1666,-1171,752,556
16:59:46:727789,13230,-775,-5536,7884,1304,-1228,1592,-829,721,377
16:59:46:728645,13230,-775,-5536,7884,1304,-1228,1592,-829,721,377
16:59:46:734510,13230,-775,-5536,7884,1304,-1228,1592,-829,721,377
16:59:46:750297,13229,-909,-5506,7892,1340,-1134,1515,-378,654,298
16:59:46:751142,13229,-909,-5506,7892,1340,-1134,1515,-378,654,298
16:59:46:757066,13229,-909,-5506,7892,1340,-1134,1515,-378,654,298
16:59:46:765270,13230,-995,-5464,7908,1212,-941,1389,-168,564,274
16:59:46:766151,13230,-995,-5464,7908,1212,-941,1389,-168,564,274
16:59:46:779643,13230,-995,-5464,7908,1212,-941,1389,-168,564,274
16:59:46:787789,13241,-1030,-5407,7924,1107,-743,1358,31,488,191
16:59:46:788664,13241,-1030,-5407,7924,1107,-743,1358,31,488,191
16:59:46:794547,13241,-1030,-5407,7924,1107,-743,1358,31,488,191
16:59:46:810295,13247,-1059,-5355,7946,993,-844,1322,105,398,169
16:59:46:811141,13247,-1059,-5355,7946,993,-844,1322,105,398,169
16:59:46:817145,13247,-1059,-5355,7946,993,-844,1322,105,398,169
16:59:46:824648,13253,-1084,-5313,7961,946,-857,1272,103,352,116
16:59:46:832020,13253,-1084,-5313,7961,946,-857,1272,103,352,116
16:59:46:839526,13253,-1084,-5313,7961,946,-857,1272,103,352,116
16:59:46:847801,13270,-1104,-5259,7967,881,-759,1354,88,367,51
16:59:46:848641,13270,-1104,-5259,7967,881,-759,1354,88,367,51
16:59:46:862181,13270,-1104,-5259,7967,881,-759,1354,88,367,51
16:59:46:870270,13290,-1145,-5203,7963,783,-702,1390,-52,401,30
16:59:46:871154,13290,-1145,-5203,7963,783,-702,1390,-52,401,30
16:59:46:877016,13290,-1145,-5203,7963,783,-702,1390,-52,401,30
16:59:46:884637,13314,-1224,-5163,7937,708,-717,1499,-329,390,-35
16:59:46:892154,13314,-1224,-5163,7937,708,-717,1499,-329,390,-35
16:59:46:899654,13314,-1224,-5163,7937,708,-717,1499,-329,390,-35
16:59:46:915264,13339,-1313,-5134,7899,690,-855,1538,-380,369,-110
16:59:46:916168,13339,-1313,-5134,7899,690,-855,1538,-380,369,-110
16:59:46:931029,13339,-1313,-5134,7899,690,-855,1538,-380,369,-110
16:59:46:931759,13369,-1373,-5090,7867,723,-994,1653,-159,353,-163
16:59:46:932513,13369,-1373,-5090,7867,723,-994,1653,-159,353,-163
16:59:46:937025,13369,-1373,-5090,7867,723,-994,1653,-159,353,-163
16:59:46:944659,13384,-1406,-5051,7861,933,-1080,1808,-9,288,-19
16:59:46:952152,13384,-1406,-5051,7861,933,-1080,1808,-9,288,-19
16:59:46:959531,13384,-1406,-5051,7861,933,-1080,1808,-9,288,-19
16:59:46:967768,13386,-1462,-4983,7891,754,-961,1811,-41,370,226
16:59:46:968646,13386,-1462,-4983,7891,754,-961,1811,-41,370,226
16:59:46:982150,13386,-1462,-4983,7891,754,-961,1811,-41,370,226
16:59:46:990261,13402,-1508,-4880,7920,681,-834,1792,62,518,200
16:59:46:991147,13402,-1508,-4880,7920,681,-834,1792,62,518,200
16:59:46:997026,13402,-1508,-4880,7920,681,-834,1792,62,518,200
16:59:47:4648,13451,-1463,-4717,7943,710,-642,1910,555,607,15
16:59:47:12141,13451,-1463,-4717,7943,710,-642,1910,555,607,15
16:59:47:19639,13451,-1463,-4717,7943,710,-642,1910,555,607,15
16:59:47:27780,13508,-1421,-4547,7954,612,-234,1974,358,623,6
16:59:47:28650,13508,-1421,-4547,7954,612,-234,1974,358,623,6
16:59:47:42031,13508,-1421,-4547,7954,612,-234,1974,358,623,6
16:59:47:50265,13536,-1557,-4463,7928,417,-429,2006,-698,613,68
16:59:47:51163,13536,-1557,-4463,7928,417,-429,2006,-698,613,68
16:59:47:57135,13536,-1557,-4463,7928,417,-429,2006,-698,613,68
16:59:47:64644,13516,-1868,-4506,7871,574,-996,1923,-1657,615,231
16:59:47:80280,13516,-1868,-4506,7871,574,-996,1923,-1657,615,231
16:59:47:81024,13516,-1868,-4506,7871,574,-996,1923,-1657,615,231
16:59:47:87773,13463,-2236,-4522,7857,734,-1210,1921,-1793,841,633
16:59:47:88636,13463,-2236,-4522,7857,734,-1210,1921,-1793,841,633
16:59:47:102010,13463,-2236,-4522,7857,734,-1210,1921,-1793,841,633
16:59:47:110276,13424,-2568,-4469,7852,810,-1548,1905,-1284,1124,610
16:59:47:111151,13424,-2568,-4469,7852,810,-1548,1905,-1284,1124,610
16:59:47:117036,13424,-2568,-4469,7852,810,-1548,1905,-1284,1124,610
16:59:47:132778,13421,-2828,-4344,7837,855,-1488,1790,-756,1393,473
16:59:47:133652,13421,-2828,-4344,7837,855,-1488,1790,-756,1393,473
16:59:47:139548,13421,-2828,-4344,7837,855,-1488,1790,-756,1393,473
16:59:47:147817,13421,-3071,-4185,7832,878,-1432,1749,-598,1541,564
16:59:47:148654,13421,-3071,-4185,7832,878,-1432,1749,-598,1541,564
16:59:47:162131,13421,-3071,-4185,7832,878,-1432,1749,-598,1541,564
16:59:47:170271,13432,-3325,-3975,7820,730,-1561,1702,-567,1700,511
16:59:47:171145,13432,-3325,-3975,7820,730,-1561,1702,-567,1700,511
16:59:47:177045,13432,-3325,-3975,7820,730,-1561,1702,-567,1700,511
16:59:47:184644,13461,-3565,-3754,7773,737,-1519,1732,-514,1789,307
16:59:47:192148,13461,-3565,-3754,7773,737,-1519,1732,-514,1789,307
16:59:47:199647,13461,-3565,-3754,7773,737,-1519,1732,-514,1789,307
16:59:47:207795,13519,-3782,-3492,7691,650,-1297,1834,-340,1989,93
16:59:47:208642,13519,-3782,-3492,7691,650,-1297,1834,-340,1989,93
16:59:47:222032,13519,-3782,-3492,7691,650,-1297,1834,-340,1989,93
16:59:47:238433,13572,-4040,-3261,7568,394,-1052,1903,-700,1986,-81
16:59:47:239299,13572,-4040,-3261,7568,394,-1052,1903,-700,1986,-81
16:59:47:240022,13572,-4040,-3261,7568,394,-1052,1903,-700,1986,-81
16:59:47:244649,13597,-4393,-3088,7396,186,-900,1782,-1401,1983,-229
16:59:47:260293,13597,-4393,-3088,7396,186,-900,1782,-1401,1983,-229
16:59:47:261041,13597,-4393,-3088,7396,186,-900,1782,-1401,1983,-229
16:59:47:267789,13581,-4844,-2973,7190,-185,-1164,1706,-2078,1937,-288
