Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:42:05:468579,0,0,-3,-3,-1,0,-3,0
13:42:05:469351,-1,-4,-1,-1,0,-1,-2,-1
13:42:05:470232,0,-2,-1,0,-1,-2,-1,-1
13:42:05:471053,0,-2,-1,0,-1,-2,-1,-1
13:42:05:474693,-4,-1,-2,1,2,0,-1,-2
13:42:05:475429,3,-5,-2,-1,-2,-1,-1,2
13:42:05:476310,3,-5,-2,-1,-2,-1,-1,2
13:42:05:480843,3,-17,-3,0,-2,-1,-1,0
13:42:05:488331,-3,-4,-4,2,-3,0,-1,-2
13:42:05:495979,-3,-4,-4,2,-3,0,-1,-2
13:42:05:503341,1,3,-1,-2,0,-2,-1,-1
13:42:05:510863,2,3,1,1,0,0,-1,0
13:42:05:519082,2,3,1,1,0,0,-1,0
13:42:05:519848,-2,2,1,-1,0,0,0,0
13:42:05:534099,-3,-2,1,-2,-3,-1,-1,-2
13:42:05:534826,-3,-2,1,-2,-3,-1,-1,-2
13:42:05:540868,1,4,-1,-1,-2,-1,0,0
13:42:05:548346,1,-3,0,0,2,0,-1,-2
13:42:05:555859,1,-3,0,0,2,0,-1,-2
13:42:05:563341,1,2,-4,-1,-2,-2,-1,1
13:42:05:579725,-5,-6,-1,-3,-1,-3,-2,-2
13:42:05:580582,-5,-6,-1,-3,-1,-3,-2,-2
13:42:05:581315,-4,2,0,0,0,-1,-1,-1
13:42:05:594093,-2,-1,-1,0,0,0,0,-1
13:42:05:594837,-2,-1,-1,0,0,0,0,-1
13:42:05:600837,1,13,3,0,-3,-2,-2,1
13:42:05:608379,-1,1,-2,-2,0,-1,-1,0
13:42:05:615979,-1,1,-2,-2,0,-1,-1,0
13:42:05:623349,-3,-9,1,-1,1,-1,-2,-1
13:42:05:630846,1,1,0,0,-1,-2,1,-1
13:42:05:639087,1,1,0,0,-1,-2,1,-1
13:42:05:639823,-4,-3,-4,0,-1,1,-1,-4
13:42:05:654109,2,0,-3,-2,-1,-1,-2,0
13:42:05:654819,2,0,-3,-2,-1,-1,-2,0
13:42:05:677225,2,4,1,0,-2,1,0,0
13:42:05:678103,-6,9,1,-1,0,-1,-1,1
13:42:05:678805,-6,9,1,-1,0,-1,-1,1
13:42:05:700341,-1,0,-1,-2,-1,-1,-2,-1
13:42:05:701076,0,-2,0,0,-1,-2,-1,-1
13:42:05:701948,0,-2,0,0,-1,-2,-1,-1
13:42:05:702700,0,-2,-1,-1,-2,-2,-1,-2
13:42:05:722234,-1,-12,-4,-3,-1,-1,-2,-2
13:42:05:723087,-1,-12,-4,-3,-1,-1,-2,-2
13:42:05:723810,-2,-4,-4,-1,0,-2,0,0
13:42:05:728327,0,2,0,2,0,0,1,-1
13:42:05:735972,0,2,0,2,0,0,1,-1
13:42:05:743350,0,-6,-2,0,-1,0,1,-2
13:42:05:759718,-1,-1,1,-1,-4,-1,-3,-1
13:42:05:766576,-1,-1,1,-1,-4,-1,-3,-1
13:42:05:767340,0,-3,0,-2,-2,0,-1,-1
13:42:05:783354,0,-16,-6,-2,0,0,-1,-4
13:42:05:784084,0,-16,-6,-2,0,0,-1,-4
13:42:05:788963,-3,2,-1,-2,-1,0,-1,-2
13:42:05:789860,-1,1,-3,-1,0,-2,0,-1
13:42:05:795819,-1,1,-3,-1,0,-2,0,-1
13:42:05:803303,0,-4,-1,-2,-1,-3,-1,-1
13:42:05:810840,1,10,1,-1,0,-1,-1,1
13:42:05:819115,1,10,1,-1,0,-1,-1,1
13:42:05:819811,0,8,0,2,-1,0,-1,0
13:42:05:834104,1,0,-2,-3,-2,-1,-2,-1
13:42:05:834845,1,0,-2,-3,-2,-1,-2,-1
13:42:05:840832,-1,-2,-2,-1,0,-1,1,-2
13:42:05:848304,-2,-1,0,1,0,-1,0,-1
13:42:05:855944,-2,-1,0,1,0,-1,0,-1
13:42:05:863356,0,6,0,-2,0,-2,-1,0
13:42:05:870806,-1,-2,-1,-4,-4,-1,-1,0
13:42:05:879071,-1,-2,-1,-4,-4,-1,-1,0
13:42:05:879839,-4,-3,1,-1,-3,-3,-3,-2
13:42:05:894735,1,4,1,-1,-1,-1,-2,1
13:42:05:895590,1,4,1,-1,-1,-1,-2,1
13:42:05:900850,-2,-3,-3,-1,0,1,0,-2
13:42:05:908368,-3,2,1,0,0,1,-1,-2
13:42:05:915938,-3,2,1,0,0,1,-1,-2
13:42:05:923347,-3,5,-1,1,1,-2,-2,-2
13:42:05:930811,-1,-3,-1,-1,0,0,-1,-1
13:42:05:955501,-1,-3,-1,-1,0,0,-1,-1
13:42:05:956224,-6,-1,0,-2,-2,0,-3,0
13:42:05:957103,-5,11,-1,1,-2,-1,0,-2
13:42:05:957817,-5,11,-1,1,-2,-1,0,-2
13:42:05:977211,2,-8,-3,0,-1,-2,-2,0
13:42:05:977973,1,-5,-2,-1,-1,-1,-1,1
13:42:05:978842,1,-5,-2,-1,-1,-1,-1,1
13:42:05:983329,1,-1,-2,0,0,0,0,0
13:42:05:999712,-1,-4,-2,2,0,0,0,-4
13:42:06:577,-1,-4,-2,2,0,0,0,-4
13:42:06:1317,-2,-2,0,-1,-1,2,0,-3
13:42:06:22216,-4,-2,1,1,-3,-2,-1,-1
13:42:06:23077,-4,-2,1,1,-3,-2,-1,-1
13:42:06:23834,2,-3,-2,-3,-1,-1,-1,0
13:42:06:28317,1,-1,-1,-1,2,-1,0,-2
13:42:06:35943,1,-1,-1,-1,2,-1,0,-2
13:42:06:43340,3,-1,-3,-1,-2,-2,-2,2
13:42:06:50820,0,11,3,-3,-1,1,0,0
13:42:06:59471,0,11,3,-3,-1,1,0,0
13:42:06:65863,1,-9,-1,1,2,-1,1,-1
13:42:06:74074,-3,-9,-3,-1,-1,-3,-1,-2
13:42:06:74847,-3,-9,-3,-1,-1,-3,-1,-2
13:42:06:80835,-1,0,2,0,-2,0,0,-1
13:42:06:88319,0,0,-2,1,-1,-1,-1,-2
13:42:06:95863,0,0,-2,1,-1,-1,-1,-2
13:42:06:103358,-3,-2,-2,0,-1,-1,-3,-2
13:42:06:110833,-1,-7,-3,0,-2,0,-1,0
13:42:06:119090,-1,-7,-3,0,-2,0,-1,0
13:42:06:119801,-2,-2,0,-2,-1,-1,-1,-1
13:42:06:134080,-2,-11,-3,-3,-1,-2,-2,-2
13:42:06:134834,-2,-11,-3,-3,-1,-2,-2,-2
13:42:06:140848,0,2,-1,-1,0,-3,-2,0
13:42:06:148316,-5,-16,-1,-1,0,-2,-1,-1
13:42:06:155804,-5,-16,-1,-1,0,-2,-1,-1
13:42:06:163333,-3,3,0,-2,-1,-1,-1,-2
13:42:06:170836,1,1,-1,2,-1,0,-1,0
13:42:06:179111,1,1,-1,2,-1,0,-1,0
13:42:06:179857,-1,-2,-2,-3,-1,1,-2,-1
13:42:06:194113,0,5,1,-3,-1,-3,-1,-1
13:42:06:194874,0,5,1,-3,-1,-3,-1,-1
13:42:06:200824,-4,-16,-3,-2,-3,-2,-2,-3
13:42:06:208374,-1,2,-1,-2,-1,0,-2,-1
13:42:06:224437,-1,2,-1,-2,-1,0,-2,-1
13:42:06:231445,-3,-6,-2,-1,0,1,0,-3
13:42:06:232304,3,1,-1,0,-2,-2,-1,0
13:42:06:255334,3,1,-1,0,-2,-2,-1,0
13:42:06:256194,1,3,-2,-1,-3,-2,-1,1
13:42:06:257061,0,2,-2,-1,-3,-3,-1,1
13:42:06:257846,0,2,-2,-1,-3,-3,-1,1
13:42:06:260828,-2,-1,0,-2,0,-1,0,-1
13:42:06:276570,-1,-1,-3,-1,0,-2,-1,-3
13:42:06:277339,-1,-1,-3,-1,0,-2,-1,-3
13:42:06:283311,1,-7,-2,0,0,-1,-2,-1
13:42:06:290874,-3,3,0,-1,-1,2,0,-1
13:42:06:298465,-3,3,0,-1,-1,2,0,-1
13:42:06:305851,-3,-10,-3,-1,-1,-2,0,-2
13:42:06:322238,-2,-3,-2,-3,0,-1,-1,-2
13:42:06:323103,-2,-3,-2,-3,0,-1,-1,-2
13:42:06:323843,0,0,-1,-1,0,1,-1,-1
13:42:06:336574,-1,0,0,-2,-1,-2,-2,2
13:42:06:337304,-1,0,0,-2,-1,-2,-2,2
13:42:06:343407,0,5,0,0,-1,-3,-1,-1
13:42:06:350823,0,-1,-2,-1,-1,1,-1,-1
13:42:06:358400,0,-1,-2,-1,-1,1,-1,-1
13:42:06:365842,-1,3,-1,-1,-1,-2,0,0
13:42:06:374101,0,-2,0,-1,-3,-1,-2,-2
13:42:06:374827,0,-2,0,-1,-3,-1,-2,-2
13:42:06:380828,-3,5,0,-1,-1,-1,0,-1
13:42:06:396596,-3,-3,-1,0,0,-1,-1,-2
13:42:06:397316,-3,-3,-1,0,0,-1,-1,-2
13:42:06:403314,0,0,-1,-2,0,-1,-2,-1
13:42:06:410830,0,0,-1,1,-1,-1,-1,-1
13:42:06:418440,0,0,-1,1,-1,-1,-1,-1
13:42:06:425845,-1,1,0,-1,-1,-2,-3,-1
13:42:06:434104,0,-3,-1,0,0,-1,0,0
13:42:06:434815,0,-3,-1,0,0,-1,0,0
13:42:06:440831,0,0,-2,-1,-1,1,1,0
13:42:06:456585,-1,-2,-3,-1,-2,0,-2,-1
13:42:06:457333,-1,-2,-3,-1,-2,0,-2,-1
13:42:06:463376,-3,1,-1,1,0,1,-1,-2
13:42:06:470816,0,2,1,-1,-2,-1,0,1
13:42:06:478366,0,2,1,-1,-2,-1,0,1
13:42:06:485846,-3,-2,1,0,-1,-1,0,-1
13:42:06:494065,-1,-4,-2,1,1,0,-1,-1
13:42:06:494873,-1,-4,-2,1,1,0,-1,-1
13:42:06:508340,0,13,1,-1,-2,-1,-1,0
13:42:06:532831,2,13,6,1,0,-1,1,2
13:42:06:533712,2,13,6,1,0,-1,1,2
13:42:06:534439,-1,-4,-2,-1,0,-1,-1,0
13:42:06:535304,-1,-2,-4,-2,-1,1,-1,-1
13:42:06:538479,-1,-2,-4,-2,-1,1,-1,-1
13:42:06:545814,-4,-24,-3,-1,-2,-1,-1,-1
13:42:06:554100,-1,-6,-1,-3,-1,0,-3,0
13:42:06:554838,-1,-6,-1,-3,-1,0,-3,0
13:42:06:560841,1,-6,-3,-2,0,0,-1,0
13:42:06:576598,0,-3,-3,1,1,-1,1,-2
13:42:06:577371,0,-3,-3,1,1,-1,1,-2
13:42:06:583308,1,6,-2,-1,0,-2,-1,-2
13:42:06:590822,0,2,-1,-2,-1,-3,0,0
13:42:06:598316,0,2,-1,-2,-1,-3,0,0
13:42:06:605879,-1,2,-1,-2,-1,-2,0,-3
13:42:06:614130,-3,-4,-2,-1,-4,0,0,-1
13:42:06:614839,-3,-4,-2,-1,-4,0,0,-1
13:42:06:620827,0,4,-1,0,1,-1,-2,0
13:42:06:636458,-1,-2,0,-2,0,-3,-1,-1
13:42:06:637328,-1,-2,0,-2,0,-3,-1,-1
13:42:06:643345,2,5,2,-1,-1,-1,0,-1
13:42:06:650833,-1,-3,-2,0,-1,-1,0,-1
13:42:06:658336,-1,-3,-2,0,-1,-1,0,-1
13:42:06:665970,0,-4,-2,-1,-1,-1,-1,-1
13:42:06:674081,-2,-1,-2,-3,-2,-3,-1,-3
13:42:06:674837,-2,-1,-2,-3,-2,-3,-1,-3
13:42:06:680826,0,1,-1,0,0,0,-1,0
13:42:06:696472,1,1,-1,-1,0,-2,-2,-1
13:42:06:697339,1,1,-1,-1,0,-2,-2,-1
13:42:06:703344,-3,2,1,-2,-2,-4,-1,-1
13:42:06:710857,0,-4,0,0,0,-1,0,-1
13:42:06:718339,0,-4,0,0,0,-1,0,-1
13:42:06:725847,-1,-1,-1,0,0,0,-1,-1
13:42:06:734085,-2,-1,-1,-1,-1,-1,-1,-1
13:42:06:734828,-2,-1,-1,-1,-1,-1,-1,-1
13:42:06:748331,-1,-2,-2,-2,-1,1,-1,-2
13:42:06:756593,-1,1,0,1,0,1,-1,-2
13:42:06:757333,-1,1,0,1,0,1,-1,-2
13:42:06:771455,0,0,-1,-2,-2,-3,-1,-2
13:42:06:772326,-2,-2,0,-1,-2,0,0,-1
13:42:06:778360,-2,-2,0,-1,-2,0,0,-1
13:42:06:785819,-2,-3,0,-3,-1,-4,-1,-1
13:42:06:794101,-2,2,0,-1,1,-4,-2,0
13:42:06:794833,-2,2,0,-1,1,-4,-2,0
13:42:06:800844,-1,1,-3,-2,-1,-1,0,0
13:42:06:817204,-2,-3,-3,-3,-1,-1,-1,-2
13:42:06:818080,-2,-3,-3,-3,-1,-1,-1,-2
13:42:06:823329,-3,-1,0,0,-1,0,-2,-1
13:42:06:830845,0,0,0,0,-2,1,0,-1
13:42:06:838342,0,0,0,0,-2,1,0,-1
13:42:06:845843,0,-2,-2,-2,-1,-1,0,-2
13:42:06:854075,-1,-3,-1,-1,0,-2,0,-1
13:42:06:854824,-1,-3,-1,-1,0,-2,0,-1
13:42:06:860832,-1,-1,-2,-1,-2,-1,-1,1
13:42:06:877067,-1,0,0,-2,-1,0,1,1
13:42:06:877893,-1,0,0,-2,-1,0,1,1
13:42:06:883341,-1,0,0,0,-1,-1,-1,-1
13:42:06:890829,0,-1,-1,-2,-1,-2,-2,-1
13:42:06:898347,0,-1,-1,-2,-1,-2,-2,-1
13:42:06:905843,-1,-1,-1,-2,-2,1,-1,-2
13:42:06:914079,0,0,0,-1,-1,0,-1,-1
13:42:06:914825,0,0,0,-1,-1,0,-1,-1
13:42:06:920828,1,-2,-2,-1,-3,-2,-1,1
13:42:06:936575,-1,-1,-2,0,-1,-3,-1,-1
13:42:06:937323,-1,-1,-2,0,-1,-3,-1,-1
13:42:06:943379,-1,0,1,0,-2,-1,-2,1
13:42:06:950819,-2,-1,-1,-1,-1,0,-1,0
13:42:06:958471,-2,-1,-1,-1,-1,0,-1,0
13:42:06:965829,0,-2,-1,-2,-1,0,0,-2
13:42:06:974078,-1,-3,-4,-2,-2,-1,0,-2
