Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
20:06:14:559,0,-1,-1,-3,-3,0,-2,-2
20:06:14:2908,0,-2,0,-2,3,-2,-4,-4
20:06:14:10408,-2,-2,-3,-2,-3,-1,1,0
20:06:14:35051,-2,-2,-3,-2,-3,-1,1,0
20:06:14:35785,3,-2,-3,-6,-4,1,1,2
20:06:14:36684,0,-1,0,-2,-4,0,3,2
20:06:14:37413,0,-1,0,-2,-4,0,3,2
20:06:14:40424,-1,-1,0,0,-2,-1,0,-1
20:06:14:48078,1,-2,-2,0,2,-3,-1,-1
20:06:14:56217,1,-2,-2,0,2,-3,-1,-1
20:06:14:57027,-7,-2,0,0,-2,-3,-6,-7
20:06:14:70410,-3,0,-1,2,0,-3,-6,-4
20:06:14:78677,-3,0,-1,2,0,-3,-6,-4
20:06:14:79431,-3,-2,2,3,-1,-3,-2,0
20:06:14:85408,-3,-1,0,-2,-1,0,-3,-5
20:06:14:93059,-3,-1,0,-2,-1,0,-3,-5
20:06:14:100411,-3,0,-1,-3,1,0,-5,-6
20:06:14:107969,1,-1,-3,-3,2,0,-3,-1
20:06:14:116225,1,-1,-3,-3,2,0,-3,-1
20:06:14:117079,0,-2,-1,-1,-2,0,2,0
20:06:14:130444,-3,-2,1,2,1,1,1,-2
20:06:14:138712,-3,-2,1,2,1,1,1,-2
20:06:14:139439,1,0,1,1,1,1,2,3
20:06:14:145418,1,0,-3,-3,-3,0,2,0
20:06:14:153072,1,0,-3,-3,-3,0,2,0
20:06:14:160413,0,0,-2,-1,-1,2,-3,0
20:06:14:167926,-3,-3,-4,-3,0,3,0,-2
20:06:14:176161,-3,-3,-4,-3,0,3,0,-2
20:06:14:177022,0,-1,-1,-3,-2,0,1,-1
20:06:14:190445,-1,-1,-1,-2,1,0,0,1
20:06:14:206876,-1,-1,-1,-2,1,0,0,1
20:06:14:207568,-2,0,0,1,-2,-1,1,1
20:06:14:208421,-1,-2,-1,0,-2,0,-1,-2
20:06:14:213032,-1,-2,-1,0,-2,0,-1,-2
20:06:14:220420,-1,0,-3,-2,-1,-1,0,0
20:06:14:236905,0,-4,0,-5,-2,-1,2,1
20:06:14:237556,0,-4,0,-5,-2,-1,2,1
20:06:14:238422,-1,-3,-2,0,0,-4,-3,-2
20:06:14:250398,-1,0,-2,0,-3,-2,-2,-2
20:06:14:258685,-1,0,-2,0,-3,-2,-2,-2
20:06:14:259448,1,0,-1,3,-2,0,1,-1
20:06:14:265455,1,-1,1,2,0,-3,0,-2
20:06:14:273049,1,-1,1,2,0,-3,0,-2
20:06:14:280438,-3,-2,-2,-2,0,-1,0,0
20:06:14:288053,-1,-1,0,-2,0,-1,-1,0
20:06:14:296200,-1,-1,0,-2,0,-1,-1,0
20:06:14:297071,0,-1,-1,-1,-2,0,-2,-2
20:06:14:319326,-1,-1,-3,-5,-2,0,-5,-2
20:06:14:326850,-1,-1,-3,-5,-2,0,-5,-2
20:06:14:327702,-2,-1,0,-1,3,-2,-3,-1
20:06:14:328433,-2,0,3,5,3,2,2,0
20:06:14:333075,-2,0,3,5,3,2,2,0
20:06:14:340427,2,0,-3,-5,-5,5,6,1
20:06:14:356815,-1,-2,-1,0,2,-1,-5,-4
20:06:14:357547,-1,-2,-1,0,2,-1,-5,-4
20:06:14:358403,-2,-1,-1,2,-2,-4,-4,-3
20:06:14:370510,-5,1,2,5,3,-7,-5,-2
20:06:14:378682,-5,1,2,5,3,-7,-5,-2
20:06:14:379431,-2,-1,2,0,1,-2,-1,0
20:06:14:393714,1,1,0,-5,-5,0,3,1
20:06:14:394443,1,1,0,-5,-5,0,3,1
20:06:14:408590,2,-3,-2,-3,-1,-2,-2,-3
20:06:14:409490,0,-1,-1,-3,1,-2,-2,-1
20:06:14:415622,0,-1,-1,-3,1,-2,-2,-1
20:06:14:422918,-3,0,0,0,-1,-4,0,-2
20:06:14:430419,-3,-1,0,2,-1,-2,-1,-3
20:06:14:446188,-3,-1,0,2,-1,-2,-1,-3
20:06:14:446934,-4,0,0,1,-2,-4,-2,0
20:06:14:453666,-2,-1,-2,-2,-5,-3,-4,-2
20:06:14:454439,-2,-1,-2,-2,-5,-3,-4,-2
20:06:14:460472,-4,0,-1,-2,-1,-3,-3,-1
20:06:14:476806,0,-1,-2,1,-3,0,-2,-1
20:06:14:477536,0,-1,-2,1,-3,0,-2,-1
20:06:14:482944,0,-2,-2,-5,1,0,-1,-2
20:06:14:490417,-3,-2,-1,-2,0,1,-1,0
20:06:14:498698,-3,-2,-1,-2,0,1,-1,0
20:06:14:499419,2,-2,-1,-3,2,3,3,2
20:06:14:530113,2,-3,-2,0,-1,0,0,2
20:06:14:530848,2,-3,-2,0,-1,0,0,2
20:06:14:531582,1,-1,0,-1,-3,-1,0,-2
20:06:14:532446,2,-2,-2,-3,0,-1,1,0
20:06:14:535543,2,-2,-2,-3,0,-1,1,0
20:06:14:543057,0,-2,1,0,-1,-3,-3,-2
20:06:14:559313,-2,0,-1,1,0,-2,0,0
20:06:14:560170,-2,0,-1,1,0,-2,0,0
20:06:14:560979,-4,-1,-2,6,-1,0,-2,-3
20:06:14:573670,0,1,-1,-4,0,0,-2,-1
20:06:14:574408,0,1,-1,-4,0,0,-2,-1
20:06:14:580416,-2,-1,-1,-4,-3,-3,-4,-1
20:06:14:596238,0,-3,-2,-3,-1,1,1,0
20:06:14:597072,0,-3,-2,-3,-1,1,1,0
20:06:14:602930,1,-1,-2,-3,0,3,2,1
20:06:14:610440,0,-1,-2,-5,0,1,1,-1
20:06:14:618669,0,-1,-2,-5,0,1,1,-1
20:06:14:619453,0,1,1,6,5,-3,-2,-1
20:06:14:634192,0,2,1,2,-3,-3,0,0
20:06:14:634938,0,2,1,2,-3,-3,0,0
20:06:14:640442,1,1,2,5,-6,-1,-2,-1
20:06:14:647948,1,0,0,9,0,-2,0,-2
20:06:14:655590,1,0,0,9,0,-2,0,-2
20:06:14:671109,-1,20,18,2,1,-1,0,-1
20:06:14:671976,-1,27,8,12,5,1,-2,0
20:06:14:678742,-1,27,8,12,5,1,-2,0
20:06:14:679454,3,25,-1,6,-4,3,3,1
20:06:14:693692,-3,-3,-17,-6,-4,-1,-2,1
20:06:14:694445,-3,-3,-17,-6,-4,-1,-2,1
20:06:14:708686,2,-3,-11,-8,0,0,1,0
20:06:14:709462,2,-23,-9,-23,-9,-2,0,-1
20:06:14:715462,2,-23,-9,-23,-9,-2,0,-1
20:06:14:722981,1,-1,-1,-15,-5,-3,-1,-1
20:06:14:730456,-3,-13,10,-4,4,-4,-2,-2
20:06:14:746199,-3,-13,10,-4,4,-4,-2,-2
20:06:14:746937,-1,-18,-4,-3,-6,-2,-3,-2
20:06:14:753703,1,2,-1,6,1,4,1,2
20:06:14:754422,1,2,-1,6,1,4,1,2
20:06:14:760454,-5,-16,-16,1,7,-2,-6,-3
20:06:14:767930,0,-4,-15,-3,-6,-2,-1,-1
20:06:14:775573,0,-4,-15,-3,-6,-2,-1,-1
20:06:14:782930,-4,-9,4,-3,3,-1,0,-1
20:06:14:790434,0,3,7,-3,-1,-2,-4,-3
20:06:14:798677,0,3,7,-3,-1,-2,-4,-3
20:06:14:799432,-5,-2,-5,13,3,-3,-3,-6
20:06:14:813702,-6,1,5,17,14,-5,-3,-2
20:06:14:814425,-6,1,5,17,14,-5,-3,-2
20:06:14:828576,0,-1,1,0,3,-1,2,1
