Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
16:17:20:32649,10473,-2304,-8292,9202,1019,-1554,917,-20,20,26
16:17:20:40152,10473,-2304,-8292,9202,1019,-1554,917,-20,20,26
16:17:20:48396,10470,-2311,-8291,9204,1005,-1551,908,-7,20,37
16:17:20:49137,10470,-2311,-8291,9204,1005,-1551,908,-7,20,37
16:17:20:71390,10470,-2311,-8291,9204,1005,-1551,908,-7,20,37
16:17:20:72248,10468,-2317,-8288,9208,995,-1551,925,-8,16,37
16:17:20:73181,10468,-2317,-8288,9208,995,-1551,925,-8,16,37
16:17:20:77509,10468,-2317,-8288,9208,995,-1551,925,-8,16,37
16:17:20:85150,10464,-2323,-8287,9212,993,-1580,926,1,7,30
16:17:20:92617,10464,-2323,-8287,9212,993,-1580,926,1,7,30
16:17:20:100149,10464,-2323,-8287,9212,993,-1580,926,1,7,30
16:17:20:108401,10462,-2325,-8283,9217,993,-1566,940,11,4,23
16:17:20:109130,10462,-2325,-8283,9217,993,-1566,940,11,4,23
16:17:20:123391,10462,-2325,-8283,9217,993,-1566,940,11,4,23
16:17:20:124002,10462,-2326,-8283,9217,979,-1565,936,6,-2,15
16:17:20:130133,10462,-2326,-8283,9217,979,-1565,936,6,-2,15
16:17:20:137636,10462,-2326,-8283,9217,979,-1565,936,6,-2,15
16:17:20:145127,10462,-2326,-8283,9218,983,-1559,928,-6,-6,2
16:17:20:152626,10462,-2326,-8283,9218,983,-1559,928,-6,-6,2
16:17:20:160165,10462,-2326,-8283,9218,983,-1559,928,-6,-6,2
16:17:20:168390,10462,-2327,-8282,9218,982,-1557,941,-10,-2,-7
16:17:20:169127,10462,-2327,-8282,9218,982,-1557,941,-10,-2,-7
16:17:20:183436,10462,-2327,-8282,9218,982,-1557,941,-10,-2,-7
16:17:20:184133,10461,-2330,-8284,9217,990,-1552,928,-21,-1,-1
16:17:20:190197,10461,-2330,-8284,9217,990,-1552,928,-21,-1,-1
16:17:20:197650,10461,-2330,-8284,9217,990,-1552,928,-21,-1,-1
16:17:20:205127,10459,-2335,-8287,9214,984,-1554,916,-36,-2,3
16:17:20:212646,10459,-2335,-8287,9214,984,-1554,916,-36,-2,3
16:17:20:220156,10459,-2335,-8287,9214,984,-1554,916,-36,-2,3
16:17:20:228282,10457,-2339,-8291,9211,995,-1560,915,-33,-6,-3
16:17:20:229119,10457,-2339,-8291,9211,995,-1560,915,-33,-6,-3
16:17:20:243260,10457,-2339,-8291,9211,995,-1560,915,-33,-6,-3
16:17:20:244133,10457,-2340,-8291,9211,1005,-1561,927,-16,-3,3
16:17:20:250119,10457,-2340,-8291,9211,1005,-1561,927,-16,-3,3
16:17:20:265796,10457,-2340,-8291,9211,1005,-1561,927,-16,-3,3
16:17:20:266647,10457,-2339,-8291,9211,1011,-1553,927,-8,6,9
16:17:20:272650,10457,-2339,-8291,9211,1011,-1553,927,-8,6,9
16:17:20:280153,10457,-2339,-8291,9211,1011,-1553,927,-8,6,9
16:17:20:288266,10457,-2340,-8292,9211,1004,-1563,904,-1,10,10
16:17:20:289126,10457,-2340,-8292,9211,1004,-1563,904,-1,10,10
16:17:20:303393,10457,-2340,-8292,9211,1004,-1563,904,-1,10,10
16:17:20:304145,10457,-2340,-8292,9211,999,-1559,926,7,14,13
16:17:20:310142,10457,-2340,-8292,9211,999,-1559,926,7,14,13
16:17:20:317639,10457,-2340,-8292,9211,999,-1559,926,7,14,13
16:17:20:325137,10457,-2340,-8292,9211,990,-1565,922,11,11,12
16:17:20:332676,10457,-2340,-8292,9211,990,-1565,922,11,11,12
16:17:20:340135,10457,-2340,-8292,9211,990,-1565,922,11,11,12
16:17:20:348307,10457,-2341,-8289,9214,993,-1561,922,16,8,7
16:17:20:349140,10457,-2341,-8289,9214,993,-1561,922,16,8,7
16:17:20:362639,10457,-2341,-8289,9214,993,-1561,922,16,8,7
16:17:20:370764,10458,-2340,-8285,9217,993,-1551,926,21,10,4
16:17:20:371643,10458,-2340,-8285,9217,993,-1551,926,21,10,4
16:17:20:377639,10458,-2340,-8285,9217,993,-1551,926,21,10,4
16:17:20:385147,10458,-2340,-8285,9217,1001,-1547,927,15,11,5
16:17:20:392514,10458,-2340,-8285,9217,1001,-1547,927,15,11,5
16:17:20:400064,10458,-2340,-8285,9217,1001,-1547,927,15,11,5
16:17:20:415804,10458,-2340,-8285,9217,994,-1559,927,2,12,7
16:17:20:416747,10458,-2340,-8285,9217,994,-1559,927,2,12,7
16:17:20:423247,10458,-2340,-8285,9217,994,-1559,927,2,12,7
16:17:20:424115,10458,-2340,-8285,9217,994,-1551,916,-4,11,11
16:17:20:430083,10458,-2340,-8285,9217,994,-1551,916,-4,11,11
16:17:20:437539,10458,-2340,-8285,9217,994,-1551,916,-4,11,11
16:17:20:445143,10458,-2341,-8285,9217,984,-1564,938,-2,9,13
16:17:20:452658,10458,-2341,-8285,9217,984,-1564,938,-2,9,13
16:17:20:460030,10458,-2341,-8285,9217,984,-1564,938,-2,9,13
16:17:20:475769,10457,-2341,-8285,9217,990,-1571,917,4,9,12
16:17:20:476656,10457,-2341,-8285,9217,990,-1571,917,4,9,12
16:17:20:482541,10457,-2341,-8285,9217,990,-1571,917,4,9,12
16:17:20:490760,10457,-2342,-8285,9217,991,-1566,909,9,10,8
16:17:20:491653,10457,-2342,-8285,9217,991,-1566,909,9,10,8
16:17:20:497563,10457,-2342,-8285,9217,991,-1566,909,9,10,8
16:17:20:505142,10457,-2342,-8285,9217,986,-1571,922,10,8,5
16:17:20:512640,10457,-2342,-8285,9217,986,-1571,922,10,8,5
16:17:20:528906,10457,-2342,-8285,9217,986,-1571,922,10,8,5
16:17:20:529788,10457,-2342,-8285,9217,989,-1574,924,6,7,10
16:17:20:530640,10457,-2342,-8285,9217,989,-1574,924,6,7,10
16:17:20:543264,10457,-2342,-8285,9217,989,-1574,924,6,7,10
16:17:20:544169,10456,-2343,-8285,9218,985,-1571,923,-1,4,5
16:17:20:550063,10456,-2343,-8285,9218,985,-1571,923,-1,4,5
16:17:20:557521,10456,-2343,-8285,9218,985,-1571,923,-1,4,5
16:17:20:565137,10456,-2343,-8285,9218,985,-1571,933,13,0,2
16:17:20:572645,10456,-2343,-8285,9218,985,-1571,933,13,0,2
16:17:20:580127,10456,-2343,-8285,9218,985,-1571,933,13,0,2
16:17:20:588374,10456,-2341,-8281,9221,985,-1555,928,29,-1,2
16:17:20:589121,10456,-2341,-8281,9221,985,-1555,928,29,-1,2
16:17:20:602525,10456,-2341,-8281,9221,985,-1555,928,29,-1,2
16:17:20:610791,10457,-2340,-8278,9224,985,-1550,924,21,3,4
16:17:20:611644,10457,-2340,-8278,9224,985,-1550,924,21,3,4
16:17:20:625789,10457,-2340,-8278,9224,985,-1550,924,21,3,4
16:17:20:626643,10456,-2341,-8278,9224,997,-1556,925,13,7,1
16:17:20:632586,10456,-2341,-8278,9224,997,-1556,925,13,7,1
16:17:20:640030,10456,-2341,-8278,9224,997,-1556,925,13,7,1
16:17:20:648401,10456,-2341,-8278,9224,989,-1547,922,7,8,8
16:17:20:649143,10456,-2341,-8278,9224,989,-1547,922,7,8,8
16:17:20:662549,10456,-2341,-8278,9224,989,-1547,922,7,8,8
16:17:20:670772,10456,-2341,-8277,9225,978,-1556,936,-2,8,5
16:17:20:671630,10456,-2341,-8277,9225,978,-1556,936,-2,8,5
16:17:20:677543,10456,-2341,-8277,9225,978,-1556,936,-2,8,5
16:17:20:693298,10456,-2341,-8277,9225,986,-1559,929,5,5,2
16:17:20:694158,10456,-2341,-8277,9225,986,-1559,929,5,5,2
16:17:20:700031,10456,-2341,-8277,9225,986,-1559,929,5,5,2
16:17:20:708394,10456,-2342,-8277,9225,990,-1572,923,15,3,2
