Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
16:31:56:32039,12213,-3471,-6725,7874,838,-1486,1179,10,6,-4
16:31:56:32763,12213,-3472,-6724,7874,839,-1491,1201,10,7,-5
16:31:56:38812,12213,-3472,-6724,7874,839,-1491,1201,10,7,-5
16:31:56:54587,12213,-3472,-6724,7874,839,-1491,1201,10,7,-5
16:31:56:55413,12213,-3472,-6724,7874,844,-1476,1193,3,7,-3
16:31:56:61289,12213,-3472,-6724,7874,844,-1476,1193,3,7,-3
16:31:56:68781,12213,-3472,-6724,7874,844,-1476,1193,3,7,-3
16:31:56:76278,12213,-3472,-6724,7874,839,-1471,1197,3,6,2
16:31:56:83797,12213,-3472,-6724,7874,839,-1471,1197,3,6,2
16:31:56:92043,12213,-3472,-6724,7874,839,-1471,1197,3,6,2
16:31:56:92785,12213,-3472,-6724,7874,842,-1479,1189,-6,7,0
16:31:56:98767,12213,-3472,-6724,7874,842,-1479,1189,-6,7,0
16:31:56:114531,12213,-3472,-6724,7874,842,-1479,1189,-6,7,0
16:31:56:115294,12213,-3472,-6724,7874,846,-1497,1203,-6,3,0
16:31:56:121320,12213,-3472,-6724,7874,846,-1497,1203,-6,3,0
16:31:56:128781,12213,-3472,-6724,7874,846,-1497,1203,-6,3,0
16:31:56:136461,12213,-3472,-6724,7874,842,-1487,1208,2,4,2
16:31:56:143776,12213,-3472,-6724,7874,842,-1487,1208,2,4,2
16:31:56:152042,12213,-3472,-6724,7874,842,-1487,1208,2,4,2
16:31:56:152786,12213,-3472,-6724,7874,836,-1487,1196,5,3,3
16:31:56:158763,12213,-3472,-6724,7874,836,-1487,1196,5,3,3
16:31:56:174533,12213,-3472,-6724,7874,836,-1487,1196,5,3,3
16:31:56:175279,12213,-3473,-6723,7875,830,-1490,1199,4,5,-1
16:31:56:197660,12213,-3473,-6723,7875,830,-1490,1199,4,5,-1
16:31:56:198532,12213,-3473,-6723,7875,830,-1490,1199,4,5,-1
16:31:56:199284,12213,-3473,-6723,7875,838,-1482,1192,8,4,-3
16:31:56:203794,12213,-3473,-6723,7875,838,-1482,1192,8,4,-3
16:31:56:212013,12213,-3473,-6723,7875,838,-1482,1192,8,4,-3
16:31:56:212755,12213,-3473,-6723,7875,848,-1473,1196,3,2,-3
16:31:56:218786,12213,-3473,-6723,7875,848,-1473,1196,3,2,-3
16:31:56:234546,12213,-3473,-6723,7875,848,-1473,1196,3,2,-3
16:31:56:235416,12213,-3473,-6723,7875,853,-1484,1195,-2,2,-3
16:31:56:241282,12213,-3473,-6723,7875,853,-1484,1195,-2,2,-3
16:31:56:248785,12213,-3473,-6723,7875,853,-1484,1195,-2,2,-3
16:31:56:256323,12213,-3473,-6723,7875,846,-1480,1191,1,6,0
16:31:56:263778,12213,-3473,-6723,7875,846,-1480,1191,1,6,0
16:31:56:272085,12213,-3473,-6723,7875,846,-1480,1191,1,6,0
16:31:56:272812,12213,-3473,-6723,7875,850,-1476,1185,1,8,3
16:31:56:278787,12213,-3473,-6723,7875,850,-1476,1185,1,8,3
16:31:56:294560,12213,-3473,-6723,7875,850,-1476,1185,1,8,3
16:31:56:295288,12213,-3473,-6723,7875,847,-1476,1191,-5,6,5
16:31:56:301324,12213,-3473,-6723,7875,847,-1476,1191,-5,6,5
16:31:56:308789,12213,-3473,-6723,7875,847,-1476,1191,-5,6,5
16:31:56:316295,12213,-3473,-6723,7875,837,-1487,1207,-4,5,4
16:31:56:323798,12213,-3473,-6723,7875,837,-1487,1207,-4,5,4
16:31:56:332044,12213,-3473,-6723,7875,837,-1487,1207,-4,5,4
16:31:56:332795,12213,-3473,-6723,7875,830,-1481,1194,-2,6,4
16:31:56:338821,12213,-3473,-6723,7875,830,-1481,1194,-2,6,4
16:31:56:354576,12213,-3473,-6723,7875,830,-1481,1194,-2,6,4
16:31:56:355285,12213,-3473,-6722,7875,835,-1490,1200,-4,3,1
16:31:56:361284,12213,-3473,-6722,7875,835,-1490,1200,-4,3,1
16:31:56:368803,12213,-3473,-6722,7875,835,-1490,1200,-4,3,1
16:31:56:376417,12213,-3474,-6722,7875,836,-1486,1195,1,4,0
16:31:56:383789,12213,-3474,-6722,7875,836,-1486,1195,1,4,0
16:31:56:392040,12213,-3474,-6722,7875,836,-1486,1195,1,4,0
16:31:56:392778,12213,-3474,-6722,7876,836,-1486,1197,-1,6,3
16:31:56:398792,12213,-3474,-6722,7876,836,-1486,1197,-1,6,3
16:31:56:414556,12213,-3474,-6722,7876,836,-1486,1197,-1,6,3
16:31:56:415317,12213,-3474,-6722,7876,834,-1488,1196,-7,3,4
16:31:56:421321,12213,-3474,-6722,7876,834,-1488,1196,-7,3,4
16:31:56:437036,12213,-3474,-6722,7876,834,-1488,1196,-7,3,4
16:31:56:437783,12212,-3474,-6722,7876,840,-1478,1178,-6,7,4
16:31:56:443782,12212,-3474,-6722,7876,840,-1478,1178,-6,7,4
16:31:56:452043,12212,-3474,-6722,7876,840,-1478,1178,-6,7,4
16:31:56:452792,12212,-3475,-6722,7876,841,-1489,1188,-6,5,5
16:31:56:475652,12212,-3475,-6722,7876,841,-1489,1188,-6,5,5
16:31:56:476409,12212,-3475,-6722,7876,841,-1489,1188,-6,5,5
16:31:56:477274,12212,-3475,-6722,7876,839,-1484,1185,-1,6,2
16:31:56:481274,12212,-3475,-6722,7876,839,-1484,1185,-1,6,2
16:31:56:497460,12212,-3475,-6722,7876,839,-1484,1185,-1,6,2
16:31:56:504553,12212,-3475,-6722,7876,831,-1479,1190,-6,4,2
16:31:56:505373,12212,-3475,-6722,7876,831,-1479,1190,-6,4,2
16:31:56:511952,12212,-3475,-6722,7876,831,-1479,1190,-6,4,2
16:31:56:512783,12212,-3476,-6721,7876,829,-1491,1191,-8,5,0
16:31:56:526302,12212,-3476,-6721,7876,829,-1491,1191,-8,5,0
16:31:56:534542,12212,-3476,-6721,7876,829,-1491,1191,-8,5,0
16:31:56:535302,12212,-3476,-6721,7876,840,-1494,1191,-11,1,0
16:31:56:541312,12212,-3476,-6721,7876,840,-1494,1191,-11,1,0
16:31:56:557066,12212,-3476,-6721,7876,840,-1494,1191,-11,1,0
16:31:56:557800,12212,-3476,-6721,7877,834,-1491,1206,0,-2,0
16:31:56:571982,12212,-3476,-6721,7877,834,-1491,1206,0,-2,0
16:31:56:572799,12212,-3476,-6721,7877,834,-1491,1206,0,-2,0
16:31:56:578927,12212,-3476,-6721,7877,840,-1486,1192,3,0,-2
16:31:56:586346,12212,-3476,-6721,7877,840,-1486,1192,3,0,-2
16:31:56:594546,12212,-3476,-6721,7877,840,-1486,1192,3,0,-2
16:31:56:595298,12212,-3476,-6721,7877,843,-1486,1204,3,-3,-2
16:31:56:601320,12212,-3476,-6721,7877,843,-1486,1204,3,-3,-2
16:31:56:617035,12212,-3476,-6721,7877,843,-1486,1204,3,-3,-2
16:31:56:617778,12212,-3477,-6721,7877,834,-1485,1205,5,-2,-4
16:31:56:623808,12212,-3477,-6721,7877,834,-1485,1205,5,-2,-4
16:31:56:632028,12212,-3477,-6721,7877,834,-1485,1205,5,-2,-4
16:31:56:632759,12212,-3477,-6720,7877,836,-1481,1199,4,-3,-5
16:31:56:646828,12212,-3477,-6720,7877,836,-1481,1199,4,-3,-5
16:31:56:654627,12212,-3477,-6720,7877,836,-1481,1199,4,-3,-5
16:31:56:655302,12212,-3477,-6720,7877,845,-1480,1201,0,-5,-5
16:31:56:661298,12212,-3477,-6720,7877,845,-1480,1201,0,-5,-5
16:31:56:677046,12212,-3477,-6720,7877,845,-1480,1201,0,-5,-5
16:31:56:677780,12212,-3477,-6720,7877,842,-1498,1192,-3,-5,-5
16:31:56:683776,12212,-3477,-6720,7877,842,-1498,1192,-3,-5,-5
16:31:56:692041,12212,-3477,-6720,7877,842,-1498,1192,-3,-5,-5
16:31:56:692794,12211,-3477,-6720,7877,833,-1495,1190,1,-6,-6
16:31:56:706373,12211,-3477,-6720,7877,833,-1495,1190,1,-6,-6
16:31:56:714542,12211,-3477,-6720,7877,833,-1495,1190,1,-6,-6
16:31:56:715269,12211,-3478,-6720,7877,841,-1488,1190,9,-6,-8
16:31:56:721373,12211,-3478,-6720,7877,841,-1488,1190,9,-6,-8
16:31:56:737089,12211,-3478,-6720,7877,841,-1488,1190,9,-6,-8
16:31:56:737824,12211,-3478,-6720,7878,836,-1489,1194,10,-6,-11
16:31:56:752664,12211,-3478,-6720,7878,836,-1489,1194,10,-6,-11
16:31:56:753418,12211,-3478,-6720,7878,836,-1489,1194,10,-6,-11
16:31:56:754299,12211,-3478,-6720,7878,837,-1477,1198,8,-6,-13
16:31:56:766290,12211,-3478,-6720,7878,837,-1477,1198,8,-6,-13
16:31:56:774540,12211,-3478,-6720,7878,837,-1477,1198,8,-6,-13
16:31:56:775287,12211,-3478,-6719,7878,830,-1482,1206,1,-9,-9
16:31:56:781288,12211,-3478,-6719,7878,830,-1482,1206,1,-9,-9
16:31:56:797051,12211,-3478,-6719,7878,830,-1482,1206,1,-9,-9
16:31:56:797910,12211,-3478,-6719,7878,831,-1472,1187,2,-9,-3
16:31:56:803771,12211,-3478,-6719,7878,831,-1472,1187,2,-9,-3
16:31:56:819587,12211,-3478,-6719,7878,837,-1487,1206,-9,-13,-2
16:31:56:820418,12211,-3478,-6719,7878,837,-1487,1206,-9,-13,-2
16:31:56:826305,12211,-3478,-6719,7878,837,-1487,1206,-9,-13,-2
16:31:56:834551,12211,-3479,-6719,7878,840,-1495,1197,-9,-14,-7
16:31:56:835428,12211,-3479,-6719,7878,840,-1495,1197,-9,-14,-7
16:31:56:841332,12211,-3479,-6719,7878,840,-1495,1197,-9,-14,-7
16:31:56:857059,12211,-3479,-6719,7878,832,-1492,1186,6,-13,-10
16:31:56:857813,12211,-3479,-6719,7878,832,-1492,1186,6,-13,-10
16:31:56:863768,12211,-3479,-6719,7878,832,-1492,1186,6,-13,-10
16:31:56:880041,12211,-3479,-6719,7878,846,-1491,1193,7,-13,-8
16:31:56:880776,12211,-3479,-6719,7878,846,-1491,1193,7,-13,-8
16:31:56:886342,12211,-3479,-6719,7878,846,-1491,1193,7,-13,-8
16:31:56:894554,12211,-3480,-6719,7879,836,-1487,1189,6,-15,-10
16:31:56:895279,12211,-3480,-6719,7879,836,-1487,1189,6,-15,-10
16:31:56:901309,12211,-3480,-6719,7879,836,-1487,1189,6,-15,-10
16:31:56:925169,12211,-3479,-6719,7879,848,-1478,1193,4,-15,-11
16:31:56:926018,12211,-3479,-6719,7879,848,-1478,1193,4,-15,-11
16:31:56:926765,12211,-3479,-6719,7879,848,-1478,1193,4,-15,-11
16:31:56:939591,12211,-3479,-6719,7878,851,-1479,1183,3,-15,-11
16:31:56:940280,12211,-3479,-6719,7878,851,-1479,1183,3,-15,-11
16:31:56:946284,12211,-3479,-6719,7878,851,-1479,1183,3,-15,-11
16:31:56:954593,12211,-3479,-6719,7878,860,-1478,1176,1,-14,-13
16:31:56:955286,12211,-3479,-6719,7878,860,-1478,1176,1,-14,-13
16:31:56:961334,12211,-3479,-6719,7878,860,-1478,1176,1,-14,-13
16:31:56:977058,12211,-3479,-6719,7878,857,-1468,1189,1,-12,-11
16:31:56:977816,12211,-3479,-6719,7878,857,-1468,1189,1,-12,-11
16:31:56:983798,12211,-3479,-6719,7878,857,-1468,1189,1,-12,-11
16:31:56:999575,12211,-3479,-6720,7878,846,-1480,1183,0,-10,-9
16:31:57:305,12211,-3479,-6720,7878,846,-1480,1183,0,-10,-9
16:31:57:6333,12211,-3479,-6720,7878,846,-1480,1183,0,-10,-9
16:31:57:14529,12211,-3479,-6720,7878,855,-1488,1180,4,-9,-10
16:31:57:15290,12211,-3479,-6720,7878,855,-1488,1180,4,-9,-10
16:31:57:28806,12211,-3479,-6720,7878,855,-1488,1180,4,-9,-10
16:31:57:37044,12211,-3479,-6720,7878,852,-1481,1193,10,-11,-13
16:31:57:37796,12211,-3479,-6720,7878,852,-1481,1193,10,-11,-13
16:31:57:43800,12211,-3479,-6720,7878,852,-1481,1193,10,-11,-13
16:31:57:59562,12211,-3479,-6720,7878,850,-1484,1189,5,-10,-12
16:31:57:60429,12211,-3479,-6720,7878,850,-1484,1189,5,-10,-12
16:31:57:66281,12211,-3479,-6720,7878,850,-1484,1189,5,-10,-12
16:31:57:74559,12211,-3479,-6720,7878,841,-1484,1199,3,-12,-13
16:31:57:75288,12211,-3479,-6720,7878,841,-1484,1199,3,-12,-13
16:31:57:81310,12211,-3479,-6720,7878,841,-1484,1199,3,-12,-13
16:31:57:97027,12211,-3479,-6720,7878,858,-1485,1186,5,-12,-12
16:31:57:97774,12211,-3479,-6720,7878,858,-1485,1186,5,-12,-12
16:31:57:103802,12211,-3479,-6720,7878,858,-1485,1186,5,-12,-12
16:31:57:119563,12210,-3479,-6720,7878,848,-1484,1185,7,-12,-13
16:31:57:120298,12210,-3479,-6720,7878,848,-1484,1185,7,-12,-13
16:31:57:126313,12210,-3479,-6720,7878,848,-1484,1185,7,-12,-13
16:31:57:134561,12210,-3479,-6721,7878,849,-1478,1178,7,-13,-11
16:31:57:135300,12210,-3479,-6721,7878,849,-1478,1178,7,-13,-11
16:31:57:141285,12210,-3479,-6721,7878,849,-1478,1178,7,-13,-11
16:31:57:157046,12210,-3479,-6721,7878,847,-1473,1191,3,-11,-10
16:31:57:157804,12210,-3479,-6721,7878,847,-1473,1191,3,-11,-10
16:31:57:163788,12210,-3479,-6721,7878,847,-1473,1191,3,-11,-10
16:31:57:179533,12210,-3479,-6721,7878,853,-1477,1184,2,-12,-13
16:31:57:180280,12210,-3479,-6721,7878,853,-1477,1184,2,-12,-13
16:31:57:186285,12210,-3479,-6721,7878,853,-1477,1184,2,-12,-13
16:31:57:194920,12210,-3479,-6721,7877,854,-1481,1194,-1,-11,-11
16:31:57:202080,12210,-3479,-6721,7877,854,-1481,1194,-1,-11,-11
16:31:57:202838,12210,-3479,-6721,7877,854,-1481,1194,-1,-11,-11
16:31:57:217049,12210,-3479,-6721,7877,859,-1480,1191,-2,-9,-12
16:31:57:217799,12210,-3479,-6721,7877,859,-1480,1191,-2,-9,-12
16:31:57:223782,12210,-3479,-6721,7877,859,-1480,1191,-2,-9,-12
16:31:57:239569,12210,-3479,-6721,7877,853,-1490,1187,-6,-8,-10
16:31:57:240292,12210,-3479,-6721,7877,853,-1490,1187,-6,-8,-10
16:31:57:246275,12210,-3479,-6721,7877,853,-1490,1187,-6,-8,-10
16:31:57:254536,12209,-3483,-6726,7874,860,-1483,1177,-33,-2,-4
16:31:57:255278,12209,-3483,-6726,7874,860,-1483,1177,-33,-2,-4
16:31:57:261313,12209,-3483,-6726,7874,860,-1483,1177,-33,-2,-4
16:31:57:277059,12207,-3486,-6733,7869,880,-1467,1161,-40,-5,0
16:31:57:277823,12207,-3486,-6733,7869,880,-1467,1161,-40,-5,0
16:31:57:283809,12207,-3486,-6733,7869,880,-1467,1161,-40,-5,0
16:31:57:308195,12201,-3494,-6752,7860,908,-1397,1195,-143,-44,17
16:31:57:308919,12201,-3494,-6752,7860,908,-1397,1195,-143,-44,17
16:31:57:309805,12201,-3494,-6752,7860,908,-1397,1195,-143,-44,17
16:31:57:314564,12188,-3520,-6780,7843,949,-1408,1226,-279,-37,45
16:31:57:315315,12188,-3520,-6780,7843,949,-1408,1226,-279,-37,45
16:31:57:321303,12188,-3520,-6780,7843,949,-1408,1226,-279,-37,45
16:31:57:337050,12165,-3570,-6809,7832,1026,-1559,1217,-344,13,154
16:31:57:337810,12165,-3570,-6809,7832,1026,-1559,1217,-344,13,154
16:31:57:343795,12165,-3570,-6809,7832,1026,-1559,1217,-344,13,154
16:31:57:359923,12140,-3610,-6824,7838,1073,-1489,1165,-236,47,261
16:31:57:367041,12140,-3610,-6824,7838,1073,-1489,1165,-236,47,261
16:31:57:367831,12140,-3610,-6824,7838,1073,-1489,1165,-236,47,261
16:31:57:374552,12135,-3637,-6804,7851,1125,-1323,1266,-137,191,309
16:31:57:375280,12135,-3637,-6804,7851,1125,-1323,1266,-137,191,309
16:31:57:388794,12135,-3637,-6804,7851,1125,-1323,1266,-137,191,309
16:31:57:397034,12127,-3736,-6770,7846,1155,-1286,1318,-478,461,464
16:31:57:397769,12127,-3736,-6770,7846,1155,-1286,1318,-478,461,464
16:31:57:403824,12127,-3736,-6770,7846,1155,-1286,1318,-478,461,464
16:31:57:419572,12110,-3907,-6738,7817,1025,-1489,1306,-803,626,469
16:31:57:420295,12110,-3907,-6738,7817,1025,-1489,1306,-803,626,469
16:31:57:426287,12110,-3907,-6738,7817,1025,-1489,1306,-803,626,469
16:31:57:434540,12099,-4140,-6694,7752,1045,-1600,1345,-1094,906,477
16:31:57:435317,12099,-4140,-6694,7752,1045,-1600,1345,-1094,906,477
16:31:57:448782,12099,-4140,-6694,7752,1045,-1600,1345,-1094,906,477
16:31:57:457036,12080,-4419,-6643,7671,914,-1616,1274,-1306,1044,508
16:31:57:457786,12080,-4419,-6643,7671,914,-1616,1274,-1306,1044,508
16:31:57:463802,12080,-4419,-6643,7671,914,-1616,1274,-1306,1044,508
16:31:57:480068,12051,-4720,-6565,7604,782,-1901,1305,-1275,1135,605
16:31:57:480880,12051,-4720,-6565,7604,782,-1901,1305,-1275,1135,605
16:31:57:486302,12051,-4720,-6565,7604,782,-1901,1305,-1275,1135,605
16:31:57:494561,12004,-5020,-6446,7588,601,-2199,1198,-965,1161,836
16:31:57:495278,12004,-5020,-6446,7588,601,-2199,1198,-965,1161,836
16:31:57:508807,12004,-5020,-6446,7588,601,-2199,1198,-965,1161,836
16:31:57:517032,11957,-5294,-6267,7625,515,-2152,1106,-572,1262,1109
16:31:57:517818,11957,-5294,-6267,7625,515,-2152,1106,-572,1262,1109
16:31:57:523811,11957,-5294,-6267,7625,515,-2152,1106,-572,1262,1109
16:31:57:547679,11934,-5538,-6019,7688,293,-2074,1163,-223,1427,1173
16:31:57:548417,11934,-5538,-6019,7688,293,-2074,1163,-223,1427,1173
16:31:57:549299,11934,-5538,-6019,7688,293,-2074,1163,-223,1427,1173
16:31:57:554559,11905,-5797,-5718,7771,72,-2004,1162,-131,1599,1361
16:31:57:555286,11905,-5797,-5718,7771,72,-2004,1162,-131,1599,1361
16:31:57:568829,11905,-5797,-5718,7771,72,-2004,1162,-131,1599,1361
16:31:57:577045,11850,-6082,-5418,7853,-221,-1825,1007,-282,1577,1402
16:31:57:577789,11850,-6082,-5418,7853,-221,-1825,1007,-282,1577,1402
16:31:57:583797,11850,-6082,-5418,7853,-221,-1825,1007,-282,1577,1402
