Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
16:37:12:56065,13445,-7170,-4032,4473,375,-1812,996,-413,-8,13
16:37:12:63399,13445,-7170,-4032,4473,375,-1812,996,-413,-8,13
16:37:12:71557,13445,-7170,-4032,4473,375,-1812,996,-413,-8,13
16:37:12:72393,13382,-7262,-4082,4466,314,-2029,836,-518,-151,31
16:37:12:78385,13382,-7262,-4082,4466,314,-2029,836,-518,-151,31
16:37:12:94148,13382,-7262,-4082,4466,314,-2029,836,-518,-151,31
16:37:12:95018,13343,-7291,-4130,4492,290,-1765,705,-142,-283,72
16:37:12:100893,13343,-7291,-4130,4492,290,-1765,705,-142,-283,72
16:37:12:108382,13343,-7291,-4130,4492,290,-1765,705,-142,-283,72
16:37:12:116032,13339,-7246,-4160,4548,330,-1602,837,251,-342,137
16:37:12:123404,13339,-7246,-4160,4548,330,-1602,837,251,-342,137
16:37:12:131523,13339,-7246,-4160,4548,330,-1602,837,251,-342,137
16:37:12:132379,13346,-7202,-4166,4593,388,-1665,939,273,-182,139
16:37:12:145897,13346,-7202,-4166,4593,388,-1665,939,273,-182,139
16:37:12:154016,13346,-7202,-4166,4593,388,-1665,939,273,-182,139
16:37:12:154884,13332,-7228,-4165,4593,379,-1597,1036,-216,34,97
16:37:12:161001,13332,-7228,-4165,4593,379,-1597,1036,-216,34,97
16:37:12:168383,13332,-7228,-4165,4593,379,-1597,1036,-216,34,97
16:37:12:176012,13292,-7308,-4166,4583,299,-1798,1109,-541,63,113
16:37:12:183415,13292,-7308,-4166,4583,299,-1798,1109,-541,63,113
16:37:12:191646,13292,-7308,-4166,4583,299,-1798,1109,-541,63,113
16:37:12:192404,13266,-7353,-4159,4591,317,-1852,1154,-325,28,145
16:37:12:198405,13266,-7353,-4159,4591,317,-1852,1154,-325,28,145
16:37:12:214022,13266,-7353,-4159,4591,317,-1852,1154,-325,28,145
16:37:12:214892,13267,-7360,-4136,4597,414,-1747,1084,-53,112,137
16:37:12:220918,13267,-7360,-4136,4597,414,-1747,1084,-53,112,137
16:37:12:228400,13267,-7360,-4136,4597,414,-1747,1084,-53,112,137
16:37:12:236019,13275,-7372,-4098,4591,366,-1738,1158,-88,215,103
16:37:12:243383,13275,-7372,-4098,4591,366,-1738,1158,-88,215,103
16:37:12:251666,13275,-7372,-4098,4591,366,-1738,1158,-88,215,103
16:37:12:252393,13272,-7416,-4061,4561,317,-1808,1147,-275,295,28
16:37:12:258387,13272,-7416,-4061,4561,317,-1808,1147,-275,295,28
16:37:12:274173,13272,-7416,-4061,4561,317,-1808,1147,-275,295,28
16:37:12:275024,13255,-7478,-4037,4529,329,-1994,1044,-328,259,25
16:37:12:280899,13255,-7478,-4037,4529,329,-1994,1044,-328,259,25
16:37:12:288416,13255,-7478,-4037,4529,329,-1994,1044,-328,259,25
16:37:12:296016,13253,-7508,-4009,4511,292,-2020,993,-95,216,17
16:37:12:303391,13253,-7508,-4009,4511,292,-2020,993,-95,216,17
16:37:12:311792,13253,-7508,-4009,4511,292,-2020,993,-95,216,17
16:37:12:312397,13267,-7510,-3971,4501,239,-2032,1032,95,197,-9
16:37:12:318402,13267,-7510,-3971,4501,239,-2032,1032,95,197,-9
16:37:12:334230,13267,-7510,-3971,4501,239,-2032,1032,95,197,-9
16:37:12:335008,13306,-7466,-3935,4489,272,-1885,1052,320,174,-101
