Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:20:44:989962,0,-1,2,-1,-1,-1,-1,-1
18:20:44:998235,-1,-2,0,0,-2,-2,-1,-1
18:20:44:998992,-1,-2,0,0,-2,-2,-1,-1
18:20:45:12479,-1,1,-2,-2,-2,1,0,-1
18:20:45:20720,1,-4,-1,-1,-1,0,-2,0
18:20:45:21525,1,-4,-1,-1,-1,0,-2,0
18:20:45:27472,0,-2,-1,0,0,0,-2,-2
18:20:45:35003,-1,-2,-3,-2,-1,-2,0,-2
18:20:45:42591,-1,-2,-3,-2,-1,-2,0,-2
18:20:45:49996,0,1,-1,-1,1,-1,0,-2
18:20:45:58221,-3,-2,-1,0,-2,-2,0,0
18:20:45:59087,-3,-2,-1,0,-2,-2,0,0
18:20:45:64969,-3,-4,0,-2,-1,0,0,-1
18:20:45:80729,-2,1,-1,1,-1,0,-1,-2
18:20:45:81493,-2,1,-1,1,-1,0,-1,-2
18:20:45:95721,0,1,-1,-1,-1,-2,-1,1
18:20:45:96450,-1,-2,1,-1,0,-1,-2,0
18:20:45:102623,-1,-2,1,-1,0,-1,-2,0
18:20:45:109979,-2,0,-2,1,-2,-2,-3,-2
18:20:45:118216,-1,-2,-1,-3,-1,0,0,-2
18:20:45:118982,-1,-2,-1,-3,-1,0,0,-2
18:20:45:124972,-1,-2,-1,-2,-2,0,-2,-1
18:20:45:140755,-2,-1,0,-1,-1,-1,-1,0
18:20:45:141499,-2,-1,0,-1,-1,-1,-1,0
18:20:45:147492,-2,-4,0,1,0,-2,0,-1
18:20:45:154976,-1,-1,-3,0,0,-1,-1,0
18:20:45:162589,-1,-1,-3,0,0,-1,-1,0
18:20:45:169979,0,0,-1,-3,0,0,-1,0
18:20:45:178293,-1,1,-1,-3,-2,-1,0,-1
18:20:45:179141,-1,1,-1,-3,-2,-1,0,-1
18:20:45:185051,-1,-2,1,-2,-1,-1,1,-1
18:20:45:200738,-1,-1,-1,-2,-2,0,-2,0
18:20:45:201485,-1,-1,-1,-2,-2,0,-2,0
18:20:45:207489,-1,-2,-3,0,-2,-2,-1,-1
18:20:45:214995,0,-1,0,-2,-3,-1,-1,0
18:20:45:222610,0,-1,0,-2,-3,-1,-1,0
18:20:45:229987,1,1,-1,-3,-1,-1,-1,1
18:20:45:238239,0,-9,1,1,0,0,-1,-1
18:20:45:239039,0,-9,1,1,0,0,-1,-1
18:20:45:244978,-2,-1,-2,1,-1,0,-2,-1
18:20:45:260741,0,1,-3,-1,1,-1,-1,-2
18:20:45:261613,0,1,-3,-1,1,-1,-1,-2
18:20:45:267491,0,1,0,-1,-2,-1,-4,-1
18:20:45:274971,-1,0,1,0,1,0,0,0
18:20:45:282639,-1,0,1,0,1,0,0,0
18:20:45:289994,0,0,-2,-1,-1,-2,-1,-1
18:20:45:298251,0,1,0,-3,0,-1,-1,-3
18:20:45:298971,0,1,0,-3,0,-1,-1,-3
18:20:45:312536,0,-1,-1,0,0,1,-1,0
18:20:45:320748,-2,-1,-2,-2,0,-2,-2,-2
18:20:45:321520,-2,-1,-2,-2,0,-2,-2,-2
18:20:45:327496,-3,-2,0,-1,-1,-2,0,-1
18:20:45:343263,-1,0,-2,1,-2,1,0,2
18:20:45:344112,-1,0,-2,1,-2,1,0,2
18:20:45:350029,-1,-3,-1,0,-2,-2,-1,-1
18:20:45:358236,0,-3,-2,-2,-1,-2,-1,-2
18:20:45:358981,0,-3,-2,-2,-1,-2,-1,-2
18:20:45:373003,0,-1,-2,-1,1,-1,-1,-2
18:20:45:380757,-2,1,-2,0,-2,-2,-1,-2
18:20:45:381635,-2,1,-2,0,-2,-2,-1,-2
18:20:45:387487,-1,0,-3,-2,-1,-1,-1,0
18:20:45:403227,-1,-1,-2,1,0,-1,-1,-1
18:20:45:404111,-1,-1,-2,1,0,-1,-1,-1
18:20:45:409995,0,-2,0,-1,0,-1,-2,-1
18:20:45:418291,-1,-2,0,-1,-2,-1,0,0
18:20:45:419145,-1,-2,0,-1,-2,-1,0,0
18:20:45:432514,-1,1,0,0,-2,0,-1,-1
18:20:45:440730,-2,-8,0,1,-1,-1,-1,-1
18:20:45:441595,-2,-8,0,1,-1,-1,-1,-1
18:20:45:447505,-1,-1,-1,-1,-2,2,-1,-2
18:20:45:463248,-2,1,0,-1,0,-1,0,0
18:20:45:464007,-2,1,0,-1,0,-1,0,0
18:20:45:470080,-1,-1,-1,-2,0,-2,-2,0
18:20:45:478340,-1,-1,-1,-2,0,-2,-2,0
18:20:45:479117,1,0,-2,-1,-2,0,0,1
18:20:45:492480,-3,0,-2,0,-1,-2,1,0
18:20:45:500767,-3,0,-2,0,-1,-2,1,0
18:20:45:501627,-1,1,-2,-2,-1,-2,-2,0
18:20:45:507489,0,-9,0,0,-1,0,-1,-3
18:20:45:523231,0,-9,0,0,-1,0,-1,-3
18:20:45:523970,-2,-1,0,1,-2,-1,-1,-3
18:20:45:529985,-2,1,1,-1,-2,-2,-1,-2
18:20:45:538259,-2,1,1,-1,-2,-2,-1,-2
18:20:45:538989,-1,0,-1,-1,-2,-2,-3,0
18:20:45:552530,2,-1,-1,-1,-1,-1,-1,-1
18:20:45:568914,2,-1,-1,-1,-1,-1,-1,-1
18:20:45:569827,0,2,-1,0,-1,-1,-1,-2
18:20:45:570495,1,4,0,0,-1,-2,-1,-1
18:20:45:583233,1,4,0,0,-1,-2,-1,-1
18:20:45:583992,-1,0,-2,0,1,0,-1,-3
18:20:45:590027,-1,-1,-1,1,0,-4,-4,0
18:20:45:598244,-1,-1,-1,1,0,-4,-4,0
18:20:45:598997,0,-3,-2,-4,-1,-2,-1,1
18:20:45:621377,0,-2,-1,-1,-4,-2,0,-1
18:20:45:622211,0,-2,-1,-1,-4,-2,0,-1
18:20:45:622980,-5,-4,-4,-1,-3,-3,1,-4
18:20:45:627468,5,13,18,14,4,2,-2,-7
18:20:45:643719,5,13,18,14,4,2,-2,-7
18:20:45:644463,1,-1,0,0,-2,1,9,-10
18:20:45:649983,1,-1,-8,-5,-1,3,12,0
18:20:45:665729,1,-1,-8,-5,-1,3,12,0
18:20:45:666489,-2,1,1,1,-3,-2,-5,10
18:20:45:672479,-3,-7,-5,-3,-1,-1,-2,0
18:20:45:681091,-3,-7,-5,-3,-1,-1,-2,0
18:20:45:688240,5,-1,3,-2,-1,1,17,5
18:20:45:688977,0,-3,-7,-7,-3,-1,2,-10
18:20:45:703283,0,-3,-7,-7,-3,-1,2,-10
18:20:45:703983,-2,-1,-1,-3,-2,-4,-8,-3
18:20:45:709984,0,-2,-24,6,3,0,2,29
18:20:45:725718,0,-2,-24,6,3,0,2,29
18:20:45:726475,1,2,29,-1,0,-1,-6,-3
18:20:45:732481,-11,-19,-44,-39,-10,-9,-19,-9
18:20:45:740758,-11,-19,-44,-39,-10,-9,-19,-9
18:20:45:741485,1,-4,-5,6,1,2,0,-6
18:20:45:747485,1,18,38,22,4,3,18,-2
18:20:45:763220,1,18,38,22,4,3,18,-2
18:20:45:763966,-6,-43,-9,-9,0,2,2,52
18:20:45:769982,-2,-7,11,7,-4,-4,-10,3
18:20:45:785738,-2,-7,11,7,-4,-4,-10,3
18:20:45:786481,-2,8,3,1,5,6,34,-59
18:20:45:801404,-2,-26,-30,-6,-2,4,14,-3
18:20:45:802235,-2,-26,-30,-6,-2,4,14,-3
18:20:45:802987,0,19,-22,-1,-4,-6,-14,2
18:20:45:807480,4,43,35,-1,-1,-4,-12,-13
18:20:45:823224,4,43,35,-1,-1,-4,-12,-13
18:20:45:824088,-5,-15,-23,-13,-7,-6,-14,-6
18:20:45:829969,-3,-2,-8,3,-1,-3,-6,12
18:20:45:845754,-3,-2,-8,3,-1,-3,-6,12
18:20:45:846486,-1,11,11,0,1,1,-3,0
18:20:45:852494,-2,-7,6,1,-1,-2,-1,-3
18:20:45:860758,-2,-7,6,1,-1,-2,-1,-3
18:20:45:861600,-1,1,-2,-3,-2,-4,-12,-3
18:20:45:867511,0,-4,-2,-4,0,-2,-3,-5
18:20:45:891373,0,-4,-2,-4,0,-2,-3,-5
18:20:45:892237,-1,-2,-6,-5,-4,-3,-3,8
18:20:45:892990,-1,-2,4,-2,1,1,0,-1
18:20:45:905743,-1,-2,4,-2,1,1,0,-1
18:20:45:906481,0,2,4,3,-1,-2,0,0
18:20:45:921413,-2,-5,-5,0,0,2,5,-4
18:20:45:922239,-2,-5,-5,0,0,2,5,-4
18:20:45:922983,1,3,3,6,7,4,-3,0
18:20:45:927490,-2,-3,-6,-2,-5,-6,-7,2
18:20:45:943242,-2,-3,-6,-2,-5,-6,-7,2
18:20:45:944112,0,1,4,5,-7,0,1,-1
18:20:45:949982,-1,-3,3,9,9,3,-2,0
18:20:45:965734,-1,-3,3,9,9,3,-2,0
18:20:45:966486,-1,-1,0,-1,-5,0,-1,1
