Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:22:46:91325,2923,2667,-3791,15440,809,-779,1786,5,-14,-24
13:22:46:98829,2923,2667,-3791,15440,809,-779,1786,5,-14,-24
13:22:46:106140,2923,2667,-3791,15440,809,-779,1786,5,-14,-24
13:22:46:114914,2926,2670,-3787,15440,802,-782,1785,6,-19,-21
13:22:46:121306,2926,2670,-3787,15440,802,-782,1785,6,-19,-21
13:22:46:128780,2926,2670,-3787,15440,802,-782,1785,6,-19,-21
13:22:46:137018,2928,2674,-3785,15439,793,-770,1758,4,-26,-19
13:22:46:137825,2928,2674,-3785,15439,793,-770,1758,4,-26,-19
13:22:46:143756,2928,2674,-3785,15439,793,-770,1758,4,-26,-19
13:22:46:151253,2930,2678,-3784,15438,792,-766,1763,-6,-36,-18
13:22:46:158810,2930,2678,-3784,15438,792,-766,1763,-6,-36,-18
13:22:46:175172,2930,2678,-3784,15438,792,-766,1763,-6,-36,-18
13:22:46:175892,2932,2684,-3787,15436,804,-770,1761,-22,-41,-18
13:22:46:176791,2932,2684,-3787,15436,804,-770,1761,-22,-41,-18
13:22:46:188772,2932,2684,-3787,15436,804,-770,1761,-22,-41,-18
13:22:46:205158,2934,2690,-3793,15433,822,-780,1775,-44,-40,-15
13:22:46:205887,2934,2690,-3793,15433,822,-780,1775,-44,-40,-15
13:22:46:206750,2934,2690,-3793,15433,822,-780,1775,-44,-40,-15
13:22:46:211269,2936,2695,-3801,15430,842,-792,1766,-46,-29,-5
13:22:46:218774,2936,2695,-3801,15430,842,-792,1766,-46,-29,-5
13:22:46:226277,2936,2695,-3801,15430,842,-792,1766,-46,-29,-5
13:22:46:234389,2935,2696,-3809,15428,828,-797,1757,-42,-17,8
13:22:46:235249,2935,2696,-3809,15428,828,-797,1757,-42,-17,8
13:22:46:248776,2935,2696,-3809,15428,828,-797,1757,-42,-17,8
13:22:46:265151,2933,2697,-3817,15426,824,-791,1750,-45,-19,15
13:22:46:265895,2933,2697,-3817,15426,824,-791,1750,-45,-19,15
13:22:46:266767,2933,2697,-3817,15426,824,-791,1750,-45,-19,15
13:22:46:271264,2930,2699,-3825,15424,826,-808,1757,-39,-24,16
13:22:46:286890,2930,2699,-3825,15424,826,-808,1757,-39,-24,16
13:22:46:287751,2930,2699,-3825,15424,826,-808,1757,-39,-24,16
13:22:46:294450,2927,2703,-3832,15423,836,-824,1764,-20,-31,13
13:22:46:295367,2927,2703,-3832,15423,836,-824,1764,-20,-31,13
13:22:46:308782,2927,2703,-3832,15423,836,-824,1764,-20,-31,13
13:22:46:317005,2926,2707,-3834,15422,840,-807,1759,-10,-22,0
13:22:46:317770,2926,2707,-3834,15422,840,-807,1759,-10,-22,0
13:22:46:323756,2926,2707,-3834,15422,840,-807,1759,-10,-22,0
13:22:46:331306,2926,2711,-3839,15420,842,-815,1749,-16,-17,-5
13:22:46:346915,2926,2711,-3839,15420,842,-815,1749,-16,-17,-5
13:22:46:347782,2926,2711,-3839,15420,842,-815,1749,-16,-17,-5
13:22:46:354515,2927,2713,-3843,15418,842,-811,1757,-18,-13,-4
13:22:46:355272,2927,2713,-3843,15418,842,-811,1757,-18,-13,-4
13:22:46:368773,2927,2713,-3843,15418,842,-811,1757,-18,-13,-4
13:22:46:376791,2927,2714,-3843,15418,846,-800,1746,-7,-12,-4
13:22:46:384414,2927,2714,-3843,15418,846,-800,1746,-7,-12,-4
13:22:46:385290,2927,2714,-3843,15418,846,-800,1746,-7,-12,-4
13:22:46:391294,2927,2714,-3843,15418,846,-803,1752,2,-11,-6
13:22:46:398774,2927,2714,-3843,15418,846,-803,1752,2,-11,-6
13:22:46:406261,2927,2714,-3843,15418,846,-803,1752,2,-11,-6
13:22:46:414394,2927,2714,-3843,15418,838,-808,1758,10,-10,-7
13:22:46:415290,2927,2714,-3843,15418,838,-808,1758,10,-10,-7
13:22:46:428786,2927,2714,-3843,15418,838,-808,1758,10,-10,-7
13:22:46:436907,2927,2714,-3843,15418,828,-799,1750,7,-6,-14
13:22:46:437799,2927,2714,-3843,15418,828,-799,1750,7,-6,-14
13:22:46:443808,2927,2714,-3843,15418,828,-799,1750,7,-6,-14
13:22:46:451251,2927,2714,-3843,15418,822,-808,1750,2,-9,-15
13:22:46:458677,2927,2714,-3843,15418,822,-808,1750,2,-9,-15
13:22:46:466291,2927,2714,-3843,15418,822,-808,1750,2,-9,-15
13:22:46:481925,2927,2714,-3842,15418,831,-796,1762,3,-8,-15
13:22:46:482773,2927,2714,-3842,15418,831,-796,1762,3,-8,-15
13:22:46:488771,2927,2714,-3842,15418,831,-796,1762,3,-8,-15
13:22:46:496895,2927,2714,-3842,15418,835,-800,1755,13,-8,-13
13:22:46:497770,2927,2714,-3842,15418,835,-800,1755,13,-8,-13
