Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:09:27:699258,14550,-4907,-3894,4180,578,-1350,1512,-28,23,21
14:09:27:707497,14550,-4907,-3894,4180,578,-1350,1512,-28,23,21
14:09:27:708299,14550,-4911,-3891,4179,567,-1369,1519,-28,15,10
14:09:27:714373,14550,-4911,-3891,4179,567,-1369,1519,-28,15,10
14:09:27:730007,14550,-4911,-3891,4179,567,-1369,1519,-28,15,10
14:09:27:730751,14550,-4911,-3891,4180,559,-1391,1524,-5,6,2
14:09:27:736740,14550,-4911,-3891,4180,559,-1391,1524,-5,6,2
14:09:27:752514,14550,-4911,-3891,4180,559,-1391,1524,-5,6,2
14:09:27:753381,14553,-4903,-3888,4181,550,-1379,1523,37,-4,-8
14:09:27:759237,14553,-4903,-3888,4181,550,-1379,1523,37,-4,-8
14:09:27:767518,14553,-4903,-3888,4181,550,-1379,1523,37,-4,-8
14:09:27:768261,14557,-4892,-3886,4182,547,-1361,1512,55,-13,-17
14:09:27:774248,14557,-4892,-3886,4182,547,-1361,1512,55,-13,-17
14:09:27:790012,14557,-4892,-3886,4182,547,-1361,1512,55,-13,-17
14:09:27:790883,14560,-4884,-3885,4183,539,-1361,1491,45,-18,-20
14:09:27:796760,14560,-4884,-3885,4183,539,-1361,1491,45,-18,-20
14:09:27:804254,14560,-4884,-3885,4183,539,-1361,1491,45,-18,-20
14:09:27:811758,14562,-4876,-3887,4182,545,-1356,1470,41,-20,-25
14:09:27:819250,14562,-4876,-3887,4182,545,-1356,1470,41,-20,-25
14:09:27:827521,14562,-4876,-3887,4182,545,-1356,1470,41,-20,-25
14:09:27:828270,14564,-4870,-3888,4181,543,-1360,1458,39,-16,-30
14:09:27:834254,14564,-4870,-3888,4181,543,-1360,1458,39,-16,-30
14:09:27:858147,14564,-4870,-3888,4181,543,-1360,1458,39,-16,-30
14:09:27:859002,14566,-4864,-3890,4178,552,-1341,1461,29,-13,-28
14:09:27:859754,14566,-4864,-3890,4178,552,-1341,1461,29,-13,-28
14:09:27:864245,14566,-4864,-3890,4178,552,-1341,1461,29,-13,-28
14:09:27:871874,14567,-4862,-3893,4175,581,-1337,1448,11,-3,-21
14:09:27:879275,14567,-4862,-3893,4175,581,-1337,1448,11,-3,-21
14:09:27:887868,14567,-4862,-3893,4175,581,-1337,1448,11,-3,-21
14:09:27:902506,14567,-4861,-3894,4174,597,-1331,1453,-13,10,-6
14:09:27:903401,14567,-4861,-3894,4174,597,-1331,1453,-13,10,-6
14:09:27:910017,14567,-4861,-3894,4174,597,-1331,1453,-13,10,-6
14:09:27:910867,14566,-4867,-3896,4171,601,-1334,1449,-35,20,7
14:09:27:916755,14566,-4867,-3896,4171,601,-1334,1449,-35,20,7
14:09:27:932521,14566,-4867,-3896,4171,601,-1334,1449,-35,20,7
14:09:27:933377,14563,-4876,-3897,4169,602,-1342,1462,-52,24,18
14:09:27:939251,14563,-4876,-3897,4169,602,-1342,1462,-52,24,18
14:09:27:947499,14563,-4876,-3897,4169,602,-1342,1462,-52,24,18
14:09:27:948371,14560,-4885,-3898,4168,614,-1362,1487,-54,25,25
14:09:27:961754,14560,-4885,-3898,4168,614,-1362,1487,-54,25,25
14:09:27:970024,14560,-4885,-3898,4168,614,-1362,1487,-54,25,25
14:09:27:970893,14557,-4894,-3897,4168,600,-1370,1493,-50,25,29
14:09:27:984959,14557,-4894,-3897,4168,600,-1370,1493,-50,25,29
14:09:27:985770,14557,-4894,-3897,4168,600,-1370,1493,-50,25,29
14:09:27:991861,14556,-4900,-3895,4169,597,-1368,1497,-34,22,27
14:09:27:999276,14556,-4900,-3895,4169,597,-1368,1497,-34,22,27
14:09:28:7477,14556,-4900,-3895,4169,597,-1368,1497,-34,22,27
14:09:28:8364,14555,-4903,-3893,4171,589,-1352,1483,-19,22,33
14:09:28:14243,14555,-4903,-3893,4171,589,-1352,1483,-19,22,33
