Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:20:26:781219,0,2,1,-5,-1,-1,0,0
14:20:26:781960,2,0,-3,-5,-3,-1,2,0
14:20:26:796002,-2,1,10,0,-2,-1,-2,-6
14:20:26:803741,-2,1,10,0,-2,-1,-2,-6
14:20:26:804499,0,-5,-6,-16,-5,-2,-1,-3
14:20:26:810444,-3,-8,-10,-5,0,-3,-1,-6
14:20:26:817985,-3,-8,-10,-5,0,-3,-1,-6
14:20:26:833612,-2,-2,-2,2,0,0,0,1
14:20:26:834452,-2,-9,2,3,-2,-1,-3,1
14:20:26:841254,-2,-9,2,3,-2,-1,-3,1
14:20:26:841990,2,1,-5,1,0,-1,-1,1
14:20:26:855490,-2,0,1,4,-3,-2,-2,0
14:20:26:863745,-2,0,1,4,-3,-2,-2,0
14:20:26:864481,-2,-4,-8,2,0,-2,0,-2
14:20:26:870549,0,-3,7,-2,-6,-2,-2,1
14:20:26:878023,0,-3,7,-2,-6,-2,-2,1
14:20:26:885472,-2,-12,-3,4,3,0,-2,-1
14:20:26:892971,1,6,-5,-4,7,3,1,1
14:20:26:901208,1,6,-5,-4,7,3,1,1
14:20:26:901951,-3,-2,1,-3,-1,-2,0,0
14:20:26:924370,-1,4,7,-15,-5,-1,-1,1
14:20:26:925129,-1,4,7,-15,-5,-1,-1,1
14:20:26:926013,-4,2,-4,2,-7,-1,-1,-3
14:20:26:930511,-1,-2,5,8,9,3,0,-1
14:20:26:938015,-1,-2,5,8,9,3,0,-1
14:20:26:953631,1,-1,-15,-3,2,-1,-1,-2
14:20:26:954367,0,1,-6,-5,-3,-3,0,0
14:20:26:960513,0,1,-6,-5,-3,-3,0,0
14:20:26:976154,2,6,3,-1,-3,-1,-1,-1
14:20:26:977040,0,2,-8,0,-2,0,-1,-1
14:20:26:983766,0,2,-8,0,-2,0,-1,-1
14:20:26:984470,0,-3,-3,2,2,0,-1,1
14:20:26:998790,-1,3,4,-3,-2,-1,0,-2
14:20:26:999491,-1,3,4,-3,-2,-1,0,-2
14:20:27:5489,-1,-3,-4,3,5,0,-2,-1
14:20:27:13019,-1,3,0,1,-2,-2,-2,-2
14:20:27:20477,-1,3,0,1,-2,-2,-2,-2
14:20:27:27961,-3,-7,-21,-8,0,1,-2,-2
14:20:27:35479,-1,1,6,-2,-5,-4,-1,0
14:20:27:43729,-1,1,6,-2,-5,-4,-1,0
14:20:27:44470,1,-1,2,0,-2,0,-1,1
14:20:27:58697,-2,-7,-13,-3,-2,0,-2,0
14:20:27:59471,-2,-7,-13,-3,-2,0,-2,0
14:20:27:73720,-2,-2,-1,-4,-4,-2,-1,-2
14:20:27:74442,-1,-2,1,5,2,0,-2,-1
14:20:27:80469,-1,-2,1,5,2,0,-2,-1
14:20:27:87975,-2,0,0,2,-1,-3,-3,-1
14:20:27:95522,1,-4,7,1,0,-2,0,-1
14:20:27:111218,1,-4,7,1,0,-2,0,-1
14:20:27:111990,-1,1,9,3,0,0,1,-1
14:20:27:118743,-1,0,-6,-1,1,-1,-2,-2
14:20:27:119489,-1,0,-6,-1,1,-1,-2,-2
14:20:27:125474,1,0,1,-4,-4,0,-2,-1
14:20:27:133005,-2,-1,-3,-3,-4,-2,-1,-1
14:20:27:140525,-2,-1,-3,-3,-4,-2,-1,-1
14:20:27:148015,-1,0,1,-2,-2,0,-1,-1
14:20:27:155482,0,2,2,6,2,0,-1,0
14:20:27:163752,0,2,2,6,2,0,-1,0
14:20:27:164467,-2,0,3,3,1,-3,-2,-2
14:20:27:178733,-2,-9,-2,-4,-4,-1,1,-1
14:20:27:179511,-2,-9,-2,-4,-4,-1,1,-1
14:20:27:185497,0,-1,6,-3,-3,-2,-1,1
14:20:27:192966,-2,4,2,-1,-1,0,-2,-1
14:20:27:200461,-2,4,2,-1,-1,0,-2,-1
14:20:27:216126,-2,-3,2,1,0,0,-1,-1
14:20:27:216972,0,-4,-4,1,1,-3,0,0
14:20:27:231282,0,-4,-4,1,1,-3,0,0
14:20:27:231966,-2,2,-3,6,4,1,1,-3
14:20:27:238726,0,-4,-5,-3,-4,-2,-2,0
14:20:27:239472,0,-4,-5,-3,-4,-2,-2,0
14:20:27:245472,-2,-3,-6,-4,-1,-1,1,-1
14:20:27:252978,-1,0,-4,0,1,1,-1,-1
14:20:27:260493,-1,0,-4,0,1,1,-1,-1
14:20:27:268012,-1,-6,-3,1,0,1,-1,1
14:20:27:275505,0,-2,-5,-7,-4,0,-1,-1
14:20:27:283736,0,-2,-5,-7,-4,0,-1,-1
14:20:27:284495,0,1,2,-3,0,-2,-2,0
14:20:27:298730,1,6,2,2,-2,-1,-1,-3
14:20:27:299542,1,6,2,2,-2,-1,-1,-3
14:20:27:305492,0,-4,-2,-5,-3,-2,-2,-1
14:20:27:313020,0,0,-2,3,-2,-2,-1,-1
14:20:27:320497,0,0,-2,3,-2,-2,-1,-1
14:20:27:327999,0,-1,0,-2,-2,-2,-2,-1
14:20:27:335495,-3,-2,-1,-3,0,-2,-1,-1
14:20:27:351096,-3,-2,-1,-3,0,-2,-1,-1
14:20:27:351985,-1,-1,-5,0,-1,-1,0,0
14:20:27:358752,-1,-2,-1,-1,1,0,-1,0
14:20:27:359490,-1,-2,-1,-1,1,0,-1,0
14:20:27:365486,-2,0,-2,0,-1,1,0,-1
14:20:27:372989,0,-2,-1,-6,-1,-2,-1,-3
14:20:27:388766,0,-2,-1,-6,-1,-2,-1,-3
14:20:27:389485,-1,2,3,0,-1,-1,-2,-3
14:20:27:395478,-1,-3,-3,1,1,-1,-1,0
14:20:27:403713,-1,-3,-3,1,1,-1,-1,0
14:20:27:404497,0,1,0,1,-1,-1,-2,1
14:20:27:418761,0,-1,-2,1,-1,-1,-2,-2
14:20:27:419492,0,-1,-2,1,-1,-1,-2,-2
14:20:27:433621,-1,-2,-2,-3,-6,-3,0,-3
14:20:27:434358,-1,-1,0,-2,-2,0,1,0
14:20:27:440500,-1,-1,0,-2,-2,0,1,0
14:20:27:447981,-2,-2,-2,1,1,-2,-1,-1
14:20:27:455499,-1,-1,-1,0,0,0,0,-2
14:20:27:463781,-1,-1,-1,0,0,0,0,-2
14:20:27:464525,0,-1,-6,-2,-1,0,-1,-2
14:20:27:478783,-1,1,-4,-1,-2,-1,-2,-1
14:20:27:479497,-1,1,-4,-1,-2,-1,-2,-1
14:20:27:485505,-1,3,2,-2,-1,0,-2,0
14:20:27:493022,0,5,6,0,0,-1,-1,-2
14:20:27:508737,0,5,6,0,0,-1,-1,-2
14:20:27:509470,-1,2,-2,1,1,2,1,-2
14:20:27:515479,-2,-12,-16,-2,-3,-4,-1,-1
14:20:27:523719,-2,-12,-16,-2,-3,-4,-1,-1
14:20:27:524475,-1,0,4,2,0,-1,-1,-1
14:20:27:538732,1,0,4,1,-1,0,-3,-1
14:20:27:539470,1,0,4,1,-1,0,-3,-1
14:20:27:545464,-1,-2,-5,-1,-2,-2,-1,-1
14:20:27:552978,-2,-4,-11,-6,1,-1,1,-1
14:20:27:560501,-2,-4,-11,-6,1,-1,1,-1
14:20:27:568017,-1,6,-1,-5,-2,-1,-2,-1
14:20:27:584368,1,-1,0,-2,-3,-1,-1,-1
14:20:27:585089,1,-1,0,-2,-3,-1,-1,-1
14:20:27:585968,-1,-17,-10,-8,4,4,0,1
14:20:27:598721,0,-1,0,8,2,-2,-1,0
14:20:27:599348,0,-1,0,8,2,-2,-1,0
14:20:27:605497,-1,0,3,-1,4,-2,-2,-1
14:20:27:613012,-3,0,1,3,0,-2,0,-1
14:20:27:628743,-3,0,1,3,0,-2,0,-1
14:20:27:629464,0,-10,6,1,-3,-3,0,-2
14:20:27:635491,0,0,-3,0,-1,-1,-1,0
14:20:27:643740,0,0,-3,0,-1,-1,-1,0
14:20:27:644447,-2,4,-4,1,-3,-2,-1,-2
14:20:27:666862,-1,-2,4,-6,-7,-2,0,-1
14:20:27:667744,-1,-2,4,-6,-7,-2,0,-1
14:20:27:668473,-1,2,2,-4,-7,0,-1,-1
14:20:27:673022,-1,0,1,-12,-4,0,-1,0
14:20:27:680466,-1,0,1,-12,-4,0,-1,0
14:20:27:687986,-1,0,3,7,-3,-5,-2,-1
14:20:27:695468,-1,1,2,4,0,-1,0,1
14:20:27:703739,-1,1,2,4,0,-1,0,1
14:20:27:704481,0,-3,-4,-2,0,1,0,0
14:20:27:718769,0,-3,9,-3,0,-2,0,-2
14:20:27:719528,0,-3,9,-3,0,-2,0,-2
14:20:27:725470,1,2,5,-2,-3,-1,-1,-3
14:20:27:732990,-1,-1,-4,1,9,5,-1,-1
14:20:27:740480,-1,-1,-4,1,9,5,-1,-1
14:20:27:747970,-1,-15,-6,-4,-2,-1,0,0
14:20:27:755482,-1,2,8,-2,-2,-3,0,-2
14:20:27:763735,-1,2,8,-2,-2,-3,0,-2
14:20:27:764498,-2,-2,-2,-1,2,-1,-1,-2
14:20:27:795015,0,-4,-4,-2,-1,-2,-2,1
14:20:27:795849,0,-4,-4,-2,-1,-2,-2,1
14:20:27:796609,0,3,1,-2,0,-1,-1,-1
14:20:27:797510,0,0,-3,1,0,-1,-1,-1
14:20:27:800477,0,0,-3,1,0,-1,-1,-1
14:20:27:807993,0,1,-4,2,-1,-2,-2,0
14:20:27:815484,1,-2,-2,-1,0,0,-2,-1
14:20:27:823749,1,-2,-2,-1,0,0,-2,-1
14:20:27:824485,0,0,-1,2,-2,-1,2,1
14:20:27:838783,0,-1,-1,-3,-1,1,-1,0
14:20:27:839581,0,-1,-1,-3,-1,1,-1,0
14:20:27:845479,-1,2,-1,0,1,-1,-1,0
14:20:27:853027,-1,-1,4,-2,-4,-2,0,-3
14:20:27:860480,-1,-1,4,-2,-4,-2,0,-3
14:20:27:868009,-3,-3,2,-3,-1,-2,-2,-1
14:20:27:875493,1,0,-1,3,0,-1,-3,0
14:20:27:883730,1,0,-1,3,0,-1,-3,0
14:20:27:884477,0,-1,-2,1,2,-1,-1,-2
14:20:27:907488,-1,-6,-2,-3,-3,0,1,-2
14:20:27:908333,-1,-6,-2,-3,-3,0,1,-2
14:20:27:909079,-1,1,-3,3,3,0,-2,-1
14:20:27:921167,-1,-3,-1,-6,2,0,-3,-2
14:20:27:921979,-1,-3,-1,-6,2,0,-3,-2
14:20:27:927990,-1,-2,0,0,-1,0,0,0
14:20:27:943876,0,2,0,-2,-5,-2,-1,0
14:20:27:944342,0,2,0,-2,-5,-2,-1,0
14:20:27:950492,0,-1,0,0,1,1,0,-1
14:20:27:958753,-4,1,1,3,-1,-2,-2,1
14:20:27:959489,-4,1,1,3,-1,-2,-2,1
14:20:27:965471,-1,1,1,4,-2,-1,0,-1
14:20:27:981133,-2,-5,-5,-2,-4,-2,0,-3
14:20:27:981998,-2,-5,-5,-2,-4,-2,0,-3
14:20:27:987970,-1,-1,-2,-8,-6,-1,-1,-1
14:20:27:995484,-2,0,-3,0,-5,-1,-1,0
14:20:28:3032,-2,0,-3,0,-5,-1,-1,0
14:20:28:10487,0,-2,-1,-1,1,-2,-2,0
14:20:28:18738,-1,2,-2,0,2,-2,0,-1
