Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:58:28:636839,-12,1,0,-1,-2,-2,-4,-6
18:58:28:637704,-12,1,0,-1,-2,-2,-4,-6
18:58:28:643702,-3,0,-2,3,1,-3,-3,-27
18:58:28:659329,6,6,1,-2,1,0,2,1
18:58:28:660214,6,6,1,-2,1,0,2,1
18:58:28:666179,5,-3,0,-1,0,2,0,9
18:58:28:673698,7,3,-1,-2,-3,-2,-5,-46
18:58:28:681189,7,3,-1,-2,-3,-2,-5,-46
18:58:28:688694,4,0,-1,-2,0,0,2,2
18:58:28:696816,-2,0,1,-1,0,0,0,9
18:58:28:697687,-2,0,1,-1,0,0,0,9
18:58:28:703693,2,-1,-1,-2,0,0,0,0
18:58:28:719817,0,-1,-2,-2,-1,-1,1,14
18:58:28:720550,0,-1,-2,-2,-1,-1,1,14
18:58:28:726179,-5,1,1,-1,-1,-1,-1,6
18:58:28:733684,3,2,-2,0,1,-1,1,2
18:58:28:741208,3,2,-2,0,1,-1,1,2
18:58:28:748778,0,-1,-1,-2,-2,0,0,12
18:58:28:756824,-9,-2,1,0,-2,-1,-4,-8
18:58:28:757739,-9,-2,1,0,-2,-1,-4,-8
18:58:28:763734,-3,-5,-2,-1,0,0,1,3
18:58:28:787457,2,2,2,3,-1,0,3,4
18:58:28:788302,2,2,2,3,-1,0,3,4
18:58:28:789184,0,-2,-1,-2,-3,-2,-4,-15
18:58:28:793709,0,0,0,-1,-2,0,0,-4
18:58:28:801183,0,0,0,-1,-2,0,0,-4
18:58:28:808712,-1,-1,-3,-1,-2,-3,0,-4
18:58:28:824955,-3,-6,-1,-1,0,-1,-2,-3
18:58:28:825805,-3,-6,-1,-1,0,-1,-2,-3
18:58:28:826680,-6,0,2,0,0,-1,-2,7
18:58:28:839347,0,-10,-5,-3,0,0,1,8
18:58:28:840183,0,-10,-5,-3,0,0,1,8
18:58:28:846120,-6,0,-2,-1,0,-2,-3,5
18:58:28:853706,6,6,0,-1,0,-2,-2,9
18:58:28:861182,6,6,0,-1,0,-2,-2,9
18:58:28:868726,-4,-4,-1,-3,-2,-2,-2,4
18:58:28:876830,1,0,-1,1,-2,-1,0,-4
18:58:28:877692,1,0,-1,1,-2,-1,0,-4
18:58:28:883715,-2,4,-1,1,-1,0,-2,-2
18:58:28:899314,-1,-5,-2,0,-2,-1,-1,-4
18:58:28:900180,-1,-5,-2,0,-2,-1,-1,-4
18:58:28:906211,-1,-4,-3,-1,-1,0,0,-4
18:58:28:913719,-3,5,-1,-1,1,-1,-1,-4
18:58:28:921194,-3,5,-1,-1,1,-1,-1,-4
18:58:28:928703,-1,0,1,-1,-1,-1,-1,-2
18:58:28:936806,-6,2,2,1,1,-3,-2,5
18:58:28:937709,-6,2,2,1,1,-3,-2,5
18:58:28:943711,-3,-4,-1,-3,-3,-2,-2,-7
18:58:28:959304,-3,-3,-1,-2,-3,0,0,-2
18:58:28:960079,-3,-3,-1,-2,-3,0,0,-2
18:58:28:966201,1,5,-2,-1,-1,-3,0,-3
18:58:28:973687,-2,-4,1,-2,0,-1,2,-6
18:58:28:981191,-2,-4,1,-2,0,-1,2,-6
18:58:28:988696,-2,-4,-2,-3,-1,-2,-1,-3
18:58:28:996821,2,4,1,-1,-1,0,0,4
18:58:28:997720,2,4,1,-1,-1,0,0,4
18:58:29:3686,0,0,-2,0,1,-2,-3,-20
18:58:29:19315,-3,-4,-2,-1,-4,0,-1,-4
18:58:29:20180,-3,-4,-2,-1,-4,0,-1,-4
18:58:29:26062,0,-7,-4,-1,1,-1,-2,3
18:58:29:41826,-2,-3,-3,-1,-1,-2,-2,-1
18:58:29:42678,-2,-3,-3,-1,-1,-2,-2,-1
18:58:29:48758,-2,-2,-1,0,-2,0,-1,3
18:58:29:56553,0,5,2,1,-2,0,-1,-2
18:58:29:63711,0,5,2,1,-2,0,-1,-2
18:58:29:71068,1,0,0,0,0,0,1,7
18:58:29:79318,0,0,-2,0,-1,-2,0,3
18:58:29:80203,0,0,-2,0,-1,-2,0,3
18:58:29:86067,2,0,-1,0,-2,2,0,4
18:58:29:101842,-5,-3,-2,-2,-4,-4,-3,-4
18:58:29:102699,-5,-3,-2,-2,-4,-4,-3,-4
18:58:29:108685,1,1,0,0,-1,0,1,8
18:58:29:116829,3,0,-2,0,-1,-2,-3,-3
18:58:29:117673,3,0,-2,0,-1,-2,-3,-3
18:58:29:131196,-2,5,1,-1,0,-1,1,-3
18:58:29:139329,0,1,-1,-3,-1,0,-1,-8
18:58:29:140191,0,1,-1,-3,-1,0,-1,-8
18:58:29:146081,-1,-3,-1,0,-2,-1,-3,-10
18:58:29:161849,-4,-4,-4,-1,1,-1,0,8
18:58:29:162693,-4,-4,-4,-1,1,-1,0,8
18:58:29:168712,-1,0,-2,0,-1,-1,0,4
18:58:29:176818,-3,0,2,-2,1,0,-1,-8
18:58:29:177758,-3,0,2,-2,1,0,-1,-8
18:58:29:191184,0,-2,-2,-2,0,-3,0,-4
18:58:29:199358,2,2,0,-3,-2,0,1,7
18:58:29:200214,2,2,0,-3,-2,0,1,7
18:58:29:206065,-2,-7,-2,-1,-1,0,-2,-3
