Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:52:33:322182,-4779,2933,1382,15332,800,110,1980,21,1,19
18:52:33:329784,-4779,2933,1383,15332,804,132,1955,-8,1,13
18:52:33:337169,-4779,2933,1383,15332,804,132,1955,-8,1,13
18:52:33:345417,-4779,2933,1383,15332,804,132,1955,-8,1,13
18:52:33:346156,-4781,2931,1374,15332,775,125,1942,-49,4,18
18:52:33:352204,-4781,2931,1374,15332,775,125,1942,-49,4,18
18:52:33:367960,-4781,2931,1374,15332,775,125,1942,-49,4,18
18:52:33:368736,-4783,2933,1365,15332,797,106,1959,-48,1,24
18:52:33:374695,-4783,2933,1365,15332,797,106,1959,-48,1,24
18:52:33:382178,-4783,2933,1365,15332,797,106,1959,-48,1,24
18:52:33:389812,-4788,2931,1360,15331,800,96,1958,-10,10,28
18:52:33:397161,-4788,2931,1360,15331,800,96,1958,-10,10,28
18:52:33:405443,-4788,2931,1360,15331,800,96,1958,-10,10,28
18:52:33:406308,-4794,2927,1362,15330,792,108,1972,18,4,28
18:52:33:412188,-4794,2927,1362,15330,792,108,1972,18,4,28
18:52:33:427924,-4794,2927,1362,15330,792,108,1972,18,4,28
18:52:33:428677,-4800,2922,1366,15329,790,126,1983,31,4,29
18:52:33:434709,-4800,2922,1366,15329,790,126,1983,31,4,29
18:52:33:442173,-4800,2922,1366,15329,790,126,1983,31,4,29
18:52:33:449865,-4806,2920,1369,15327,791,125,1975,18,-8,34
18:52:33:457224,-4806,2920,1369,15327,791,125,1975,18,-8,34
18:52:33:465294,-4806,2920,1369,15327,791,125,1975,18,-8,34
18:52:33:466223,-4810,2923,1369,15326,818,81,1985,11,-16,18
18:52:33:472204,-4810,2923,1369,15326,818,81,1985,11,-16,18
18:52:33:487964,-4810,2923,1369,15326,818,81,1985,11,-16,18
18:52:33:488822,-4811,2925,1368,15325,809,45,1989,27,-22,-2
18:52:33:494676,-4811,2925,1368,15325,809,45,1989,27,-22,-2
18:52:33:502201,-4811,2925,1368,15325,809,45,1989,27,-22,-2
18:52:33:509694,-4813,2926,1373,15324,791,65,1969,52,-26,-5
18:52:33:517167,-4813,2926,1373,15324,791,65,1969,52,-26,-5
18:52:33:525459,-4813,2926,1373,15324,791,65,1969,52,-26,-5
18:52:33:526192,-4813,2928,1381,15322,792,105,1940,43,-31,-2
18:52:33:532164,-4813,2928,1381,15322,792,105,1940,43,-31,-2
18:52:33:547945,-4813,2928,1381,15322,792,105,1940,43,-31,-2
18:52:33:548707,-4812,2930,1385,15322,792,128,1939,5,-26,-5
18:52:33:554695,-4812,2930,1385,15322,792,128,1939,5,-26,-5
18:52:33:562163,-4812,2930,1385,15322,792,128,1939,5,-26,-5
18:52:33:569697,-4811,2932,1384,15322,793,127,1946,-17,-21,-2
18:52:33:577160,-4811,2932,1384,15322,793,127,1946,-17,-21,-2
18:52:33:585476,-4811,2932,1384,15322,793,127,1946,-17,-21,-2
18:52:33:586222,-4811,2931,1388,15322,788,134,1961,9,-18,0
18:52:33:592177,-4811,2931,1388,15322,788,134,1961,9,-18,0
18:52:33:607932,-4811,2931,1388,15322,788,134,1961,9,-18,0
18:52:33:608669,-4812,2928,1399,15321,803,156,1956,43,-11,8
18:52:33:614656,-4812,2928,1399,15321,803,156,1956,43,-11,8
18:52:33:622188,-4812,2928,1399,15321,803,156,1956,43,-11,8
18:52:33:629788,-4814,2926,1410,15320,812,166,1950,37,-9,10
18:52:33:637199,-4814,2926,1410,15320,812,166,1950,37,-9,10
18:52:33:645409,-4814,2926,1410,15320,812,166,1950,37,-9,10
18:52:33:646155,-4816,2926,1414,15319,810,135,1951,17,-12,10
18:52:33:652206,-4816,2926,1414,15319,810,135,1951,17,-12,10
18:52:33:667926,-4816,2926,1414,15319,810,135,1951,17,-12,10
18:52:33:668693,-4816,2926,1414,15319,802,95,1958,1,-16,6
18:52:33:674699,-4816,2926,1414,15319,802,95,1958,1,-16,6
18:52:33:682166,-4816,2926,1414,15319,802,95,1958,1,-16,6
18:52:33:689852,-4816,2929,1415,15318,811,108,1954,9,-21,-1
18:52:33:697156,-4816,2929,1415,15318,811,108,1954,9,-21,-1
18:52:33:705295,-4816,2929,1415,15318,811,108,1954,9,-21,-1
18:52:33:706157,-4817,2932,1409,15318,802,89,1952,-23,-13,5
18:52:33:712162,-4817,2932,1409,15318,802,89,1952,-23,-13,5
18:52:33:727917,-4817,2932,1409,15318,802,89,1952,-23,-13,5
18:52:33:728680,-4816,2937,1400,15318,812,100,1965,-50,-19,4
18:52:33:734751,-4816,2937,1400,15318,812,100,1965,-50,-19,4
18:52:33:742167,-4816,2937,1400,15318,812,100,1965,-50,-19,4
18:52:33:749839,-4815,2942,1392,15318,799,140,1962,-65,-21,11
18:52:33:757181,-4815,2942,1392,15318,799,140,1962,-65,-21,11
18:52:33:765435,-4815,2942,1392,15318,799,140,1962,-65,-21,11
18:52:33:766209,-4814,2947,1385,15318,802,135,1961,-59,-25,11
18:52:33:772203,-4814,2947,1385,15318,802,135,1961,-59,-25,11
18:52:33:787958,-4814,2947,1385,15318,802,135,1961,-59,-25,11
18:52:33:788680,-4815,2951,1383,15317,804,149,1944,-35,-29,18
18:52:33:794677,-4815,2951,1383,15317,804,149,1944,-35,-29,18
18:52:33:802225,-4815,2951,1383,15317,804,149,1944,-35,-29,18
18:52:33:809715,-4818,2954,1385,15315,814,159,1920,-16,-16,29
18:52:33:817183,-4818,2954,1385,15315,814,159,1920,-16,-16,29
18:52:33:825432,-4818,2954,1385,15315,814,159,1920,-16,-16,29
18:52:33:826173,-4823,2955,1384,15314,808,134,1944,-16,-6,36
18:52:33:832180,-4823,2955,1384,15314,808,134,1944,-16,-6,36
18:52:33:847933,-4823,2955,1384,15314,808,134,1944,-16,-6,36
18:52:33:848691,-4830,2954,1379,15312,793,108,1961,-18,-1,39
18:52:33:854684,-4830,2954,1379,15312,793,108,1961,-18,-1,39
18:52:33:870320,-4830,2954,1379,15312,793,108,1961,-18,-1,39
18:52:33:871200,-4836,2954,1372,15311,789,77,1965,-14,-5,38
18:52:33:877177,-4836,2954,1372,15311,789,77,1965,-14,-5,38
18:52:33:885473,-4836,2954,1372,15311,789,77,1965,-14,-5,38
18:52:33:886219,-4842,2957,1367,15309,809,48,1976,4,-18,28
18:52:33:892168,-4842,2957,1367,15309,809,48,1976,4,-18,28
18:52:33:907922,-4847,2959,1366,15307,815,57,1962,19,-15,21
18:52:33:908663,-4847,2959,1366,15307,815,57,1962,19,-15,21
18:52:33:914670,-4847,2959,1366,15307,815,57,1962,19,-15,21
18:52:33:930484,-4850,2961,1367,15306,813,68,1966,24,-16,13
18:52:33:931327,-4850,2961,1367,15306,813,68,1966,24,-16,13
18:52:33:937189,-4850,2961,1367,15306,813,68,1966,24,-16,13
18:52:33:945459,-4852,2962,1368,15305,807,80,1953,18,-18,3
18:52:33:946206,-4852,2962,1368,15305,807,80,1953,18,-18,3
18:52:33:952238,-4852,2962,1368,15305,807,80,1953,18,-18,3
18:52:33:967937,-4851,2964,1369,15305,803,113,1940,-7,-19,0
18:52:33:968674,-4851,2964,1369,15305,803,113,1940,-7,-19,0
18:52:33:974667,-4851,2964,1369,15305,803,113,1940,-7,-19,0
18:52:33:990427,-4849,2965,1368,15305,800,134,1932,-28,-14,-2
18:52:33:991184,-4849,2965,1368,15305,800,134,1932,-28,-14,-2
18:52:33:997178,-4849,2965,1368,15305,800,134,1932,-28,-14,-2
18:52:34:5438,-4849,2968,1365,15305,818,119,1957,-26,-17,4
18:52:34:6197,-4849,2968,1365,15305,818,119,1957,-26,-17,4
18:52:34:12187,-4849,2968,1365,15305,818,119,1957,-26,-17,4
18:52:34:27921,-4849,2968,1366,15305,818,124,1964,12,-13,10
18:52:34:28662,-4849,2968,1366,15305,818,124,1964,12,-13,10
18:52:34:34730,-4849,2968,1366,15305,818,124,1964,12,-13,10
18:52:34:50461,-4850,2965,1372,15304,809,138,1964,20,-4,7
18:52:34:51214,-4850,2965,1372,15304,809,138,1964,20,-4,7
18:52:34:57182,-4850,2965,1372,15304,809,138,1964,20,-4,7
18:52:34:65468,-4850,2965,1372,15305,804,139,1951,-9,-8,-1
18:52:34:66202,-4850,2965,1372,15305,804,139,1951,-9,-8,-1
18:52:34:72170,-4850,2965,1372,15305,804,139,1951,-9,-8,-1
18:52:34:87962,-4845,2969,1360,15306,817,95,1940,-76,-4,-13
18:52:34:88669,-4845,2969,1360,15306,817,95,1940,-76,-4,-13
18:52:34:94679,-4845,2969,1360,15306,817,95,1940,-76,-4,-13
18:52:34:110441,-4843,2973,1344,15307,813,45,1946,-65,2,-5
18:52:34:111191,-4843,2973,1344,15307,813,45,1946,-65,2,-5
18:52:34:117189,-4843,2973,1344,15307,813,45,1946,-65,2,-5
18:52:34:125440,-4844,2973,1343,15307,800,50,1969,-9,-6,-1
18:52:34:126176,-4844,2973,1343,15307,800,50,1969,-9,-6,-1
18:52:34:139693,-4844,2973,1343,15307,800,50,1969,-9,-6,-1
18:52:34:147965,-4843,2974,1345,15307,810,82,1977,18,-20,-10
18:52:34:148703,-4843,2974,1345,15307,810,82,1977,18,-20,-10
18:52:34:154706,-4843,2974,1345,15307,810,82,1977,18,-20,-10
18:52:34:170484,-4842,2975,1348,15307,814,84,1975,19,-25,-6
18:52:34:171194,-4842,2975,1348,15307,814,84,1975,19,-25,-6
18:52:34:177190,-4842,2975,1348,15307,814,84,1975,19,-25,-6
18:52:34:185449,-4841,2976,1353,15307,813,108,1961,20,-21,-8
18:52:34:186196,-4841,2976,1353,15307,813,108,1961,20,-21,-8
18:52:34:199674,-4841,2976,1353,15307,813,108,1961,20,-21,-8
18:52:34:207972,-4841,2976,1354,15307,797,123,1926,10,-15,-5
18:52:34:208731,-4841,2976,1354,15307,797,123,1926,10,-15,-5
18:52:34:214669,-4841,2976,1354,15307,797,123,1926,10,-15,-5
18:52:34:230480,-4841,2978,1356,15306,810,100,1939,6,-20,1
18:52:34:231219,-4841,2978,1356,15306,810,100,1939,6,-20,1
18:52:34:237185,-4841,2978,1356,15306,810,100,1939,6,-20,1
18:52:34:253015,-4843,2979,1360,15305,817,91,1956,25,-21,6
18:52:34:253712,-4843,2979,1360,15305,817,91,1956,25,-21,6
18:52:34:259707,-4843,2979,1360,15305,817,91,1956,25,-21,6
18:52:34:267730,-4845,2979,1367,15304,811,118,1953,36,-19,9
18:52:34:275348,-4845,2979,1367,15304,811,118,1953,36,-19,9
18:52:34:276174,-4845,2979,1367,15304,811,118,1953,36,-19,9
18:52:34:290448,-4846,2980,1374,15302,816,134,1922,15,-18,7
18:52:34:291165,-4846,2980,1374,15302,816,134,1922,15,-18,7
18:52:34:297172,-4846,2980,1374,15302,816,134,1922,15,-18,7
18:52:34:305433,-4841,2983,1368,15304,825,124,1920,-53,3,-18
18:52:34:306170,-4841,2983,1368,15304,825,124,1920,-53,3,-18
18:52:34:319687,-4841,2983,1368,15304,825,124,1920,-53,3,-18
18:52:34:327932,-4842,2987,1353,15304,822,73,1963,-69,-1,16
18:52:34:328699,-4842,2987,1353,15304,822,73,1963,-69,-1,16
18:52:34:334691,-4842,2987,1353,15304,822,73,1963,-69,-1,16
18:52:34:350444,-4847,2984,1355,15303,788,70,1963,32,-11,18
18:52:34:351186,-4847,2984,1355,15303,788,70,1963,32,-11,18
18:52:34:357200,-4847,2984,1355,15303,788,70,1963,32,-11,18
18:52:34:365445,-4852,2978,1370,15301,813,148,1934,72,3,20
18:52:34:366217,-4852,2978,1370,15301,813,148,1934,72,3,20
18:52:34:379697,-4852,2978,1370,15301,813,148,1934,72,3,20
18:52:34:387941,-4851,2978,1368,15302,830,163,1940,-43,11,7
18:52:34:388695,-4851,2978,1368,15302,830,163,1940,-43,11,7
18:52:34:394673,-4851,2978,1368,15302,830,163,1940,-43,11,7
18:52:34:410427,-4851,2978,1354,15303,796,102,1939,-76,10,16
18:52:34:411187,-4851,2978,1354,15303,796,102,1939,-76,10,16
18:52:34:417190,-4851,2978,1354,15303,796,102,1939,-76,10,16
18:52:34:425439,-4857,2976,1345,15302,804,118,1932,-52,21,44
18:52:34:426169,-4857,2976,1345,15302,804,118,1932,-52,21,44
18:52:34:439682,-4857,2976,1345,15302,804,118,1932,-52,21,44
18:52:34:447936,-4863,2973,1338,15302,816,119,1961,-40,27,46
18:52:34:448678,-4863,2973,1338,15302,816,119,1961,-40,27,46
18:52:34:454690,-4863,2973,1338,15302,816,119,1961,-40,27,46
18:52:34:470447,-4869,2969,1329,15301,803,107,1965,-42,27,42
18:52:34:471221,-4869,2969,1329,15301,803,107,1965,-42,27,42
18:52:34:477211,-4869,2969,1329,15301,803,107,1965,-42,27,42
18:52:34:485498,-4875,2967,1319,15301,808,94,1971,-43,21,43
18:52:34:486254,-4875,2967,1319,15301,808,94,1971,-43,21,43
18:52:34:499723,-4875,2967,1319,15301,808,94,1971,-43,21,43
18:52:34:508297,-4882,2965,1310,15300,811,79,1985,-30,15,45
18:52:34:515330,-4882,2965,1310,15300,811,79,1985,-30,15,45
18:52:34:516193,-4882,2965,1310,15300,811,79,1985,-30,15,45
18:52:34:530440,-4889,2964,1304,15298,810,50,1984,-7,10,34
18:52:34:531183,-4889,2964,1304,15298,810,50,1984,-7,10,34
18:52:34:537184,-4889,2964,1304,15298,810,50,1984,-7,10,34
18:52:34:545429,-4894,2963,1298,15297,793,51,1981,-8,-1,25
18:52:34:546182,-4894,2963,1298,15297,793,51,1981,-8,-1,25
18:52:34:559672,-4894,2963,1298,15297,793,51,1981,-8,-1,25
18:52:34:567969,-4898,2963,1293,15296,793,53,1976,-5,-9,25
18:52:34:568698,-4898,2963,1293,15296,793,53,1976,-5,-9,25
18:52:34:574670,-4898,2963,1293,15296,793,53,1976,-5,-9,25
18:52:34:590428,-4902,2964,1291,15295,800,62,1975,0,-18,21
18:52:34:591166,-4902,2964,1291,15295,800,62,1975,0,-18,21
18:52:34:597177,-4902,2964,1291,15295,800,62,1975,0,-18,21
18:52:34:605438,-4906,2966,1291,15293,803,49,1982,20,-23,13
18:52:34:606173,-4906,2966,1291,15293,803,49,1982,20,-23,13
18:52:34:619750,-4906,2966,1291,15293,803,49,1982,20,-23,13
18:52:34:627928,-4907,2968,1294,15292,796,37,1980,39,-31,-1
18:52:34:628669,-4907,2968,1294,15292,796,37,1980,39,-31,-1
18:52:34:634731,-4907,2968,1294,15292,796,37,1980,39,-31,-1
18:52:34:650464,-4909,2967,1307,15291,799,65,1975,80,-33,-5
18:52:34:651204,-4909,2967,1307,15291,799,65,1975,80,-33,-5
18:52:34:657206,-4909,2967,1307,15291,799,65,1975,80,-33,-5
18:52:34:665486,-4910,2967,1324,15289,809,94,1954,85,-35,-9
18:52:34:666252,-4910,2967,1324,15289,809,94,1954,85,-35,-9
18:52:34:679674,-4910,2967,1324,15289,809,94,1954,85,-35,-9
18:52:34:687969,-4908,2969,1336,15288,813,106,1930,51,-32,-16
18:52:34:688709,-4908,2969,1336,15288,813,106,1930,51,-32,-16
18:52:34:694682,-4908,2969,1336,15288,813,106,1930,51,-32,-16
18:52:34:710463,-4906,2970,1341,15288,803,81,1948,26,-23,-20
18:52:34:711176,-4906,2970,1341,15288,803,81,1948,26,-23,-20
18:52:34:717190,-4906,2970,1341,15288,803,81,1948,26,-23,-20
18:52:34:725455,-4904,2970,1351,15288,810,95,1937,54,-21,-21
18:52:34:726186,-4904,2970,1351,15288,810,95,1937,54,-21,-21
18:52:34:739694,-4904,2970,1351,15288,810,95,1937,54,-21,-21
18:52:34:747956,-4904,2968,1365,15287,825,136,1949,54,-14,-9
18:52:34:748689,-4904,2968,1365,15287,825,136,1949,54,-14,-9
18:52:34:754709,-4904,2968,1365,15287,825,136,1949,54,-14,-9
18:52:34:770451,-4903,2968,1366,15287,813,140,1942,15,-11,-9
18:52:34:771227,-4903,2968,1366,15287,813,140,1942,15,-11,-9
18:52:34:777206,-4903,2968,1366,15287,813,140,1942,15,-11,-9
18:52:34:785463,-4901,2967,1367,15288,801,142,1958,-19,-8,-7
18:52:34:786271,-4901,2967,1367,15288,801,142,1958,-19,-8,-7
18:52:34:799720,-4901,2967,1367,15288,801,142,1958,-19,-8,-7
18:52:34:808304,-4901,2966,1367,15288,803,130,1941,-15,1,-1
