Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
16:24:51:299986,0,1,2,-9,1,-2,-2,-1
16:24:51:300837,0,1,2,-9,1,-2,-2,-1
16:24:51:314354,0,-3,4,-5,0,-1,0,-2
16:24:51:322495,-4,-2,-13,-12,-2,-1,0,1
16:24:51:323343,-4,-2,-13,-12,-2,-1,0,1
16:24:51:329338,-23,-5,-5,4,-3,-3,-4,-4
16:24:51:345033,2,0,1,-4,0,-1,0,-2
16:24:51:345880,2,0,1,-4,0,-1,0,-2
16:24:51:351829,5,2,0,-2,0,1,2,-2
16:24:51:360009,0,-1,-1,-6,-3,-1,-1,1
16:24:51:360876,0,-1,-1,-6,-3,-1,-1,1
16:24:51:374368,5,-2,3,1,0,0,-2,-7
16:24:51:382482,-3,1,17,0,-1,-1,-1,0
16:24:51:383325,-3,1,17,0,-1,-1,-1,0
16:24:51:389365,11,0,-5,-1,-1,-1,-2,-6
16:24:51:404974,0,-1,-9,-4,-1,-2,1,5
16:24:51:405838,0,-1,-9,-4,-1,-2,1,5
16:24:51:411852,-5,1,5,-3,0,0,2,10
16:24:51:419962,0,-3,-3,-2,-1,-1,-1,-4
16:24:51:420833,0,-3,-3,-2,-1,-1,-1,-4
16:24:51:434357,4,0,2,5,0,-1,0,-1
16:24:51:442457,-2,-1,2,-3,-1,-4,-2,-4
16:24:51:443322,-2,-1,2,-3,-1,-4,-2,-4
16:24:51:449351,-9,-1,-1,0,1,0,0,-4
16:24:51:464989,-1,-1,-3,-1,-2,-2,-3,0
16:24:51:465835,-1,-1,-3,-1,-2,-2,-3,0
16:24:51:471863,-9,-4,-2,2,0,1,-1,5
16:24:51:480001,2,-3,-4,-3,-2,-1,-2,-5
16:24:51:480839,2,-3,-4,-3,-2,-1,-2,-5
16:24:51:494370,7,-3,-5,-6,-2,-4,-3,-7
16:24:51:502460,-5,-2,-1,-1,-1,-1,-2,-4
16:24:51:503348,-5,-2,-1,-1,-1,-1,-2,-4
16:24:51:509358,54,6,4,3,-1,2,-2,2
16:24:51:525053,54,6,4,3,-1,2,-2,2
16:24:51:525864,1,-4,-5,-1,-2,-2,-6,-2
16:24:51:531724,-11,1,-6,3,1,-2,-1,-1
16:24:51:539985,-11,1,-6,3,1,-2,-1,-1
16:24:51:540856,1,1,1,-3,-1,0,2,0
16:24:51:554347,1,-2,-4,-2,1,0,4,5
16:24:51:562503,1,-2,-4,-2,1,0,4,5
16:24:51:563376,-25,-9,-17,-39,-6,-2,0,0
16:24:51:569354,-11,2,8,-5,0,-1,-3,-5
16:24:51:584995,-11,2,8,-5,0,-1,-3,-5
16:24:51:585840,5,1,4,16,4,-1,-3,-1
16:24:51:591828,-16,-2,-1,4,-1,-1,0,3
16:24:51:607476,-16,-2,-1,4,-1,-1,0,3
16:24:51:608337,4,1,-1,5,-1,-1,-2,-2
16:24:51:614355,-13,-3,0,5,-2,-2,-7,-8
16:24:51:622475,-13,-3,0,5,-2,-2,-7,-8
16:24:51:623347,-5,6,1,3,-1,0,-4,-3
16:24:51:629419,2,2,-3,-6,-2,0,-4,6
16:24:51:644978,2,2,-3,-6,-2,0,-4,6
