Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:26:53:616117,-3,-2,-11,-19,-4,-2,-2,0
18:26:53:616869,-2,-1,6,3,-2,-1,-2,-3
18:26:53:622852,0,-2,5,7,-1,-3,-1,-2
18:26:53:631135,0,-2,5,7,-1,-3,-1,-2
18:26:53:631881,-1,-3,-11,-18,-4,-2,-2,-1
18:26:53:637869,-1,-2,-2,-1,-3,-1,0,-1
18:26:53:653604,-1,-2,-2,-1,-3,-1,0,-1
18:26:53:654344,-1,0,9,12,2,0,-1,-1
18:26:53:660364,-2,-1,-1,-6,-3,0,-2,1
18:26:53:668621,-2,-1,-1,-6,-3,0,-2,1
18:26:53:669369,-2,0,1,3,-2,-2,-1,-1
18:26:53:682895,-1,2,6,11,1,0,0,-1
18:26:53:691134,-1,2,6,11,1,0,0,-1
18:26:53:691881,0,0,-2,0,-1,-2,-2,0
18:26:53:697873,0,0,6,-1,-1,-2,1,-1
18:26:53:713620,0,0,6,-1,-1,-2,1,-1
18:26:53:714363,-1,-1,-8,-9,-1,-2,-1,-1
18:26:53:720378,-2,-1,-3,-1,-7,-2,-1,-3
18:26:53:728611,-2,-1,-3,-1,-7,-2,-1,-3
18:26:53:729357,-1,-3,-7,-14,-5,-1,-2,-1
18:26:53:742866,-1,-1,-7,-4,1,-1,-1,-2
18:26:53:751140,-1,-1,-7,-4,1,-1,-1,-2
18:26:53:751882,-1,-2,3,9,1,-1,-1,-1
18:26:53:765367,-1,0,1,-2,1,0,-1,-1
18:26:53:773653,-1,0,1,-2,1,0,-1,-1
18:26:53:774377,0,-2,13,12,5,1,0,2
18:26:53:780412,0,-1,-4,0,0,0,-2,-2
18:26:53:788639,0,-1,-4,0,0,0,-2,-2
18:26:53:789405,-2,-1,-13,-11,3,0,-1,-2
18:26:53:802896,-1,-3,-3,-2,-4,0,0,1
18:26:53:811142,-1,-3,-3,-2,-4,0,0,1
18:26:53:811886,-2,-2,-4,2,-1,0,-1,-2
18:26:53:817884,0,-2,-3,-3,0,-1,-1,-2
18:26:53:833650,0,-2,-3,-3,0,-1,-1,-2
18:26:53:834384,-1,1,5,1,-3,-1,-1,-1
18:26:53:840367,0,-1,-2,3,2,-2,0,0
18:26:53:848630,0,-1,-2,3,2,-2,0,0
18:26:53:849372,-1,1,-2,3,3,0,-1,-2
18:26:53:862941,-2,-1,-2,-6,-1,-2,-2,0
18:26:53:871102,-2,-1,-2,-6,-1,-2,-2,0
18:26:53:871839,0,0,17,9,-4,-1,-1,0
18:26:53:885386,0,-1,4,7,1,0,-2,0
18:26:53:893632,0,-1,4,7,1,0,-2,0
18:26:53:894377,0,0,0,2,-2,-1,0,-2
18:26:53:900388,-2,-3,-9,-3,-4,-4,-1,-1
18:26:53:908629,-2,-3,-9,-3,-4,-4,-1,-1
18:26:53:909378,0,-1,-3,4,0,0,-2,-1
18:26:53:922882,-2,-1,-4,-2,5,1,0,-1
18:26:53:931138,-2,-1,-4,-2,5,1,0,-1
18:26:53:931878,1,-1,0,-2,-1,-2,2,-1
18:26:53:937904,-1,-2,3,-4,-1,-3,-1,-1
18:26:53:953696,-1,-2,3,-4,-1,-3,-1,-1
18:26:53:954408,-2,-1,-14,-13,-4,-3,-1,-1
18:26:53:960356,-1,1,-6,-10,-2,0,-1,-1
18:26:53:968649,-1,1,-6,-10,-2,0,-1,-1
18:26:53:969388,-1,-2,-2,-1,0,-2,-1,-1
18:26:53:982891,-1,-2,8,7,-4,-2,-1,-2
18:26:53:991107,-1,-2,8,7,-4,-2,-1,-2
18:26:53:991854,-1,0,-8,-7,2,1,0,-2
18:26:53:997916,1,0,-3,-4,1,-2,0,-2
18:26:54:13660,1,0,-3,-4,1,-2,0,-2
18:26:54:14391,-2,-3,3,5,-1,0,0,0
18:26:54:20388,-1,-2,2,3,-2,-2,-1,-1
18:26:54:28618,-1,-2,2,3,-2,-2,-1,-1
18:26:54:29362,1,0,-2,-6,-2,-2,-2,0
18:26:54:42867,-1,-2,-12,-13,-3,1,-1,-1
18:26:54:51123,-1,-2,-12,-13,-3,1,-1,-1
18:26:54:51868,-1,-1,-4,-2,0,-2,-1,-1
18:26:54:57853,-1,3,2,6,1,2,-1,-1
18:26:54:73632,-1,3,2,6,1,2,-1,-1
18:26:54:74385,0,0,0,-1,-3,0,-1,1
18:26:54:80387,-1,0,4,6,-1,0,-1,-1
18:26:54:88652,-1,0,4,6,-1,0,-1,-1
18:26:54:89362,-1,1,1,1,-1,-1,-1,-3
18:26:54:102876,-1,-2,-2,6,0,-1,-1,1
18:26:54:111115,-1,-2,-2,6,0,-1,-1,1
18:26:54:111874,-1,-1,7,6,-3,-1,-1,-1
