Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:08:37:184061,14062,-3946,-4527,5884,637,-1290,1538,1,3,-1
18:08:37:184935,14062,-3946,-4527,5884,637,-1290,1538,1,3,-1
18:08:37:198350,14062,-3946,-4527,5884,637,-1290,1538,1,3,-1
18:08:37:206566,14062,-3946,-4527,5884,632,-1289,1540,0,5,0
18:08:37:207434,14062,-3946,-4527,5884,632,-1289,1540,0,5,0
18:08:37:213325,14062,-3946,-4527,5884,632,-1289,1540,0,5,0
18:08:37:220934,14062,-3946,-4527,5884,631,-1284,1535,4,12,-4
18:08:37:228320,14062,-3946,-4527,5884,631,-1284,1535,4,12,-4
18:08:37:244686,14062,-3946,-4527,5884,631,-1284,1535,4,12,-4
18:08:37:245578,14062,-3946,-4527,5884,620,-1288,1542,-3,14,-6
18:08:37:246312,14062,-3946,-4527,5884,620,-1288,1542,-3,14,-6
18:08:37:258306,14062,-3946,-4527,5884,620,-1288,1542,-3,14,-6
18:08:37:266561,14062,-3947,-4527,5884,628,-1292,1528,-8,15,-7
18:08:37:267431,14062,-3947,-4527,5884,628,-1292,1528,-8,15,-7
18:08:37:273292,14062,-3947,-4527,5884,628,-1292,1528,-8,15,-7
18:08:37:280949,14062,-3947,-4526,5884,614,-1289,1546,-4,11,-12
18:08:37:288316,14062,-3947,-4526,5884,614,-1289,1546,-4,11,-12
18:08:37:295817,14062,-3947,-4526,5884,614,-1289,1546,-4,11,-12
18:08:37:304061,14062,-3947,-4526,5884,617,-1297,1529,-9,11,-12
18:08:37:304933,14062,-3947,-4526,5884,617,-1297,1529,-9,11,-12
18:08:37:318335,14062,-3947,-4526,5884,617,-1297,1529,-9,11,-12
18:08:37:326561,14062,-3947,-4526,5884,616,-1289,1531,-7,15,-11
18:08:37:327457,14062,-3947,-4526,5884,616,-1289,1531,-7,15,-11
18:08:37:333326,14062,-3947,-4526,5884,616,-1289,1531,-7,15,-11
18:08:37:340941,14064,-3948,-4522,5882,620,-1275,1531,2,21,-9
18:08:37:348320,14064,-3948,-4522,5882,620,-1275,1531,2,21,-9
18:08:37:355800,14064,-3948,-4522,5882,620,-1275,1531,2,21,-9
18:08:37:364075,14065,-3951,-4518,5881,618,-1278,1521,-9,23,-3
18:08:37:364829,14065,-3951,-4518,5881,618,-1278,1521,-9,23,-3
18:08:37:378315,14065,-3951,-4518,5881,618,-1278,1521,-9,23,-3
18:08:37:386565,14065,-3956,-4515,5880,616,-1304,1534,-10,22,1
18:08:37:387447,14065,-3956,-4515,5880,616,-1304,1534,-10,22,1
18:08:37:393309,14065,-3956,-4515,5880,616,-1304,1534,-10,22,1
18:08:37:400965,14066,-3957,-4508,5880,613,-1303,1566,5,26,-3
18:08:37:408452,14066,-3957,-4508,5880,613,-1303,1566,5,26,-3
18:08:37:415974,14066,-3957,-4508,5880,613,-1303,1566,5,26,-3
18:08:37:424080,14069,-3957,-4503,5879,609,-1291,1562,7,19,-9
18:08:37:424824,14069,-3957,-4503,5879,609,-1291,1562,7,19,-9
18:08:37:438321,14069,-3957,-4503,5879,609,-1291,1562,7,19,-9
18:08:37:446601,14069,-3957,-4502,5879,611,-1299,1558,-8,4,-7
18:08:37:447300,14069,-3957,-4502,5879,611,-1299,1558,-8,4,-7
18:08:37:453422,14069,-3957,-4502,5879,611,-1299,1558,-8,4,-7
18:08:37:460947,14069,-3958,-4502,5879,600,-1300,1565,-3,-6,-15
18:08:37:468334,14069,-3958,-4502,5879,600,-1300,1565,-3,-6,-15
18:08:37:475829,14069,-3958,-4502,5879,600,-1300,1565,-3,-6,-15
18:08:37:484068,14070,-3957,-4501,5878,601,-1295,1545,4,-8,-22
18:08:37:484941,14070,-3957,-4501,5878,601,-1295,1545,4,-8,-22
18:08:37:498432,14070,-3957,-4501,5878,601,-1295,1545,4,-8,-22
18:08:37:506564,14071,-3955,-4502,5876,609,-1294,1535,9,-10,-21
18:08:37:507306,14071,-3955,-4502,5876,609,-1294,1535,9,-10,-21
18:08:37:513319,14071,-3955,-4502,5876,609,-1294,1535,9,-10,-21
18:08:37:520944,14072,-3954,-4504,5873,617,-1278,1521,1,-10,-23
18:08:37:528304,14072,-3954,-4504,5873,617,-1278,1521,1,-10,-23
18:08:37:535805,14072,-3954,-4504,5873,617,-1278,1521,1,-10,-23
18:08:37:544089,14072,-3954,-4507,5870,629,-1272,1535,-13,-8,-18
18:08:37:544962,14072,-3954,-4507,5870,629,-1272,1535,-13,-8,-18
18:08:37:558347,14072,-3954,-4507,5870,629,-1272,1535,-13,-8,-18
18:08:37:574691,14072,-3957,-4508,5867,624,-1289,1526,-23,3,-13
18:08:37:575617,14072,-3957,-4508,5867,624,-1289,1526,-23,3,-13
